 	tout	le	bois	de	chauffe	que	j'	ai	acheté	est	déjà	rongé	par	les	termites	</S>
a87	0.136507	0.0904664	0.0584337	0.0434553	0.038712	0.0382136	0.0445789	0.0558174	0.0692789	0.0859516	0.0905309	0.101189	0.0900508	0.0382955	0.0121695	0.00634934
a23	0.213478	0.126863	0.0868808	0.0644721	0.0569532	0.0475785	0.0669995	0.0605975	0.0538313	0.0455428	0.0387641	0.0357922	0.03271	0.0253908	0.0204833	0.0236625
a53	0.0659078	0.0558397	0.0531168	0.0604635	0.0815003	0.0930564	0.152759	0.126968	0.0883125	0.0567273	0.0429045	0.0336424	0.0249962	0.0189183	0.0201006	0.024787
a56	0.206744	0.169917	0.121952	0.0831714	0.0697914	0.0499306	0.0553503	0.0623606	0.0505723	0.0285462	0.0208653	0.0245315	0.021018	0.0143695	0.0115836	0.00929563
a70	0.163836	0.162619	0.130099	0.104335	0.0869718	0.0652417	0.0716097	0.0614719	0.0491434	0.0301645	0.0228528	0.0209254	0.0123976	0.006607	0.0063868	0.00533862
a50	0.0925313	0.111583	0.103069	0.0961311	0.0847122	0.0827685	0.100617	0.0901626	0.0687631	0.0428096	0.034693	0.0282313	0.0180144	0.0139956	0.0187593	0.0131583
a62	0.0449277	0.0619703	0.07466	0.0878457	0.0901065	0.103713	0.121055	0.100737	0.0744948	0.0540364	0.0458871	0.0340146	0.0231878	0.021136	0.0355082	0.0267196
a21	0.0399623	0.0543879	0.0702797	0.083964	0.097073	0.112819	0.12747	0.113712	0.0879569	0.0654535	0.05727	0.038787	0.01908	0.0109106	0.0117524	0.00912253
a47	0.0474772	0.0590994	0.0698496	0.0777144	0.0961742	0.107686	0.128701	0.124278	0.0984992	0.0671077	0.054285	0.0368645	0.0156097	0.00615396	0.00552582	0.00497407
a0	0.0290695	0.0313608	0.0342746	0.0422129	0.0659365	0.0947792	0.135322	0.137172	0.111774	0.0863443	0.081042	0.0740541	0.0375861	0.0160585	0.0123306	0.0106835
a56	0.0149039	0.0171653	0.0222792	0.0324052	0.0536614	0.0913432	0.118137	0.118422	0.11352	0.105125	0.11045	0.0868345	0.0482029	0.0246869	0.0206445	0.0222185
a96	0.0189437	0.0223593	0.0268721	0.0365144	0.0600641	0.0967648	0.123928	0.125651	0.11376	0.104716	0.102308	0.0775579	0.0382028	0.017405	0.0159377	0.0190151
a61	0.0165417	0.0190478	0.0227847	0.03094	0.0496607	0.0853981	0.106938	0.113762	0.116276	0.116341	0.123368	0.089746	0.0461253	0.0213617	0.0180049	0.0237037
a62	0.0236128	0.0258606	0.0286627	0.0363413	0.0575341	0.0940488	0.11247	0.120638	0.115726	0.109189	0.104619	0.0757741	0.0417153	0.0214716	0.0168409	0.0154952
a96	0.0145817	0.0159158	0.0185936	0.0240512	0.0392606	0.0716643	0.0897702	0.105139	0.11394	0.119375	0.129668	0.0976172	0.0629909	0.0408162	0.0301052	0.0265109
a21	0.012082	0.0133023	0.0155512	0.0206182	0.0318031	0.0602166	0.0779379	0.0935639	0.112261	0.123099	0.141554	0.0993459	0.0693142	0.0493975	0.0389604	0.0409924
a66	0.0262094	0.0274055	0.0283614	0.0316071	0.0430961	0.0645748	0.0717801	0.0925772	0.113515	0.122996	0.123906	0.0866168	0.059723	0.0396503	0.0314794	0.0365022
a0	0.00810834	0.00876876	0.0106747	0.0150555	0.024749	0.0489979	0.0599252	0.0719565	0.084111	0.0944497	0.114891	0.0810828	0.0679054	0.0808165	0.0988835	0.129624
a47	0.00508955	0.00562597	0.00674824	0.00971534	0.0159159	0.0359983	0.0437618	0.0576818	0.0732246	0.0826368	0.101423	0.0687224	0.0652892	0.0898722	0.135475	0.20282
a83	0.0088191	0.00928978	0.0110248	0.0152648	0.0233823	0.0463212	0.0522127	0.0592044	0.0631434	0.0681259	0.0848308	0.0626424	0.0623204	0.0979556	0.148193	0.187269
a24	0.00251041	0.00233776	0.00258968	0.00371212	0.0062714	0.0154573	0.0201672	0.0268847	0.0340746	0.0385499	0.0498896	0.0409623	0.0491882	0.104228	0.225147	0.37803
a0	0.00269448	0.00236737	0.00235789	0.00294992	0.00429987	0.00961582	0.0130921	0.0161984	0.019209	0.022106	0.0281998	0.0256234	0.0324281	0.0806967	0.271553	0.466608
