 	il	m'	a	insulté	en	présence	des	enfants	</S>
a87	0.105683	0.130857	0.228165	0.240142	0.1671	0.0845204	0.0232923	0.0112184	0.00902123
a82	0.0929098	0.0779471	0.141355	0.239593	0.208864	0.136863	0.0486138	0.0280117	0.025841
a53	0.110929	0.112707	0.190255	0.268055	0.188853	0.0895318	0.0196412	0.0107531	0.00927366
a90	0.219645	0.193683	0.224589	0.155151	0.100181	0.0590302	0.0205862	0.0138397	0.0132951
a98	0.360741	0.278697	0.189915	0.0859209	0.0336485	0.0227662	0.0111056	0.00795609	0.00925013
a92	0.257153	0.243492	0.215341	0.121993	0.0502333	0.0410258	0.0300541	0.0201134	0.0205949
a26	0.251274	0.280277	0.244534	0.118644	0.0332376	0.0222408	0.0181103	0.0153478	0.0163355
a84	0.180602	0.240049	0.235001	0.148983	0.0603156	0.0444781	0.032942	0.0269736	0.0306555
a38	0.120314	0.166435	0.163946	0.115963	0.0652696	0.0568785	0.0746671	0.0988412	0.137687
a90	0.175762	0.217723	0.191919	0.124991	0.0452311	0.0386307	0.0493361	0.0648279	0.0915792
a12	0.181707	0.207322	0.189983	0.143733	0.0517768	0.0373427	0.0457159	0.0595699	0.0828502
a96	0.16959	0.175496	0.191263	0.170418	0.0766044	0.0508525	0.04457	0.0499274	0.0712784
a75	0.09968	0.105509	0.1276	0.169371	0.102423	0.0804361	0.0812011	0.092416	0.141364
a70	0.0798664	0.0806425	0.0846491	0.0967691	0.0724769	0.0698431	0.101687	0.157888	0.256178
a62	0.0342828	0.0328121	0.0351052	0.0566898	0.0540215	0.0697224	0.151758	0.220452	0.345156
a0	0.0273339	0.0297625	0.0359781	0.0619291	0.0670815	0.082736	0.157388	0.219552	0.318239
a75	0.00963855	0.00828106	0.00915302	0.0186177	0.0258129	0.0451473	0.147052	0.274804	0.461494
a85	0.0181157	0.0158667	0.0145179	0.0176647	0.023927	0.0386859	0.124169	0.272228	0.474824
a44	0.00978354	0.00854881	0.00806186	0.01015	0.0207897	0.0366894	0.114403	0.29122	0.500354
a98	0.00270202	0.00211667	0.00201781	0.00401188	0.00641593	0.0133831	0.085013	0.279189	0.605151
a85	0.00216587	0.00199596	0.00219846	0.0047272	0.0136373	0.0222958	0.0977783	0.294593	0.560608
a37	0.00504308	0.00441393	0.00431498	0.00689198	0.0150128	0.0230316	0.0850194	0.289391	0.566881
a66	0.00131731	0.00117075	0.00120777	0.0028687	0.00543405	0.0118665	0.0681582	0.270909	0.637068
a37	0.00192573	0.00184853	0.00300214	0.00888465	0.0209088	0.0297558	0.0871553	0.258716	0.587803
a57	0.00177676	0.00175748	0.00278692	0.00672405	0.0196055	0.0365503	0.101848	0.270978	0.557973
a87	0.0239333	0.0181627	0.0231061	0.0489886	0.074793	0.0837654	0.131328	0.220995	0.374929
a23	0.093523	0.0795457	0.0919367	0.119197	0.110226	0.100338	0.126408	0.13876	0.140066
a87	0.0349231	0.0275883	0.0292546	0.0485268	0.0678858	0.0989192	0.206429	0.242517	0.243956
a23	0.0123227	0.0127551	0.0191258	0.0335385	0.0521621	0.074328	0.165345	0.286647	0.343776
a99	0.0167689	0.0158402	0.0179884	0.031818	0.0464296	0.0769473	0.176638	0.295762	0.321808
a97	0.0331348	0.03102	0.0367491	0.0604273	0.0682717	0.0900882	0.151585	0.244887	0.283838
</S>	0.0299184	0.0257355	0.0300716	0.0494768	0.0580225	0.0771643	0.142249	0.25347	0.333891
