 	il	peut	rester	il	ne	me	dérange	aucunement	</S>
a23	0.455666	0.260294	0.118205	0.0428681	0.0391401	0.0160809	0.00875196	0.0150379	0.0439567
a54	0.323572	0.204385	0.146028	0.0742292	0.0737933	0.0378761	0.0325269	0.0410128	0.0665774
a14	0.314193	0.236392	0.137767	0.0655509	0.0521047	0.046331	0.0466231	0.0631002	0.0379381
a41	0.463429	0.297398	0.10933	0.0473648	0.0304865	0.021272	0.0132973	0.0120864	0.00533551
a37	0.284534	0.264595	0.174739	0.116973	0.0865554	0.0407732	0.0173515	0.00966536	0.00481475
a75	0.191559	0.213756	0.194713	0.163155	0.130814	0.0627037	0.0241902	0.0124691	0.00664063
a96	0.113703	0.146043	0.195515	0.193345	0.174817	0.102322	0.0418153	0.0196184	0.0128208
a90	0.0974035	0.109368	0.145149	0.190985	0.208038	0.14042	0.0556018	0.0287874	0.0242465
a4	0.1041	0.0986907	0.121845	0.181371	0.217065	0.159479	0.064741	0.0290239	0.0236844
a13	0.0838922	0.0759354	0.0835755	0.14382	0.197466	0.204679	0.109167	0.0572118	0.0442522
a38	0.0649935	0.0562658	0.0603229	0.121291	0.194904	0.245792	0.127824	0.0734443	0.0551632
a53	0.0766139	0.0645043	0.0631166	0.116228	0.188748	0.225309	0.126676	0.0825404	0.056264
a69	0.0813379	0.0689541	0.0587148	0.0912862	0.139113	0.180132	0.138976	0.142569	0.0989172
a58	0.0785122	0.0717957	0.0580364	0.0735556	0.0968248	0.107514	0.115211	0.187968	0.210583
a82	0.0717214	0.0621592	0.0464823	0.0602322	0.0976525	0.134664	0.132343	0.198408	0.196337
a87	0.0223048	0.0210403	0.0210724	0.0413335	0.108268	0.208776	0.233198	0.207071	0.136936
a23	0.0195831	0.0161273	0.0128104	0.0221097	0.0503239	0.155451	0.27151	0.253902	0.198183
a79	0.0148195	0.0113722	0.00902223	0.0163193	0.0337847	0.112021	0.208535	0.262619	0.331507
a20	0.0223748	0.0194839	0.0137151	0.023039	0.0388279	0.0899051	0.108792	0.194978	0.488885
a73	0.0395406	0.0370371	0.0305802	0.0547628	0.0924443	0.16225	0.152928	0.159577	0.270879
a44	0.0144017	0.0141357	0.0125583	0.0279822	0.0586065	0.13462	0.174009	0.192684	0.371003
a26	0.0225594	0.0198898	0.0152998	0.0327488	0.0578746	0.138508	0.183739	0.219515	0.309865
a61	0.0175781	0.0169716	0.0130377	0.0271524	0.0475088	0.103771	0.157427	0.216188	0.400366
a47	0.0272681	0.02393	0.016304	0.031507	0.0482217	0.105021	0.146082	0.250618	0.351049
a43	0.00893436	0.00906404	0.0080195	0.0170383	0.0293568	0.0628077	0.116035	0.238692	0.510053
a75	0.0106699	0.010479	0.00810312	0.0173655	0.0278579	0.0622639	0.115507	0.239937	0.507817
a25	0.0183253	0.0180987	0.01354	0.0280194	0.0395589	0.0743891	0.123716	0.214369	0.469984
a56	0.00696446	0.00752946	0.00715823	0.0158654	0.0284403	0.0645519	0.130851	0.225673	0.512966
a21	0.0145861	0.0147961	0.0112438	0.0208854	0.0309773	0.0624172	0.105107	0.205301	0.534687
a25	0.0182101	0.0171063	0.0146449	0.0244178	0.0332026	0.0568572	0.0820583	0.216961	0.536542
a56	0.00763686	0.00806227	0.0069194	0.0125599	0.0204135	0.0407846	0.0811905	0.190755	0.631678
a98	0.0167287	0.0166268	0.0136904	0.0242547	0.0362772	0.0614466	0.0949507	0.212191	0.523834
a90	0.0150716	0.0168924	0.0154989	0.0298507	0.0457133	0.0751701	0.111286	0.203854	0.486663
a25	0.00668823	0.0074652	0.00630596	0.0138927	0.0261689	0.0578815	0.11832	0.247898	0.51538
a94	0.00731255	0.00847013	0.0069435	0.0139184	0.0240996	0.049861	0.0969399	0.237198	0.555257
a32	0.00405208	0.00443961	0.0040555	0.00825965	0.0144874	0.0345922	0.0757903	0.212019	0.642304
a75	0.00338369	0.00354185	0.00347648	0.00704312	0.010877	0.0250053	0.0558015	0.180726	0.710146
a25	0.00940368	0.00966672	0.00917133	0.0165054	0.0287664	0.0565627	0.0964898	0.215691	0.557743
a56	0.0085086	0.00961932	0.00862618	0.018226	0.0321118	0.0584209	0.088239	0.215806	0.560443
a75	0.00305522	0.00357866	0.0039535	0.00735094	0.0113117	0.0269562	0.0687432	0.208083	0.666968
a41	0.00709751	0.00619383	0.00579817	0.0103072	0.0182507	0.0418886	0.0902165	0.226787	0.59346
a2	0.00673122	0.00690559	0.00633276	0.0113757	0.0164857	0.0308745	0.052918	0.174242	0.694135
a40	0.000686688	0.000714398	0.000682592	0.0011173	0.00194635	0.00532908	0.0213773	0.138409	0.829737
a75	0.0103053	0.00816844	0.00731876	0.010169	0.0169048	0.0340963	0.0765903	0.204477	0.63197
a73	0.0134746	0.0103997	0.00905367	0.0137728	0.0243991	0.0486207	0.0985377	0.230283	0.551458
a7	0.00368169	0.00355892	0.00318937	0.00555801	0.00912355	0.0192022	0.0404378	0.163634	0.751614
a84	0.00087855	0.000832387	0.000770137	0.00125809	0.00227076	0.00576281	0.0181554	0.118918	0.851154
a87	0.00125576	0.000941582	0.000866398	0.00112189	0.00189335	0.00609575	0.0259911	0.158938	0.802897
</S>	0.00487685	0.0031777	0.00259106	0.00349027	0.00596227	0.0177807	0.0555012	0.178752	0.727868
