 	on	l'	a	grondé	car	il	a	fait	une	bêtise	</S>
a85	0.272529	0.147012	0.0941022	0.087688	0.136532	0.109298	0.0724256	0.0339161	0.0181629	0.0161988	0.012135
a87	0.177433	0.0822334	0.0476988	0.0600391	0.129963	0.114123	0.108476	0.0933046	0.0673987	0.0700354	0.0492948
a23	0.102077	0.0974734	0.0779048	0.0544203	0.0807227	0.0807147	0.0809633	0.0948113	0.0937481	0.127345	0.10982
a40	0.100023	0.077212	0.0581182	0.069757	0.0791121	0.063823	0.0667224	0.0857459	0.0978807	0.155195	0.146411
a73	0.294161	0.195264	0.148834	0.11957	0.0709582	0.0336814	0.0287146	0.0267935	0.0227826	0.036364	0.0228767
a94	0.24934	0.226305	0.209039	0.124116	0.0724957	0.0327811	0.0249854	0.0182289	0.0147671	0.0166783	0.0112633
a38	0.200364	0.213087	0.212821	0.120611	0.0753962	0.0405371	0.0334959	0.0281279	0.025874	0.0280333	0.0216514
a73	0.204671	0.220692	0.2063	0.107035	0.0779222	0.0469497	0.0366763	0.0291337	0.025502	0.0255226	0.0195958
a94	0.184469	0.183901	0.181152	0.12185	0.0975102	0.0680634	0.0495291	0.035055	0.0288583	0.0275976	0.0220147
a56	0.193276	0.19236	0.194625	0.121818	0.100491	0.0642534	0.0428536	0.0283142	0.0224912	0.0211297	0.0183885
a90	0.201434	0.206829	0.1954	0.115392	0.0992228	0.0608336	0.0393033	0.0242047	0.0198643	0.0194852	0.0180313
a76	0.130972	0.15756	0.184503	0.147321	0.139482	0.0847275	0.0525724	0.0292434	0.023908	0.0251445	0.0245655
a73	0.168673	0.165321	0.156616	0.119838	0.114903	0.08414	0.0613247	0.038575	0.030224	0.0320892	0.028296
a11	0.105713	0.121488	0.153101	0.154654	0.155537	0.106023	0.067213	0.035948	0.029917	0.0333122	0.0370951
a94	0.0572292	0.0708227	0.0902426	0.119431	0.124155	0.109848	0.0903236	0.0641408	0.0671445	0.0901338	0.116528
a75	0.0486424	0.0547444	0.0693087	0.107431	0.112451	0.109564	0.0983349	0.0703907	0.0755185	0.110672	0.142943
a73	0.0626454	0.0599347	0.0643576	0.0920267	0.0962613	0.100427	0.0994904	0.0871374	0.0887654	0.118733	0.130221
a20	0.044002	0.0468499	0.0565293	0.0998983	0.107619	0.117073	0.113617	0.0897809	0.0854494	0.111374	0.127807
a41	0.0668097	0.0612808	0.0681279	0.0921887	0.0914679	0.0877298	0.0798281	0.0675383	0.0792509	0.12583	0.179948
a27	0.0322374	0.0327565	0.0428898	0.0857466	0.0932696	0.109172	0.120932	0.113729	0.109163	0.127339	0.132765
a11	0.0184721	0.0204959	0.0281982	0.0567722	0.0537189	0.0642287	0.0807521	0.0997306	0.135739	0.20249	0.239403
a31	0.0203755	0.0178201	0.0210437	0.0432595	0.0402034	0.0455784	0.0585236	0.0805215	0.130263	0.231533	0.310878
a94	0.0164337	0.0135327	0.0142207	0.0283636	0.0299035	0.0384046	0.0526639	0.0837137	0.142526	0.257044	0.323193
a53	0.0196967	0.0167104	0.0162984	0.0283522	0.030166	0.034798	0.0457035	0.073809	0.132748	0.265171	0.336547
a76	0.0186697	0.0161385	0.0167041	0.0295655	0.0331536	0.0360342	0.0448176	0.074389	0.13	0.249615	0.350913
a94	0.0141727	0.00885769	0.00749174	0.0136772	0.0207217	0.0261064	0.0336451	0.0702458	0.12577	0.264842	0.41447
a24	0.00870493	0.00635791	0.00606371	0.0122071	0.018707	0.0249979	0.033138	0.0645152	0.121237	0.27515	0.428921
a71	0.00784265	0.00579885	0.00579583	0.0116947	0.0155692	0.0228548	0.0330042	0.0625525	0.126855	0.271562	0.436471
a9	0.0073137	0.00624503	0.00727356	0.0146406	0.0189442	0.0257814	0.0356099	0.0590875	0.120239	0.254939	0.449926
a62	0.0071907	0.00544765	0.00647616	0.0143989	0.0181002	0.023798	0.0321682	0.0590247	0.133571	0.261207	0.438617
a83	0.00837389	0.00601656	0.00499904	0.00909168	0.0110191	0.0154842	0.0233206	0.0471618	0.116206	0.266801	0.491526
a9	0.00760338	0.00522277	0.00426435	0.00841307	0.0103457	0.0142189	0.0226288	0.0474539	0.115506	0.257785	0.506559
a99	0.0066554	0.00501221	0.0052633	0.0119463	0.0133788	0.0165294	0.0255038	0.0532555	0.132973	0.259832	0.46965
a87	0.00476234	0.00299133	0.00316087	0.00969444	0.0154938	0.0200584	0.0275915	0.0595878	0.136703	0.242663	0.477293
</S>	0.00863846	0.0058395	0.00520677	0.0106356	0.0143678	0.0190109	0.0254307	0.055116	0.130189	0.260819	0.464747
