 	c'	est	toi	qui	va	me	réveiller	de	bon	matin	</S>
a66	0.145721	0.128099	0.103201	0.0925253	0.147771	0.197061	0.124872	0.0278179	0.0135892	0.00883898	0.0105025
a87	0.293639	0.217827	0.154862	0.0955523	0.102218	0.0828956	0.0220776	0.0104361	0.00480532	0.00549414	0.0101931
a23	0.308862	0.24301	0.155472	0.114611	0.0864644	0.0511179	0.0163024	0.00508636	0.0043606	0.00568797	0.00902508
a87	0.21721	0.227975	0.160347	0.13321	0.102588	0.0701861	0.0480365	0.00619168	0.00649784	0.0104799	0.0172784
a23	0.230968	0.244711	0.154447	0.128725	0.098148	0.0724998	0.0382042	0.00562271	0.00524781	0.00862569	0.0128013
a79	0.17656	0.196706	0.140945	0.125004	0.114001	0.104998	0.0674402	0.00945742	0.0114406	0.0195631	0.0338845
a44	0.121475	0.14244	0.122572	0.103265	0.0940247	0.12079	0.126358	0.0206288	0.0214894	0.0384396	0.0885175
a37	0.127145	0.14854	0.124289	0.0821584	0.0721348	0.138333	0.244066	0.0298224	0.00966774	0.00826028	0.0155822
a5	0.0755555	0.0937947	0.115989	0.110245	0.104375	0.17165	0.251383	0.0426849	0.0127663	0.00960984	0.0119468
a37	0.0499915	0.055887	0.0737015	0.0855642	0.106765	0.19448	0.321374	0.0639619	0.0205271	0.0134333	0.0143148
a61	0.0545786	0.0617325	0.0779036	0.0916927	0.111164	0.182241	0.29353	0.0696589	0.0229796	0.0169751	0.0175442
a43	0.0457433	0.04653	0.0617413	0.0808462	0.119295	0.19377	0.311981	0.0781246	0.0223008	0.0188233	0.020844
a0	0.0331178	0.0289751	0.0378296	0.0530837	0.107133	0.172748	0.290747	0.139166	0.0460042	0.0391998	0.0519955
a62	0.0301278	0.0237462	0.0296211	0.0406576	0.0993463	0.16451	0.259631	0.168255	0.0600213	0.0497648	0.0743192
a83	0.0223047	0.0167739	0.0205538	0.0278885	0.0793391	0.1636	0.324495	0.212662	0.0610262	0.0324215	0.0389352
a75	0.0262912	0.0199745	0.0232287	0.0297583	0.076642	0.137016	0.233602	0.212932	0.101913	0.0619239	0.0767187
a85	0.0114237	0.0100715	0.0116705	0.0159719	0.0321772	0.0515724	0.112778	0.268723	0.197213	0.156584	0.131815
a0	0.0120577	0.010873	0.0115934	0.015352	0.0246146	0.0331224	0.075752	0.220726	0.246764	0.185803	0.163342
a56	0.0301568	0.0284751	0.0301766	0.0389574	0.0526735	0.0502647	0.0630011	0.134737	0.198295	0.167004	0.206259
a62	0.0135402	0.0112879	0.0129866	0.0169333	0.0321738	0.0424232	0.0604305	0.161236	0.240209	0.197906	0.210874
a12	0.0107278	0.00995239	0.0111059	0.0161071	0.0264638	0.0287485	0.0536014	0.120807	0.195873	0.228149	0.298465
a34	0.00697488	0.00654678	0.00725967	0.0105815	0.0176471	0.019081	0.0346041	0.0800571	0.166314	0.293016	0.357918
a70	0.00595341	0.0056046	0.00659839	0.0100937	0.0199392	0.0241674	0.0333961	0.0826503	0.180181	0.298691	0.332725
a62	0.00232564	0.00225486	0.00247675	0.00382573	0.00576491	0.00530856	0.00888908	0.022645	0.0807167	0.286694	0.579099
a96	0.000866007	0.000846846	0.000929143	0.00142713	0.00188765	0.00149295	0.0037917	0.00934326	0.0453127	0.245891	0.688211
a34	0.00053859	0.000539951	0.000608166	0.000907157	0.0011526	0.00093609	0.00243606	0.00722394	0.0348841	0.226793	0.72398
a79	0.000611791	0.000591342	0.000634881	0.000906503	0.00137096	0.00122999	0.0034913	0.0130862	0.0511766	0.243175	0.683726
a44	0.000200144	0.000189433	0.000209489	0.000271124	0.000349604	0.000287692	0.00100619	0.00598097	0.0267491	0.194538	0.770218
a57	0.000276537	0.000253027	0.000289003	0.000348114	0.000442684	0.000361847	0.000743287	0.00417867	0.0227045	0.190406	0.779996
a9	0.000987706	0.000827184	0.000820394	0.000849297	0.000809559	0.000559199	0.000544313	0.00378404	0.0298828	0.272688	0.688248
a87	0.0102199	0.00754347	0.00630169	0.00524873	0.0045802	0.00372702	0.00423581	0.0210751	0.0661078	0.309277	0.561684
a23	0.190765	0.105015	0.0742873	0.0466832	0.0363058	0.0286875	0.0243165	0.0607753	0.0755891	0.161735	0.19584
a87	0.0929617	0.0562976	0.051038	0.033834	0.025597	0.0202574	0.0173804	0.0389154	0.0710493	0.211425	0.381244
</S>	0.0537434	0.0320037	0.0271327	0.0202148	0.0171861	0.011986	0.00661073	0.0170045	0.0500929	0.233724	0.530301
