 	les	gens	sont	en	train	de	huer	le	voleur	</S>
a66	0.15195	0.146867	0.125518	0.112876	0.130036	0.116046	0.0710282	0.0637705	0.0489386	0.0329693
a87	0.340588	0.213117	0.163728	0.104403	0.0953655	0.0450231	0.0121678	0.0142655	0.00686318	0.00447866
a23	0.329711	0.209941	0.150956	0.0984968	0.103174	0.072399	0.0175944	0.0075742	0.00504557	0.00510732
a99	0.341873	0.178812	0.127303	0.0843041	0.0866044	0.0751611	0.036912	0.0275106	0.0194083	0.0221111
a44	0.282172	0.129847	0.0954736	0.0646216	0.0768222	0.093045	0.0771399	0.0673969	0.0545606	0.0589216
a94	0.16397	0.102239	0.0871637	0.078312	0.106567	0.0907271	0.0839879	0.0976343	0.0934012	0.095997
a70	0.11006	0.0733636	0.0725969	0.0806189	0.104255	0.0976273	0.125624	0.149371	0.0978589	0.0886245
a13	0.0603872	0.0520826	0.0572549	0.0834564	0.104304	0.112251	0.151033	0.149544	0.116581	0.113106
a4	0.0415806	0.038264	0.0407687	0.0641338	0.0886524	0.11205	0.148544	0.140612	0.1517	0.173695
a13	0.0421174	0.0451444	0.0516057	0.0858782	0.101908	0.111828	0.119824	0.151588	0.151693	0.138414
a54	0.0402846	0.0434874	0.0456028	0.0736645	0.0868828	0.0952419	0.0947378	0.122192	0.175464	0.222442
a5	0.0419508	0.0541779	0.0662881	0.117961	0.142431	0.157456	0.129873	0.102115	0.0929137	0.0948327
a44	0.029231	0.0345906	0.03481	0.0553639	0.0578339	0.0651472	0.0670375	0.117087	0.212459	0.32644
a70	0.0171585	0.0200387	0.0195171	0.0326714	0.0362318	0.0520561	0.0677652	0.138634	0.249579	0.366348
a96	0.00580624	0.0060999	0.00511327	0.00788918	0.00827726	0.0146957	0.0250758	0.0943345	0.27382	0.558888
a54	0.00161637	0.00170681	0.00138547	0.00209117	0.0019531	0.00412769	0.0101441	0.071669	0.264236	0.641071
a44	0.00196431	0.00207636	0.00183101	0.00313026	0.0038241	0.0100179	0.0191513	0.113156	0.28756	0.557289
a4	0.000524483	0.000546458	0.00043854	0.000682509	0.00071898	0.00194438	0.00480329	0.0550397	0.248972	0.686329
a13	0.000467021	0.000490863	0.00042807	0.000664946	0.000714577	0.0018062	0.00533486	0.0572587	0.230756	0.702079
a3	0.000296041	0.000285531	0.000220607	0.000308355	0.000295509	0.000599534	0.0019022	0.0342307	0.209667	0.752195
a97	0.0109625	0.00835292	0.0069078	0.00717823	0.00763476	0.0106496	0.00922448	0.0537905	0.221878	0.663421
a87	0.112641	0.0991507	0.0815269	0.0656403	0.0751124	0.070588	0.0209031	0.064788	0.141491	0.268159
a23	0.122204	0.114488	0.09662	0.082952	0.0940383	0.107176	0.0344163	0.0713843	0.105218	0.171502
a87	0.137799	0.104463	0.0785514	0.0629994	0.0647447	0.0828322	0.0302784	0.066771	0.108694	0.262866
a23	0.0916798	0.0951531	0.0923406	0.0850213	0.0876319	0.122273	0.0394384	0.0675826	0.0911547	0.227725
a87	0.103601	0.0996973	0.0970201	0.0929335	0.111645	0.179789	0.0645327	0.0631945	0.0647098	0.122877
a23	0.0727515	0.0725845	0.0776345	0.0724729	0.0852336	0.137807	0.0581795	0.0908885	0.108276	0.224173
</S>	0.126769	0.106718	0.103906	0.0911668	0.0992503	0.13977	0.0568141	0.0743343	0.0731155	0.128156
