 	l'	enfant	a	sommeil	</S>
a66	0.511714	0.28107	0.110753	0.0645135	0.0319499
a87	0.437527	0.337072	0.15795	0.050789	0.0166623
a23	0.582429	0.269914	0.0842187	0.0392344	0.0242042
a54	0.512065	0.228861	0.0927585	0.0698738	0.0964416
a6	0.526424	0.299943	0.0926751	0.0385244	0.0424332
a92	0.241757	0.340898	0.25618	0.105728	0.0554359
a85	0.215551	0.334535	0.274345	0.137635	0.0379344
a47	0.191893	0.279421	0.252867	0.198455	0.0773635
a0	0.0832197	0.112869	0.214043	0.403632	0.186237
a37	0.0134392	0.0257668	0.0695494	0.308572	0.582673
a70	0.015861	0.0266212	0.0815817	0.271901	0.604035
a13	0.00695982	0.0112904	0.034789	0.176137	0.770824
a3	0.00264004	0.00520984	0.0176273	0.0947371	0.879786
a87	0.0208877	0.0157466	0.0272008	0.112763	0.823402
a23	0.436567	0.179014	0.0896199	0.101088	0.193711
a99	0.197833	0.103023	0.0708698	0.136	0.492274
a97	0.0313651	0.0263368	0.0440597	0.185382	0.712856
</S>	0.0143135	0.0153685	0.0373923	0.203635	0.72929
