 	le	juge	traditionnel	est	assis	sur	son	trône	</S>
a66	0.235014	0.25072	0.195804	0.133572	0.0811674	0.056998	0.0275152	0.0120129	0.00719707
a87	0.478271	0.338432	0.117898	0.0273712	0.0151231	0.0101271	0.00587401	0.00363348	0.00326911
a23	0.489697	0.258776	0.125143	0.0502849	0.0312514	0.0190125	0.011351	0.00594812	0.00853614
a87	0.381206	0.196358	0.1168	0.0635215	0.0558988	0.0491382	0.0517457	0.0274446	0.0578875
a23	0.374072	0.221919	0.146743	0.0736384	0.0564823	0.0423612	0.0365433	0.0187126	0.0295276
a40	0.256611	0.141932	0.0918719	0.0705898	0.0772344	0.0749732	0.0932693	0.0743127	0.119205
a37	0.28473	0.235694	0.16461	0.111435	0.0732015	0.0470199	0.0351435	0.0256227	0.0225437
a5	0.227819	0.245979	0.166118	0.120922	0.091158	0.0543215	0.0394797	0.0289101	0.0252929
a61	0.114407	0.155942	0.148904	0.175761	0.154296	0.112012	0.0638456	0.0439105	0.0309221
a88	0.0722355	0.104184	0.150072	0.221336	0.17561	0.126298	0.0611879	0.0499123	0.039164
a75	0.0400772	0.0658082	0.120515	0.209812	0.175649	0.141912	0.0730971	0.0871186	0.0860114
a47	0.030521	0.0717378	0.101867	0.130582	0.116167	0.125482	0.119863	0.160176	0.143604
a79	0.0290754	0.0626302	0.0951756	0.133213	0.114028	0.104283	0.0771536	0.150339	0.234102
a37	0.0489227	0.0712184	0.0987688	0.158797	0.151752	0.141455	0.0818827	0.119681	0.127523
a79	0.0401754	0.044456	0.0633846	0.127835	0.152394	0.14389	0.0908864	0.141236	0.195743
a69	0.0125574	0.0165028	0.0251836	0.0803138	0.126447	0.153716	0.117505	0.191786	0.275989
a58	0.00639181	0.00903385	0.0150058	0.0668643	0.127524	0.172356	0.132276	0.189006	0.281541
a15	0.00321524	0.00252601	0.00328004	0.0114785	0.02978	0.0573335	0.112087	0.226532	0.553768
a79	0.000477666	0.000331365	0.000371481	0.00174661	0.00659419	0.0174664	0.0649687	0.248782	0.659262
a44	0.000585839	0.000620355	0.000733054	0.00327971	0.0103124	0.0239633	0.103333	0.292787	0.564385
a36	0.00115414	0.00107531	0.00126003	0.00540342	0.0191422	0.0391409	0.122909	0.278322	0.531593
a26	0.000840583	0.000946057	0.000919707	0.00373009	0.0136936	0.0270635	0.0910298	0.231839	0.629938
a57	0.0315617	0.0226355	0.0218686	0.0360248	0.0707322	0.0871001	0.121874	0.203059	0.405143
a87	0.268197	0.121251	0.0792066	0.0615292	0.0851644	0.0875857	0.0768877	0.0860646	0.134114
a97	0.349431	0.205517	0.1282	0.0685693	0.065912	0.0565767	0.0478586	0.0375512	0.040384
a87	0.196017	0.141084	0.102291	0.0816403	0.0795236	0.0754323	0.0781465	0.100932	0.144933
a23	0.160393	0.109481	0.0732129	0.061738	0.0648277	0.0721373	0.098198	0.147954	0.212058
a87	0.14378	0.0720265	0.0336623	0.0216156	0.0302513	0.0494669	0.124533	0.18828	0.336384
</S>	0.0346454	0.024264	0.0152839	0.0127193	0.0204739	0.0410135	0.13222	0.251492	0.467889
