 	les	femmes	qui	sont	revenues	du	campement	ont	ramené	beaucoup	de	silures	enroulés	et	fumés	</S>
a66	0.0492781	0.0517116	0.0543968	0.0534098	0.0619535	0.129857	0.165736	0.137344	0.141045	0.0807123	0.0412477	0.0164171	0.0110579	0.00294847	0.00140686	0.001479
a87	0.171085	0.123002	0.137187	0.144269	0.126257	0.127181	0.0661546	0.028037	0.0230101	0.0145814	0.0124296	0.00827623	0.00780862	0.00421008	0.00284948	0.0036622
a23	0.222201	0.130086	0.124053	0.137365	0.102875	0.0968158	0.0610843	0.0305018	0.0270541	0.0191014	0.0158153	0.00951777	0.00783431	0.00408831	0.00402033	0.00758558
a87	0.170317	0.0926514	0.112321	0.151015	0.11593	0.100613	0.0627008	0.0276586	0.0307579	0.0281239	0.021932	0.0179229	0.0161717	0.0135639	0.0124448	0.0258759
a23	0.0835474	0.0538085	0.0706016	0.105797	0.114957	0.117431	0.103796	0.0550688	0.0808777	0.0633686	0.0469654	0.0368953	0.0244072	0.015977	0.011185	0.0153169
a40	0.0377618	0.0420233	0.0674828	0.0792203	0.0951079	0.128148	0.149386	0.0526493	0.105709	0.0728169	0.0509953	0.0400343	0.0269486	0.020843	0.0139076	0.0169665
a75	0.0474164	0.0626211	0.0748622	0.0745077	0.104828	0.122294	0.128219	0.0636965	0.0819615	0.0590061	0.0386567	0.0414609	0.0462887	0.030489	0.0153456	0.00834647
a12	0.036694	0.0465041	0.0638021	0.0758883	0.113418	0.126259	0.122985	0.0734246	0.0669873	0.0499959	0.0340629	0.0362624	0.052608	0.0439642	0.0356946	0.0214492
a93	0.0545143	0.0466036	0.0540148	0.0808256	0.143852	0.130808	0.142243	0.0665542	0.0659255	0.0477648	0.0322224	0.0323476	0.0378132	0.0282348	0.021004	0.0152721
a70	0.0608143	0.0582575	0.0665569	0.0975314	0.157665	0.118771	0.138248	0.0711323	0.0494127	0.0409467	0.0282412	0.0280112	0.0330533	0.0211391	0.016712	0.0135072
a98	0.039274	0.0425506	0.0516806	0.0855164	0.144661	0.106596	0.129387	0.0867546	0.0582535	0.0515573	0.0351352	0.0352843	0.043096	0.0308806	0.0304853	0.0288875
a47	0.0242872	0.0355269	0.0468935	0.0857789	0.130872	0.0893526	0.102279	0.084449	0.0561859	0.0527485	0.0393189	0.0373818	0.0538355	0.0361189	0.0527311	0.0722398
a79	0.0188478	0.0294571	0.036611	0.0680927	0.109991	0.0921578	0.105353	0.0975724	0.0734393	0.0683743	0.0493312	0.0422313	0.0586714	0.0373345	0.0483433	0.0641922
a44	0.0216071	0.0271	0.0314729	0.0566746	0.0883385	0.0663179	0.0744184	0.0824985	0.0543687	0.0584072	0.0479115	0.0495131	0.07248	0.062426	0.091833	0.114633
a11	0.0106802	0.0155019	0.0202304	0.0374364	0.0646861	0.0721139	0.10328	0.105933	0.0807074	0.0876312	0.0699396	0.0619466	0.0843231	0.0488462	0.0567775	0.0799668
a50	0.00867433	0.0115583	0.0125636	0.0189594	0.0305515	0.0417228	0.0817046	0.114571	0.0969755	0.118321	0.0876622	0.0826771	0.101801	0.0535157	0.0569365	0.0818051
a88	0.00458592	0.00812932	0.0103224	0.0132159	0.0186409	0.0206488	0.0491974	0.110339	0.0958178	0.137323	0.102179	0.106358	0.121942	0.0695654	0.0563321	0.0754039
a71	0.00288541	0.00455721	0.00553469	0.00803528	0.0127209	0.0172712	0.0457861	0.0994064	0.102777	0.146432	0.107839	0.115606	0.118601	0.077355	0.0627682	0.0724259
a9	0.00380375	0.00467901	0.00671138	0.0118212	0.0229083	0.0365172	0.0778494	0.138554	0.142723	0.157583	0.102072	0.0848448	0.0813029	0.0498456	0.0431559	0.0356289
a99	0.00593066	0.00601704	0.00749788	0.0119163	0.0193452	0.0389919	0.0806911	0.141197	0.159238	0.155361	0.0965073	0.0809874	0.0708406	0.0483279	0.0394508	0.0376995
a87	0.00990068	0.0069938	0.00744452	0.0113497	0.0147071	0.0311942	0.057118	0.10704	0.125938	0.123201	0.0863857	0.0823474	0.080152	0.0760345	0.0834814	0.0967117
a40	0.0321778	0.0209799	0.0198809	0.0247069	0.0201431	0.0456219	0.0684972	0.088447	0.117168	0.1037	0.0705932	0.0616907	0.0736197	0.0803094	0.0962893	0.0761751
a6	0.000927192	0.000844577	0.000917511	0.0013198	0.00166021	0.00336478	0.0071567	0.0136963	0.0136606	0.0168508	0.0174778	0.0317549	0.0542834	0.156429	0.330506	0.349151
a85	0.00169949	0.00206483	0.00225039	0.00311372	0.00407266	0.00831145	0.0154378	0.030687	0.0285442	0.0330147	0.0326806	0.0466838	0.0727361	0.158712	0.269176	0.290816
a21	0.00107941	0.00133562	0.00149914	0.0021299	0.00342086	0.00569986	0.00888154	0.0161616	0.0137599	0.0174236	0.0193315	0.0267587	0.0473229	0.148514	0.325926	0.360756
a85	0.00111995	0.00149237	0.00168926	0.00224117	0.00288029	0.00409052	0.00734616	0.0194996	0.0185415	0.0220157	0.0222449	0.0315562	0.0493974	0.139136	0.305064	0.371686
a6	0.000828424	0.00109113	0.00150206	0.00218074	0.00280574	0.00282323	0.00410166	0.0088391	0.00736798	0.0114539	0.0127121	0.0189778	0.0353885	0.127669	0.317498	0.444762
a36	0.000659012	0.000787647	0.000936005	0.00148057	0.00181063	0.00269903	0.00571299	0.014504	0.0158855	0.0247114	0.0278143	0.0428965	0.0575485	0.174583	0.282431	0.34554
a56	0.000723082	0.000857454	0.000895889	0.00111273	0.00122881	0.00157965	0.00277612	0.00863973	0.00960774	0.0164292	0.0189805	0.0371994	0.0550577	0.176306	0.260222	0.408384
a93	0.000556195	0.000740194	0.000609205	0.000608286	0.000635067	0.000809311	0.00107396	0.00434713	0.00503397	0.00780403	0.00884881	0.0178065	0.0335327	0.135453	0.281943	0.500198
a34	0.000257655	0.000398234	0.000369491	0.000370564	0.00041111	0.000497715	0.000693614	0.00245404	0.00290749	0.00462388	0.00502739	0.01114	0.0187578	0.100769	0.256909	0.594413
