 	les	lampes	sont	sur	la	table	prends-les	et	apporte-les	moi	</S>
a15	0.216445	0.107471	0.0740023	0.0762566	0.0700076	0.0852262	0.130959	0.126781	0.0620106	0.0289285	0.021911
a66	0.335017	0.144053	0.0924616	0.102369	0.0894121	0.0684642	0.061403	0.0408111	0.0330355	0.018271	0.014703
a87	0.415874	0.169286	0.0822155	0.0759804	0.0691857	0.038745	0.0336342	0.0223471	0.0239526	0.0305486	0.0382307
a23	0.421442	0.170571	0.0921469	0.0833865	0.0707939	0.0581659	0.0321464	0.02145	0.0168373	0.0152682	0.017791
a99	0.364454	0.228664	0.138701	0.100577	0.0660215	0.0435836	0.0125778	0.009828	0.0115155	0.0113336	0.0127436
a83	0.339208	0.18831	0.115851	0.0947619	0.0698449	0.0733883	0.0225689	0.014243	0.0213931	0.0261951	0.0342356
a31	0.21611	0.185762	0.116151	0.120952	0.0987076	0.122973	0.0498659	0.0191254	0.0199002	0.0243785	0.026074
a24	0.255899	0.238051	0.143249	0.11335	0.0790074	0.0852558	0.0387817	0.0119422	0.012247	0.0116887	0.0105281
a21	0.276284	0.236792	0.154523	0.106929	0.0760923	0.0727784	0.0389376	0.0110481	0.0100991	0.008591	0.00792553
a5	0.206734	0.213987	0.170237	0.116548	0.0978084	0.0741986	0.0530899	0.0176251	0.020377	0.0168612	0.0125333
a31	0.115122	0.178014	0.168749	0.127244	0.108237	0.0879681	0.0612418	0.0303715	0.0407337	0.0431101	0.0392091
a88	0.171474	0.227492	0.171341	0.138757	0.108788	0.0938372	0.0394471	0.0146357	0.0142132	0.0105575	0.009457
a31	0.0791851	0.166004	0.180637	0.170089	0.158877	0.127228	0.0540795	0.0175988	0.0175442	0.0137315	0.0150255
a43	0.0644372	0.146622	0.164358	0.175711	0.183575	0.141656	0.0728428	0.0210721	0.0137633	0.0083079	0.00765473
a75	0.0449946	0.0848624	0.108291	0.160544	0.216214	0.169804	0.111051	0.0349962	0.0283668	0.0188566	0.0220182
a85	0.0211296	0.0508254	0.0712213	0.0932542	0.141178	0.138655	0.195262	0.112349	0.0768161	0.0488996	0.0504094
a6	0.0106848	0.0363182	0.0534896	0.0767467	0.121556	0.12738	0.198894	0.149657	0.103017	0.0645649	0.0576918
a56	0.00804622	0.0235155	0.0340792	0.0614639	0.107879	0.133283	0.232688	0.161033	0.109658	0.0674765	0.0608774
a61	0.00946684	0.0262674	0.0389974	0.0808852	0.127306	0.121397	0.191876	0.134718	0.0985134	0.0730367	0.0975357
a21	0.00925906	0.0261567	0.037494	0.0915103	0.144445	0.151987	0.187085	0.119236	0.0838299	0.0593817	0.0896149
a47	0.0141084	0.0322926	0.0403185	0.0686156	0.0896667	0.112641	0.147771	0.156394	0.14444	0.0946646	0.0990886
a31	0.0166945	0.0443935	0.0684546	0.126097	0.155096	0.11975	0.137141	0.105336	0.0848772	0.0591399	0.0830211
a43	0.0162176	0.043145	0.0503392	0.0957336	0.120833	0.130231	0.121677	0.120373	0.119215	0.0798249	0.102412
a75	0.0304387	0.0545307	0.0681136	0.119553	0.13882	0.111657	0.106955	0.0774748	0.0677517	0.0619416	0.162763
a6	0.00428563	0.0114908	0.0144763	0.0269433	0.0395553	0.0462532	0.0762071	0.0923775	0.183056	0.224657	0.280698
a36	0.00638156	0.0147185	0.0156669	0.0250129	0.0364323	0.037163	0.0700051	0.0903856	0.166039	0.224661	0.313534
a2	0.0649408	0.0878927	0.0825805	0.0785341	0.0715365	0.0284477	0.0359073	0.0601241	0.102185	0.128707	0.259144
a57	0.0915533	0.110389	0.0986489	0.0816547	0.0791268	0.0463299	0.0580123	0.0778033	0.0800513	0.101668	0.174762
a87	0.0847198	0.0584589	0.0471086	0.0401031	0.036829	0.0286002	0.0556596	0.102408	0.154003	0.185521	0.206588
a23	0.113284	0.0563338	0.0342991	0.0244301	0.0221007	0.0152481	0.05137	0.107616	0.201037	0.209176	0.165106
a30	0.0194566	0.0111399	0.0100414	0.0109078	0.0119379	0.00769888	0.0315709	0.0742326	0.139149	0.266025	0.41784
a57	0.00139349	0.00250408	0.0058397	0.00819825	0.0159517	0.00418267	0.0235346	0.0889331	0.287437	0.271665	0.290361
a53	0.00197307	0.00363489	0.00707185	0.0124188	0.0233783	0.00731843	0.0289293	0.0768825	0.256452	0.277554	0.304387
a20	0.00391997	0.00741742	0.0165207	0.0225966	0.0390208	0.0224509	0.0657482	0.136085	0.245517	0.228312	0.212413
a47	0.00476721	0.0108643	0.0180649	0.0249587	0.0419163	0.0299099	0.101222	0.157489	0.230047	0.213045	0.167715
a36	0.00302561	0.00802547	0.0127538	0.01394	0.0226185	0.0123048	0.062509	0.112488	0.231156	0.276934	0.244245
a24	0.00212611	0.00574122	0.0083579	0.010463	0.0181414	0.0134332	0.0428338	0.0732412	0.203369	0.287267	0.335027
a41	0.0019658	0.0052717	0.00597455	0.00988816	0.0140454	0.0132299	0.024618	0.0546136	0.183592	0.313287	0.373513
a85	0.00331397	0.00734732	0.00928825	0.0101145	0.0144636	0.00950248	0.024222	0.0712296	0.180369	0.318548	0.351601
a47	0.00449009	0.00835591	0.0112844	0.014242	0.0225536	0.0142627	0.0353231	0.0801747	0.162697	0.294953	0.351663
a36	0.00112065	0.00242908	0.00306416	0.00368702	0.00552653	0.00338045	0.0107256	0.0378364	0.140153	0.338829	0.453248
a73	0.000889984	0.00193895	0.00211578	0.00380956	0.00652718	0.00438019	0.0093062	0.028167	0.0959354	0.280204	0.566726
