 	je	te	remercie	pour	le	bien	que	tu	m'	as	fait	</S>
a66	0.396952	0.126867	0.0420993	0.0372663	0.0365735	0.0353739	0.0485866	0.06626	0.070041	0.06215	0.0435088	0.034322
a87	0.164728	0.0504569	0.0375224	0.0610261	0.0722169	0.0764503	0.101507	0.114479	0.100912	0.0858632	0.0678127	0.0670245
a23	0.503839	0.168029	0.0742529	0.0469937	0.0368202	0.0250547	0.022842	0.0247301	0.0224544	0.0237179	0.0235034	0.0277629
a87	0.393104	0.186953	0.103687	0.0703004	0.0534171	0.0355744	0.0299481	0.0316405	0.0285087	0.0256695	0.0207024	0.0204942
a23	0.382315	0.13833	0.0747533	0.0593193	0.0523321	0.0421901	0.0429269	0.0485861	0.0471058	0.0444521	0.0352476	0.0324406
a87	0.274607	0.132274	0.0965025	0.0822731	0.0697724	0.0573928	0.054845	0.0553593	0.0511556	0.0453802	0.0382285	0.0422094
a97	0.255762	0.113998	0.0859373	0.0799621	0.0690026	0.0614004	0.0577911	0.0599586	0.0571052	0.0559069	0.0501204	0.0530559
a10	0.292777	0.12113	0.076527	0.0664231	0.0578372	0.0529485	0.0506567	0.05395	0.0541061	0.0580355	0.0566206	0.0589881
a87	0.233652	0.119461	0.0729468	0.0607402	0.0532851	0.0528768	0.0531843	0.0627053	0.0702633	0.0790518	0.072903	0.0689308
a99	0.337826	0.114806	0.0576362	0.0508709	0.046812	0.0459491	0.0488988	0.0543492	0.0577359	0.0637645	0.0610809	0.0602704
a83	0.226923	0.0981081	0.0608801	0.0561234	0.0517476	0.0536112	0.058431	0.0678572	0.0764946	0.0837826	0.0803135	0.0857275
a94	0.148655	0.128778	0.0980206	0.0679387	0.0531784	0.0511311	0.0474137	0.0596912	0.0723803	0.0894593	0.0878993	0.0954542
a70	0.190349	0.250451	0.139025	0.0696682	0.0561741	0.0495085	0.0414864	0.0412037	0.0411965	0.0389384	0.0368031	0.0451954
a50	0.115295	0.1942	0.162571	0.0918898	0.0822059	0.0700693	0.0570882	0.0508459	0.0475605	0.0413514	0.0385792	0.048344
a83	0.0588117	0.114827	0.147183	0.103597	0.0970201	0.0801995	0.0659092	0.0579495	0.0575943	0.0594893	0.0670916	0.0903275
a70	0.0655073	0.127158	0.159945	0.10812	0.0988846	0.0770081	0.0577044	0.0484828	0.0475734	0.0517614	0.0641641	0.0936912
a93	0.0544097	0.100755	0.149636	0.113684	0.105408	0.0808834	0.0589497	0.0483269	0.0484937	0.0561868	0.0740702	0.109197
a70	0.0466902	0.0763679	0.129582	0.107233	0.104946	0.084482	0.0625466	0.0496764	0.0485761	0.0588939	0.0873702	0.143635
a11	0.0287292	0.0461702	0.117403	0.109098	0.112963	0.0949228	0.072522	0.0554128	0.0502182	0.059248	0.0933162	0.159997
a54	0.0225957	0.0287364	0.11285	0.11229	0.117284	0.0958913	0.068643	0.0520109	0.0466742	0.0589556	0.0988286	0.18524
a44	0.0126812	0.0203358	0.0893153	0.0977667	0.114319	0.112295	0.103903	0.0850691	0.0729417	0.0716082	0.0921056	0.127659
a93	0.0105438	0.0149384	0.0752263	0.0992727	0.118798	0.109808	0.0954596	0.0780458	0.0654811	0.0689982	0.0992655	0.164163
a44	0.0093623	0.0103993	0.0644675	0.094518	0.114739	0.10291	0.0880312	0.0747137	0.06287	0.0703293	0.10648	0.20118
a70	0.00630745	0.00718241	0.0457098	0.0744321	0.103839	0.100349	0.0999101	0.0928154	0.0813947	0.0869853	0.110013	0.191061
a53	0.00368584	0.00394131	0.0234915	0.0489223	0.0762234	0.0786406	0.090472	0.0933645	0.0894156	0.104211	0.13581	0.251821
a4	0.00358772	0.00427283	0.0315056	0.0585133	0.0933557	0.098939	0.117621	0.109635	0.102286	0.105711	0.113802	0.160771
a44	0.00226171	0.00271613	0.0198183	0.0434909	0.0717512	0.0780648	0.099485	0.104015	0.103322	0.120332	0.13969	0.215052
a90	0.00242971	0.00276324	0.0179475	0.0363333	0.0649679	0.0778662	0.10621	0.109558	0.114457	0.131799	0.14511	0.190558
a93	0.00363009	0.00488048	0.0294259	0.0544667	0.0841121	0.0903767	0.111057	0.102593	0.102926	0.115512	0.136217	0.164804
a4	0.00162591	0.00175945	0.0108352	0.0232495	0.0420512	0.0506658	0.0712255	0.0748565	0.0908954	0.13787	0.210938	0.284028
