 	cette	femme	s'	est	accroupie	pour	bien	préparer	</S>
a66	0.255156	0.185308	0.132035	0.103633	0.0892135	0.078278	0.0838078	0.0495613	0.0230069
a87	0.362425	0.228223	0.119878	0.0845859	0.0707542	0.0579402	0.0439706	0.0204555	0.011768
a23	0.361931	0.28093	0.14164	0.0993152	0.064497	0.0245147	0.012957	0.00801125	0.00620381
a87	0.343852	0.241243	0.122781	0.101994	0.0966397	0.0406412	0.0200341	0.0152323	0.017583
a23	0.36784	0.215091	0.10058	0.0892886	0.100716	0.046163	0.0304725	0.0250061	0.0248424
a13	0.285488	0.17942	0.121846	0.111586	0.112654	0.0551683	0.041458	0.0419652	0.0504135
a30	0.146733	0.129533	0.118408	0.125615	0.110151	0.0793231	0.0952391	0.106862	0.0881355
a99	0.103384	0.11155	0.126855	0.126683	0.0961979	0.0720139	0.111146	0.144774	0.107396
a53	0.0709807	0.0832878	0.109435	0.119158	0.0879594	0.0674773	0.119083	0.190243	0.152375
a7	0.119691	0.14287	0.188316	0.176599	0.0998641	0.0671504	0.0658813	0.0826361	0.0569917
a44	0.0457868	0.0657111	0.110491	0.147058	0.147398	0.109831	0.105185	0.136275	0.132265
a70	0.0462558	0.0609886	0.103383	0.145107	0.172499	0.122761	0.100657	0.121726	0.126623
a94	0.0267663	0.0316836	0.0535941	0.0969441	0.175462	0.154574	0.124635	0.14811	0.188231
a23	0.0206822	0.0231364	0.0412386	0.0892122	0.171773	0.160055	0.132949	0.158304	0.202649
a70	0.0134218	0.0140189	0.0257016	0.0680071	0.145485	0.135296	0.122327	0.182197	0.293546
a18	0.00395694	0.00405326	0.00699098	0.0215476	0.0953703	0.133827	0.154466	0.221656	0.358131
a5	0.00376501	0.00376936	0.00641977	0.0179748	0.0891004	0.141594	0.183078	0.223304	0.330995
a18	0.00382961	0.00325659	0.00495636	0.0142908	0.0585675	0.107879	0.169308	0.276982	0.360931
a88	0.0022515	0.00190868	0.00287375	0.00804587	0.0423947	0.10775	0.197185	0.272049	0.365541
a50	0.00132601	0.00117434	0.00172708	0.00449016	0.0251711	0.0835648	0.178667	0.313953	0.389926
a96	0.00232301	0.00212842	0.00299765	0.00652047	0.0292383	0.0923024	0.206695	0.29589	0.361905
a36	0.00110777	0.000903134	0.00121656	0.00269707	0.0136246	0.0575961	0.157879	0.321879	0.443097
a37	0.000586974	0.000485203	0.000698611	0.00177099	0.00888514	0.0354159	0.1034	0.277985	0.570772
a66	0.00131001	0.000892528	0.000986951	0.00208812	0.00912512	0.0327498	0.0815513	0.233889	0.637407
a44	0.00324034	0.00214286	0.00218365	0.00412501	0.0131751	0.0314452	0.0662387	0.191067	0.686382
a26	0.00141796	0.000948847	0.000989616	0.00187664	0.00586161	0.0194308	0.0570711	0.209807	0.702596
a57	0.00765512	0.00463204	0.00351524	0.00532574	0.013246	0.0277351	0.0499255	0.161736	0.726229
a3	0.0743578	0.0452148	0.0273222	0.0322602	0.0491509	0.0535364	0.0774997	0.162631	0.478027
a87	0.175447	0.122691	0.0825307	0.0757588	0.0762902	0.062508	0.0841848	0.122759	0.197831
a23	0.17913	0.13516	0.0946247	0.086247	0.0781891	0.0873682	0.103242	0.118248	0.117791
a87	0.186982	0.116588	0.0815047	0.0737615	0.0644811	0.0834151	0.107537	0.124274	0.161456
a23	0.144158	0.107969	0.0759276	0.0795556	0.068751	0.098325	0.111023	0.13749	0.1768
a87	0.141674	0.107386	0.0861268	0.0851513	0.0765199	0.103458	0.117165	0.12401	0.158509
a23	0.193945	0.135581	0.0904354	0.0901836	0.0672772	0.0732217	0.0884896	0.115134	0.145732
a87	0.156778	0.121397	0.0923028	0.0830258	0.0612982	0.0842244	0.108796	0.132288	0.15989
a23	0.139558	0.114642	0.0916225	0.0901955	0.0626728	0.0763487	0.106771	0.154458	0.163732
a87	0.162017	0.124195	0.0986465	0.0878209	0.0591159	0.0699125	0.100773	0.131862	0.165658
a23	0.156782	0.125041	0.0954706	0.0829413	0.0494772	0.0654573	0.103963	0.146624	0.174242
a87	0.110518	0.0925498	0.0780979	0.0701172	0.046354	0.0768646	0.1349	0.191546	0.199052
a23	0.10812	0.0973025	0.0834944	0.074721	0.0430582	0.0653209	0.118383	0.200282	0.209317
</S>	0.123033	0.102261	0.0848203	0.0774082	0.0541183	0.0778264	0.124222	0.173391	0.18292
