 	ma	femme	est	déjà	partie	au	marché	</S>
a66	0.287451	0.199993	0.165762	0.145403	0.097284	0.0550988	0.0308999	0.0181078
a87	0.279163	0.178482	0.163164	0.153786	0.113431	0.0578704	0.030258	0.0238452
a23	0.363401	0.231295	0.172296	0.106647	0.0485013	0.0302243	0.0243	0.0233349
a99	0.396186	0.24194	0.160077	0.0852105	0.0361212	0.0244019	0.0217011	0.0343617
a83	0.356675	0.21771	0.141764	0.0806195	0.0466135	0.0423696	0.0457215	0.0685264
a54	0.33769	0.248193	0.144248	0.0844456	0.0537193	0.0451755	0.0434682	0.0430605
a79	0.254331	0.206958	0.159177	0.131586	0.0918205	0.0656158	0.0511466	0.0393655
a98	0.208598	0.174478	0.173974	0.167024	0.11355	0.0793017	0.0532515	0.0298239
a79	0.16126	0.151542	0.176293	0.187704	0.125339	0.0904202	0.0665113	0.0409315
a56	0.12024	0.124829	0.151942	0.170343	0.120137	0.113028	0.112415	0.0870654
a75	0.158384	0.150653	0.155813	0.151626	0.100744	0.0908425	0.106232	0.0857055
a92	0.08045	0.0956154	0.125153	0.158039	0.144055	0.135126	0.142548	0.119014
a37	0.0621889	0.078177	0.106466	0.141188	0.148398	0.146015	0.162534	0.155033
a75	0.0655074	0.0789318	0.100076	0.122161	0.150246	0.140837	0.155761	0.18648
a61	0.0232091	0.0298539	0.0488995	0.0838334	0.138836	0.17591	0.230699	0.26876
a43	0.0178319	0.0187423	0.025886	0.0441117	0.10286	0.167732	0.239597	0.383239
a25	0.0142729	0.0132205	0.0145663	0.0201846	0.0610933	0.130713	0.224504	0.521446
a79	0.0069369	0.00655716	0.00617043	0.00712592	0.0223981	0.0626594	0.164494	0.723658
a7	0.00387966	0.00365295	0.00424291	0.00646762	0.0236323	0.0700068	0.172911	0.715207
a75	0.00313259	0.00314482	0.00346848	0.00469453	0.0188387	0.0604093	0.156564	0.749748
a85	0.00173441	0.00177247	0.00193567	0.00296488	0.0163658	0.058622	0.150637	0.765968
a5	0.00163728	0.00158152	0.0020102	0.00350624	0.0215218	0.0761032	0.17906	0.71458
a36	0.00206941	0.00203471	0.00233727	0.00377795	0.0183893	0.0656864	0.166047	0.739658
a18	0.00290729	0.00319502	0.00448881	0.00845773	0.0444062	0.118357	0.23452	0.583667
a88	0.022011	0.0192547	0.0205556	0.0238161	0.0596201	0.103341	0.200224	0.551178
a9	0.0239978	0.0195015	0.0197854	0.0226336	0.0567604	0.104516	0.212967	0.539838
a87	0.126	0.0826706	0.0624642	0.0529478	0.0808698	0.101267	0.161166	0.332615
a23	0.299921	0.181261	0.128182	0.0868737	0.0780778	0.0648351	0.0699774	0.0908714
a97	0.159072	0.0864395	0.0704081	0.0582843	0.0827355	0.113323	0.150984	0.278754
a27	0.0227514	0.0143554	0.0165086	0.0216794	0.0448605	0.105037	0.226209	0.548599
</S>	0.0558466	0.0392324	0.0505002	0.0623947	0.0814565	0.124018	0.199864	0.386687
