 	il	est	difficile	de	vivre	dans	la	pauvreté	</S>
a66	0.267643	0.190376	0.133263	0.104045	0.0971168	0.0910071	0.0635104	0.0368464	0.0161925
a87	0.292092	0.158136	0.0721331	0.0680794	0.0827837	0.121051	0.102736	0.064687	0.0383022
a23	0.255049	0.164476	0.141631	0.111561	0.0925723	0.0874273	0.0736348	0.0460476	0.027601
a38	0.155505	0.105804	0.0999164	0.0910634	0.09291	0.11994	0.11813	0.130422	0.0863092
a88	0.12781	0.112736	0.0713826	0.0635021	0.0626622	0.111189	0.14188	0.217232	0.0916065
a71	0.223809	0.212592	0.0821881	0.0618583	0.0439389	0.0671505	0.0771268	0.149561	0.0817759
a62	0.168756	0.175005	0.106496	0.0787788	0.0566922	0.0606902	0.0634518	0.157589	0.132541
a47	0.146565	0.185243	0.168562	0.112366	0.0809737	0.0643677	0.0509308	0.10751	0.083483
a96	0.135717	0.150844	0.15474	0.113507	0.0856768	0.077325	0.0585559	0.128912	0.0947223
a79	0.116701	0.139586	0.169187	0.129499	0.100027	0.0788327	0.0574953	0.101463	0.107208
a56	0.0768789	0.105849	0.144394	0.137794	0.112383	0.0837063	0.0573482	0.116998	0.164649
a0	0.130627	0.137148	0.183181	0.147615	0.118254	0.0733399	0.0479396	0.0720462	0.0898499
a93	0.0700805	0.0816909	0.169382	0.170773	0.147762	0.0882722	0.0560177	0.0880549	0.127968
a70	0.0824172	0.0895819	0.160501	0.158248	0.140181	0.0847079	0.0569649	0.0939122	0.133486
a62	0.0485157	0.0585515	0.142219	0.160578	0.164362	0.111282	0.0796379	0.107962	0.126893
a93	0.0256662	0.0351259	0.135346	0.16074	0.184342	0.135629	0.0983718	0.116861	0.107917
a90	0.0268286	0.0366872	0.10308	0.14046	0.179963	0.147712	0.108341	0.13448	0.122448
a4	0.0179877	0.026536	0.0846067	0.132475	0.184229	0.156036	0.113094	0.142747	0.142288
a13	0.0199788	0.0253437	0.0746408	0.100037	0.151481	0.134453	0.124027	0.178497	0.191542
a3	0.0180852	0.0204258	0.0448564	0.0650646	0.123318	0.160336	0.157728	0.210021	0.200166
a87	0.0241381	0.0230911	0.0378463	0.0659949	0.149788	0.174543	0.147673	0.180782	0.196144
a23	0.0403437	0.0328324	0.0288614	0.0579221	0.0968332	0.15413	0.158211	0.215719	0.215148
a99	0.016112	0.0160254	0.0254822	0.0599128	0.111369	0.186736	0.190004	0.182687	0.211672
a88	0.00392614	0.00489277	0.00647534	0.0206859	0.0498101	0.130533	0.222928	0.311597	0.249151
a38	0.00166728	0.00191897	0.00239445	0.00624521	0.0121535	0.0300682	0.0858058	0.387823	0.471923
a11	0.00123356	0.00133341	0.00230836	0.00498205	0.0107412	0.0213011	0.0520818	0.284547	0.621472
a31	0.0017938	0.00209378	0.00401627	0.00778835	0.017143	0.03138	0.0691741	0.273496	0.593114
a62	0.00212886	0.00288142	0.00752936	0.0121689	0.0243996	0.0400862	0.0754091	0.258003	0.577394
a21	0.00260344	0.00341662	0.0097414	0.0140727	0.0276515	0.0490887	0.0914629	0.270067	0.531896
a12	0.00200656	0.0021532	0.00857934	0.0130219	0.0249035	0.0401469	0.0790005	0.256142	0.574047
a56	0.00232718	0.00261679	0.00753911	0.0103633	0.0206818	0.0391838	0.0846642	0.256681	0.575943
a94	0.001799	0.00203342	0.00735731	0.0111117	0.0231831	0.0397171	0.0794103	0.237599	0.597789
a24	0.00130299	0.00154669	0.00437821	0.00614926	0.0122286	0.0246094	0.0629168	0.239154	0.647714
a9	0.0013194	0.00156323	0.00337587	0.00451994	0.00827997	0.0193828	0.0623905	0.237917	0.661252
a87	0.00892188	0.00965989	0.0144216	0.0226246	0.03639	0.063113	0.129762	0.261658	0.453449
a23	0.0169082	0.0156966	0.0200856	0.0334524	0.047463	0.0926251	0.148897	0.204142	0.42073
a97	0.00666401	0.00532404	0.00392631	0.00951924	0.0157425	0.0390534	0.082279	0.245886	0.591605
a99	0.00866657	0.00761356	0.0137093	0.0418532	0.0541321	0.0718878	0.0794124	0.171767	0.550958
a9	0.015904	0.0121012	0.0182587	0.0498636	0.0610829	0.0869231	0.105569	0.237142	0.413155
a87	0.0163554	0.0135379	0.0282107	0.0709988	0.0757134	0.0928451	0.10224	0.210346	0.389753
</S>	0.0302717	0.0220186	0.0322016	0.0697747	0.0792285	0.0944452	0.0987164	0.195804	0.377539
