 	l'	enfant	est	malade	depuis	avant-hier	</S>
a87	0.321491	0.160632	0.109272	0.0811634	0.105515	0.0929941	0.128933
a23	0.283757	0.156949	0.132764	0.0859284	0.0779983	0.0827461	0.179857
a76	0.192717	0.13315	0.151983	0.109269	0.111902	0.11064	0.190339
a94	0.397995	0.286724	0.179943	0.0668757	0.0365741	0.0143228	0.0175656
a76	0.395615	0.305055	0.196035	0.0598045	0.0247113	0.00901395	0.00976499
a73	0.270991	0.2682	0.227503	0.110688	0.0664817	0.032004	0.0241331
a66	0.222044	0.248189	0.273915	0.13073	0.0673096	0.0314938	0.0263188
a38	0.175914	0.2203	0.289815	0.161669	0.0825775	0.0368272	0.032897
a24	0.169779	0.226015	0.290105	0.157641	0.0838074	0.0392135	0.0334389
a25	0.175855	0.233287	0.271692	0.153804	0.0886698	0.0424241	0.0342687
a53	0.1151	0.172663	0.272583	0.211517	0.119628	0.0536319	0.0548756
a76	0.104332	0.151981	0.232858	0.205439	0.130063	0.0750641	0.100263
a94	0.152759	0.182373	0.212145	0.156511	0.117787	0.085054	0.0933718
a90	0.110923	0.140477	0.168393	0.172413	0.153642	0.116107	0.138045
a53	0.0937084	0.121886	0.146597	0.155378	0.14923	0.125766	0.207435
a76	0.0712724	0.0903559	0.104696	0.124733	0.166072	0.16558	0.277291
a73	0.0874598	0.0864213	0.0873179	0.101195	0.154612	0.165202	0.317792
a24	0.0837362	0.0824794	0.0813251	0.104194	0.178364	0.181379	0.288522
a41	0.0639108	0.0581158	0.0565633	0.0765417	0.162703	0.229686	0.35248
a94	0.06661	0.0549682	0.0503084	0.0719221	0.164231	0.217914	0.374046
a76	0.0520316	0.0502565	0.0509706	0.0619668	0.122091	0.229947	0.432737
a73	0.0646541	0.0585238	0.0562818	0.0598786	0.0933553	0.173084	0.494222
a84	0.0294806	0.0271454	0.0295141	0.0400055	0.0906686	0.200433	0.582753
a57	0.0105417	0.0105868	0.0108248	0.0173818	0.0540433	0.158209	0.738412
a87	0.0349201	0.0199023	0.0115921	0.0130299	0.0387489	0.14437	0.737437
</S>	0.0622262	0.0359342	0.0154701	0.0152974	0.045092	0.129533	0.696447
