 	le	tam-tam	s'	est	déchiré	lorsque	nous	étions	en	train	de	danser	</S>
a66	0.11928	0.114572	0.0932982	0.105753	0.115128	0.128988	0.147622	0.0969042	0.0398006	0.0178734	0.00907314	0.00604234	0.00566526
a10	0.146975	0.093484	0.0671688	0.0575832	0.0723111	0.0902918	0.108304	0.131464	0.0750831	0.0444894	0.0374095	0.0357643	0.0396723
a87	0.205792	0.131768	0.102941	0.108583	0.122829	0.110735	0.0990149	0.0520457	0.0156572	0.0120985	0.0111556	0.0123507	0.0150294
a23	0.182726	0.159439	0.126387	0.120665	0.125751	0.096876	0.0899232	0.0490616	0.0146476	0.00992908	0.0078796	0.00773788	0.0089776
a83	0.22556	0.186411	0.133526	0.125085	0.123012	0.0643	0.0514252	0.0311381	0.010872	0.00936187	0.00987198	0.0123786	0.0170598
a88	0.257361	0.239843	0.125137	0.0936497	0.0673281	0.0498654	0.0821163	0.03053	0.00975573	0.0118186	0.011328	0.010499	0.0107681
a0	0.171929	0.18977	0.113682	0.0848391	0.0639448	0.0560481	0.147088	0.0978669	0.0214844	0.0181573	0.0141407	0.0110371	0.0100129
a62	0.0900498	0.129274	0.0973045	0.0860326	0.0713963	0.055093	0.128434	0.152758	0.0432151	0.0380327	0.0388452	0.0357719	0.0337926
a70	0.0907368	0.122823	0.110453	0.103721	0.0790529	0.069199	0.136298	0.15075	0.0373913	0.0287579	0.0264029	0.0225359	0.0218779
a62	0.0751862	0.112237	0.113941	0.115287	0.0885269	0.0794319	0.127799	0.143695	0.0392048	0.0285949	0.0274867	0.0245354	0.0240757
a88	0.069964	0.0875246	0.0978746	0.105166	0.0954601	0.10014	0.151685	0.163135	0.0363329	0.024966	0.0238447	0.0218944	0.0220132
a75	0.0577155	0.0800311	0.0958124	0.106829	0.095758	0.104357	0.151841	0.165596	0.040164	0.0260465	0.0253378	0.0248029	0.0257086
a5	0.0398328	0.0741092	0.0890811	0.0913267	0.08469	0.0972357	0.159841	0.186448	0.0474382	0.0271585	0.0304169	0.0334751	0.0389464
a56	0.0536714	0.0814781	0.100129	0.106539	0.106754	0.120021	0.156075	0.15315	0.0386367	0.0216282	0.0197856	0.0199961	0.0221359
a61	0.0361672	0.0630544	0.0972548	0.115131	0.123173	0.137544	0.157954	0.132729	0.0401167	0.0234025	0.0224349	0.023715	0.0273244
a12	0.0314279	0.0511657	0.0818387	0.0987683	0.119	0.136833	0.152784	0.140214	0.0634759	0.0328976	0.0288351	0.0293244	0.0334358
a56	0.0214191	0.0310377	0.0577204	0.0775482	0.111774	0.131536	0.133503	0.139164	0.0973635	0.0521724	0.0455343	0.0469825	0.0542448
a34	0.0171066	0.0238161	0.0471109	0.0686475	0.108616	0.126258	0.113601	0.114708	0.114102	0.067139	0.0585535	0.0622515	0.0780903
a47	0.0143442	0.0188966	0.0380149	0.0609299	0.109013	0.122704	0.0924893	0.0977718	0.131774	0.0881647	0.0707834	0.0711571	0.0839572
a12	0.0139646	0.018101	0.0400158	0.0793009	0.154479	0.150229	0.0762296	0.0793696	0.0894479	0.06118	0.0588231	0.0734637	0.105395
a56	0.00810708	0.0100844	0.0191175	0.0352606	0.0802477	0.0904682	0.0547605	0.0654372	0.129592	0.120225	0.111374	0.120966	0.154359
a34	0.00680325	0.00750059	0.0130526	0.023068	0.0564248	0.0648286	0.0370415	0.0443387	0.116341	0.125853	0.131951	0.159101	0.213696
a47	0.00518766	0.00616621	0.0112508	0.0201496	0.0474609	0.0522968	0.0235686	0.0246847	0.0837855	0.12311	0.153938	0.192552	0.255849
a62	0.00377752	0.00557104	0.0119462	0.0244829	0.0556327	0.0634094	0.0239351	0.0187809	0.0517187	0.0876034	0.128947	0.206325	0.31787
a0	0.00415587	0.00450561	0.00602716	0.00907658	0.0198549	0.0232297	0.0135589	0.0195192	0.0662562	0.108458	0.158376	0.236086	0.330896
a47	0.00281203	0.00365108	0.0058109	0.00965443	0.0217192	0.0336577	0.0240518	0.0222447	0.0547161	0.0929386	0.141273	0.228738	0.358732
a62	0.00183048	0.00213687	0.0032797	0.00515292	0.00978618	0.0125302	0.0087831	0.0105669	0.044477	0.0980379	0.157755	0.250983	0.39468
a0	0.000782252	0.000923394	0.00128998	0.0018178	0.00379006	0.00651994	0.00670706	0.0109397	0.0387447	0.0815399	0.148811	0.259269	0.438866
a21	0.00173191	0.00191106	0.00360501	0.00676108	0.0143574	0.0239141	0.0120903	0.0102875	0.0369977	0.086291	0.143762	0.238022	0.420269
a5	0.000278701	0.000270575	0.000405262	0.000638228	0.00108908	0.00137459	0.00123454	0.0028235	0.0201366	0.0579674	0.122151	0.250293	0.541337
a23	0.000168901	0.000189183	0.000366045	0.000520863	0.000659818	0.000744353	0.000511266	0.000871004	0.00781449	0.0280597	0.0785201	0.230774	0.6508
a27	0.000238865	0.000228344	0.000372524	0.000565289	0.000805267	0.00100881	0.00075331	0.00173696	0.0105182	0.0308112	0.0827911	0.231793	0.638377
a10	0.026038	0.0148831	0.0183316	0.0172442	0.0168673	0.0136924	0.0114088	0.0165218	0.0609949	0.101602	0.144409	0.213209	0.344798
