 	il	casse	le	bout	de	bois	</S>
a23	0.401432	0.192081	0.119892	0.0919782	0.0808142	0.0622365	0.0515654
a34	0.512725	0.252757	0.127177	0.0437782	0.0223993	0.0177989	0.0233651
a75	0.47305	0.293271	0.119176	0.0440886	0.0226316	0.0234771	0.0243058
a5	0.41038	0.325596	0.157583	0.0468041	0.0185927	0.0211173	0.0199262
a61	0.315843	0.353088	0.238964	0.0616141	0.013847	0.00912192	0.00752213
a75	0.254911	0.352789	0.291906	0.0775331	0.0136638	0.0054319	0.00376581
a85	0.283503	0.337701	0.243214	0.0739797	0.0241141	0.0193369	0.0181523
a37	0.268239	0.224003	0.188577	0.144355	0.0773644	0.0532661	0.0441955
a61	0.214681	0.119489	0.129478	0.188586	0.171887	0.0930596	0.0828205
a71	0.095371	0.0502569	0.0690764	0.151697	0.276831	0.197087	0.159681
a38	0.0331681	0.0148843	0.0172108	0.0391991	0.133093	0.270786	0.491659
a90	0.00983419	0.00442643	0.00623347	0.0167298	0.0931033	0.27304	0.596633
a15	0.00596692	0.00466058	0.008176	0.0294258	0.146108	0.289895	0.515768
a73	0.00860017	0.00690647	0.0113474	0.0379224	0.149983	0.278631	0.506609
a2	0.00774741	0.00726803	0.0124013	0.0337953	0.115946	0.258293	0.564549
a57	0.00129708	0.00107223	0.00164826	0.00449593	0.0310229	0.190964	0.7695
a87	0.0605718	0.0290306	0.0257064	0.0339483	0.0828328	0.200928	0.566982
a23	0.385068	0.149141	0.0867275	0.0743069	0.0876495	0.0923471	0.124759
a87	0.2954	0.147356	0.0715815	0.0902136	0.115047	0.138866	0.141536
</S>	0.0762522	0.0525863	0.038825	0.0700885	0.148119	0.254541	0.359588
