 	cette	saison	sèche	sera	très	froide	</S>
a87	0.24386	0.201385	0.329162	0.149602	0.0415945	0.0193922	0.015004
a79	0.325656	0.17792	0.103729	0.151478	0.105886	0.0709846	0.064346
a47	0.209483	0.213629	0.239991	0.156682	0.0630902	0.0535451	0.0635796
a96	0.380407	0.266082	0.172646	0.074904	0.0316723	0.0310506	0.0432389
a94	0.416386	0.329944	0.137661	0.0557244	0.0202036	0.0198192	0.0202616
a90	0.350361	0.278003	0.164708	0.0965607	0.0393313	0.0366476	0.0343884
a21	0.29834	0.2499	0.173428	0.106478	0.0492687	0.0589935	0.0635916
a85	0.33166	0.263617	0.22677	0.116	0.023477	0.0199269	0.018549
a21	0.220154	0.241663	0.253283	0.139122	0.0448085	0.0465669	0.0544033
a18	0.219294	0.242668	0.257538	0.148258	0.0440285	0.0401754	0.0480385
a21	0.120903	0.151724	0.314722	0.215622	0.0651719	0.0586929	0.0731641
a5	0.176703	0.169644	0.243124	0.167609	0.0756335	0.0700159	0.0972712
a18	0.172164	0.141164	0.170983	0.155288	0.104278	0.108974	0.14715
a38	0.0643872	0.0570146	0.118404	0.139118	0.169362	0.210606	0.241109
a47	0.0216377	0.0166983	0.0504667	0.0707596	0.141471	0.300824	0.398143
a70	0.0512724	0.0345344	0.0629804	0.0736776	0.155744	0.28511	0.336681
a62	0.0102339	0.00724146	0.0146919	0.0291223	0.105257	0.337505	0.495949
a88	0.00933005	0.00627014	0.0125185	0.0270349	0.116069	0.354946	0.473831
a0	0.0019258	0.00127567	0.00267846	0.0105365	0.0752553	0.335928	0.5724
a31	0.00141584	0.000899294	0.00280058	0.0126293	0.0816369	0.298701	0.601917
a24	0.000679249	0.000541933	0.00146801	0.0102862	0.086496	0.325277	0.575252
a9	0.00249223	0.00146806	0.00368986	0.0124632	0.0680091	0.291588	0.62029
a10	0.0260758	0.0132047	0.0211607	0.0363997	0.0843164	0.249213	0.56963
a87	0.0305555	0.0271853	0.0555966	0.102625	0.159822	0.26602	0.358196
a23	0.0450848	0.0361255	0.0618645	0.109641	0.155971	0.261577	0.329736
a87	0.00914165	0.00768876	0.00897141	0.0344642	0.1076	0.346105	0.486029
</S>	0.00396654	0.00486074	0.0105215	0.0377769	0.0925812	0.307849	0.542445
