 	il	alla	jusqu'	aux	bornes	du	village	</S>
a10	0.179121	0.167199	0.164163	0.210409	0.134924	0.0629971	0.0446424	0.036544
a87	0.189371	0.095255	0.083181	0.110617	0.10857	0.100689	0.127528	0.184789
a99	0.325132	0.155806	0.0901326	0.0658803	0.0476342	0.0535909	0.0899711	0.171853
a30	0.231458	0.156317	0.101066	0.0701531	0.0554754	0.0619269	0.115774	0.207828
a53	0.14479	0.131511	0.0913619	0.0740343	0.0644674	0.075804	0.163786	0.254245
a15	0.363912	0.263408	0.171348	0.0774578	0.0369458	0.023803	0.0279894	0.0351355
a92	0.424277	0.298996	0.159503	0.0561228	0.023585	0.0109549	0.011112	0.0154489
a37	0.281216	0.338194	0.22599	0.0827482	0.0304143	0.0113918	0.012263	0.0177829
a26	0.237765	0.338169	0.26744	0.0911765	0.0304528	0.0110614	0.0100944	0.0138404
a61	0.241162	0.317886	0.243355	0.105881	0.0399616	0.016224	0.0150517	0.0204791
a47	0.197433	0.258466	0.270517	0.173645	0.0580657	0.0158856	0.0118578	0.0141295
a88	0.156554	0.221356	0.261094	0.218085	0.0887305	0.0224151	0.0149896	0.0167758
a9	0.135623	0.188881	0.230142	0.239415	0.129609	0.03381	0.0201875	0.0223329
a38	0.0854699	0.113261	0.158731	0.232279	0.186578	0.0837954	0.062436	0.0774502
a21	0.0791932	0.107894	0.136793	0.232799	0.205036	0.0925558	0.0683452	0.0773838
a61	0.107772	0.13884	0.145597	0.202786	0.176574	0.0998037	0.06716	0.0614677
a56	0.0527303	0.0654444	0.0802172	0.166702	0.280427	0.176628	0.0918849	0.0859666
a75	0.0467658	0.0611206	0.0715209	0.140231	0.265655	0.21172	0.111819	0.0911675
a34	0.0264116	0.0384972	0.0440121	0.0696399	0.144331	0.201097	0.226111	0.2499
a83	0.0292778	0.0386801	0.0456665	0.0774911	0.189218	0.274765	0.190966	0.153935
a0	0.0143272	0.0177258	0.0214264	0.0430848	0.146423	0.289453	0.249496	0.218064
a21	0.00876975	0.00987973	0.0132429	0.0286028	0.0995694	0.236662	0.282082	0.321191
a85	0.00975469	0.0121502	0.0148952	0.0268289	0.0749026	0.205699	0.312737	0.343033
a41	0.00629816	0.00725228	0.00882605	0.0135074	0.0395945	0.166257	0.336678	0.421586
a2	0.00704759	0.00705053	0.00812345	0.0128183	0.0397315	0.17183	0.339296	0.414103
a38	0.00633473	0.00563332	0.00594486	0.011675	0.0369702	0.118388	0.259916	0.555138
a13	0.00207155	0.00168244	0.00176883	0.00393389	0.0187955	0.0882821	0.276001	0.607465
a99	0.0014582	0.000877181	0.000856106	0.00220144	0.0149706	0.0816505	0.282017	0.615969
a87	0.00361479	0.00184819	0.0014872	0.00331675	0.0178654	0.0920569	0.286187	0.593624
a23	0.118761	0.0494146	0.0315145	0.0373638	0.0616753	0.120278	0.194387	0.386605
a87	0.033449	0.0163045	0.0137844	0.0198323	0.0480222	0.152214	0.285669	0.430725
</S>	0.0148882	0.00784363	0.00893827	0.0172576	0.045017	0.125952	0.280566	0.499537
