 	en	ville	il	y	a	des	statues	dans	certaines	avenues	</S>
a66	0.23204	0.200053	0.160228	0.122959	0.107804	0.0890988	0.0426651	0.0225637	0.00843727	0.00763334	0.00651847
a87	0.29722	0.167661	0.0925699	0.0782887	0.0511102	0.0546194	0.0459434	0.0478483	0.0454002	0.0561831	0.063155
a23	0.199649	0.154552	0.133887	0.142835	0.124312	0.108831	0.048654	0.0228944	0.0184282	0.0204025	0.0255546
a79	0.117347	0.10547	0.0965312	0.155314	0.149498	0.174181	0.0700732	0.0338663	0.0311345	0.0328455	0.033739
a20	0.158064	0.145954	0.122619	0.125184	0.100558	0.103927	0.0708299	0.0531842	0.0343698	0.0460598	0.0392518
a90	0.185923	0.172572	0.158453	0.132948	0.117291	0.110339	0.0438582	0.0290839	0.0141601	0.0199863	0.0153863
a98	0.190839	0.178324	0.146361	0.150077	0.131991	0.11933	0.029074	0.0171609	0.00938864	0.0151776	0.0122763
a5	0.130324	0.148049	0.115621	0.13786	0.115071	0.119476	0.0481352	0.0476245	0.0296064	0.0558292	0.0524032
a12	0.162516	0.154051	0.116801	0.148575	0.129795	0.133723	0.0548894	0.0362097	0.0147809	0.0234838	0.0251753
a18	0.151212	0.155707	0.123816	0.153602	0.132113	0.135186	0.0613153	0.0350309	0.0120697	0.0190237	0.0209249
a62	0.0711656	0.0874326	0.105587	0.154645	0.166744	0.184939	0.10393	0.0453481	0.0234852	0.0236146	0.0331078
a88	0.05344	0.0774781	0.100545	0.148239	0.171965	0.184359	0.125254	0.0580658	0.0240411	0.0254768	0.0311368
a0	0.0357554	0.0513451	0.0772458	0.12145	0.172999	0.199534	0.170613	0.0751414	0.0295647	0.0276644	0.0386876
a47	0.0347502	0.0444048	0.0750665	0.10957	0.172167	0.205813	0.19307	0.0728427	0.0267118	0.0269303	0.038674
a96	0.0393967	0.0492372	0.0786149	0.103147	0.158632	0.174429	0.183369	0.0885972	0.0372994	0.0345331	0.0527449
a94	0.0274912	0.036091	0.0542563	0.0782608	0.128314	0.16295	0.198181	0.124166	0.0636905	0.0507559	0.0758421
a93	0.030133	0.0376516	0.0592891	0.0771481	0.120297	0.145577	0.218679	0.124431	0.0510106	0.0483148	0.0874692
a94	0.0294743	0.0331275	0.0484792	0.0617181	0.0964157	0.125177	0.212605	0.149349	0.0744892	0.0645581	0.104606
a75	0.0225091	0.0244699	0.0391395	0.0455874	0.0714515	0.0902912	0.173975	0.142569	0.109767	0.102896	0.177345
a85	0.00350928	0.00524639	0.00868461	0.0121465	0.0216263	0.0321328	0.0801216	0.104171	0.238926	0.217263	0.276173
a47	0.00628903	0.00960488	0.0167884	0.0204717	0.0318378	0.0388056	0.0858835	0.10593	0.16856	0.191846	0.323984
a98	0.00334748	0.00501224	0.00810788	0.0094333	0.0151527	0.0161491	0.0491952	0.0741266	0.180489	0.222576	0.416411
a85	0.00225588	0.00336727	0.00514444	0.00584866	0.00878812	0.00954613	0.024452	0.0426198	0.15785	0.267681	0.472446
a47	0.00138666	0.00178279	0.00244301	0.00265104	0.00365677	0.00374493	0.0101981	0.021976	0.126683	0.303913	0.521564
a98	0.0041831	0.00395451	0.00417555	0.00380815	0.00446263	0.0041828	0.00650964	0.0130154	0.119448	0.320858	0.515402
a85	0.000509586	0.000565549	0.000675466	0.000761844	0.00115089	0.001371	0.00344061	0.00853089	0.110331	0.35094	0.521724
a47	0.000279367	0.000332092	0.000491882	0.000666909	0.00119559	0.00147973	0.00428018	0.010305	0.126598	0.352474	0.501897
a98	0.000274896	0.000275744	0.000351851	0.000391264	0.000711404	0.00101531	0.00280641	0.00824477	0.122372	0.319812	0.543745
a47	0.00020337	0.000186133	0.000245458	0.000307123	0.000595505	0.00097008	0.00314426	0.0107046	0.147504	0.329059	0.50708
a6	0.000371836	0.000345707	0.000415138	0.000438908	0.000707041	0.00102448	0.00282792	0.0106437	0.145854	0.31051	0.52686
a36	0.00132008	0.00127478	0.00158371	0.00155166	0.00216659	0.00250372	0.0057551	0.0172738	0.155776	0.315116	0.495678
a26	0.00833524	0.00859906	0.0104442	0.0085089	0.011601	0.010486	0.0181799	0.0496321	0.180184	0.271217	0.422812
a57	0.0929843	0.0739998	0.0700905	0.0550559	0.0576064	0.043302	0.0559889	0.0837435	0.122547	0.158208	0.186473
a87	0.162184	0.123493	0.126546	0.106757	0.115395	0.0768476	0.0620129	0.0616643	0.0622405	0.0502358	0.0526242
a23	0.180865	0.147799	0.131837	0.109535	0.0898888	0.0740581	0.0542052	0.0547274	0.0631555	0.048196	0.0457325
a38	0.0175114	0.0109059	0.0083044	0.00624314	0.0048496	0.00482138	0.0104708	0.0380056	0.221531	0.378683	0.298674
a57	0.0294108	0.0176395	0.0129584	0.0125889	0.0141078	0.0150023	0.0220528	0.0525002	0.174491	0.339363	0.309885
</S>	0.00846409	0.00549616	0.00544274	0.00780711	0.00965388	0.0110309	0.0183992	0.0379425	0.140697	0.376473	0.378593
