 	qui	est	ce	qui	a	débouché	le	ruisseau	</S>
a15	0.209651	0.163778	0.135489	0.1341	0.104384	0.0671834	0.0445787	0.0674751	0.0733607
a57	0.173314	0.119407	0.0944464	0.13729	0.162275	0.125624	0.0736392	0.0595413	0.0544638
a87	0.282141	0.160837	0.0933164	0.129901	0.139946	0.0715966	0.0504673	0.0400175	0.0317769
a23	0.244606	0.198886	0.131518	0.155186	0.14447	0.0647694	0.0214118	0.0210377	0.0181153
a30	0.261462	0.224164	0.124063	0.15502	0.149323	0.0318357	0.0168442	0.015796	0.0214932
a4	0.241658	0.184195	0.1124	0.143828	0.174784	0.0674689	0.0301351	0.0242934	0.0212381
a90	0.218411	0.195903	0.163954	0.169574	0.151694	0.0652225	0.0162142	0.00988675	0.00914002
a56	0.15363	0.160067	0.17154	0.153149	0.159865	0.113866	0.0433697	0.0232049	0.0213088
a21	0.0949421	0.107934	0.125777	0.120084	0.139289	0.196312	0.095939	0.0615354	0.0581874
a47	0.0589005	0.0595618	0.0784987	0.0793901	0.108198	0.276375	0.15796	0.102306	0.078809
a31	0.0436036	0.0427925	0.0540977	0.0696618	0.106535	0.248343	0.183667	0.141663	0.109636
a62	0.036805	0.0333166	0.042808	0.0566791	0.0751215	0.176612	0.199837	0.207784	0.171037
a61	0.0318826	0.0247168	0.0291205	0.0360032	0.0440271	0.128347	0.206696	0.255265	0.243941
a75	0.00854996	0.00577037	0.00619805	0.00720048	0.0101432	0.0381694	0.146279	0.337018	0.440671
a92	0.00337747	0.00254032	0.0026377	0.00332093	0.00490612	0.0168099	0.10908	0.3065	0.550828
a21	0.00126361	0.000951623	0.000888925	0.0010913	0.00180188	0.00762141	0.0634174	0.249149	0.673815
a47	0.00133954	0.00100575	0.000922813	0.00091374	0.00103965	0.00362979	0.0372834	0.210141	0.743724
a96	0.00137348	0.00108563	0.00109938	0.00137957	0.00258944	0.00762887	0.0395179	0.181954	0.763372
a75	0.00153534	0.00119497	0.00126465	0.00155906	0.00267045	0.0118162	0.0381052	0.172767	0.769087
a36	0.00128253	0.000969399	0.00101245	0.00132554	0.00264472	0.00902935	0.0348587	0.163822	0.785055
a27	0.0140442	0.00885509	0.00941915	0.0160556	0.0346627	0.0466499	0.105042	0.206223	0.559049
a30	0.213398	0.110735	0.0721934	0.11748	0.110633	0.0551163	0.0713951	0.0868456	0.162203
a87	0.223583	0.135802	0.0824515	0.102171	0.100601	0.115085	0.0698034	0.0780476	0.0924559
a23	0.158933	0.0951486	0.0610374	0.0843177	0.0853261	0.131763	0.101674	0.119735	0.162065
a87	0.0664922	0.0439896	0.0291013	0.031165	0.0297342	0.0357947	0.0856118	0.216881	0.46123
</S>	0.00292469	0.00185087	0.00136688	0.00258154	0.00505054	0.0191569	0.0682313	0.236119	0.662718
