 	ma	femme	attend	le	véhicule	qui	part	à	brazaville	</S>
a66	0.27297	0.225604	0.147554	0.13976	0.09105	0.0577471	0.0271546	0.0150959	0.0120604	0.0110048
a38	0.216914	0.138404	0.10298	0.117407	0.0925876	0.0861226	0.070491	0.0579254	0.0582958	0.0588729
a44	0.324466	0.193618	0.110998	0.120412	0.0815435	0.0466025	0.0345642	0.028644	0.029291	0.0298604
a98	0.333303	0.214932	0.0834449	0.115315	0.0790074	0.0512713	0.0412681	0.0319656	0.0271064	0.0223861
a85	0.248211	0.201544	0.0850776	0.0937885	0.0754127	0.0732632	0.0747643	0.061148	0.0517227	0.0350686
a6	0.23099	0.19272	0.103572	0.104891	0.0756089	0.055116	0.0618623	0.0604763	0.0612301	0.0535341
a56	0.176886	0.167878	0.130504	0.122632	0.0847068	0.0621664	0.0650055	0.0618638	0.0678005	0.0605569
a75	0.224192	0.215254	0.170703	0.118054	0.065802	0.040918	0.0342642	0.0341534	0.0480407	0.0486182
a6	0.122939	0.159881	0.191465	0.145715	0.0992769	0.0689282	0.051607	0.0447492	0.0556118	0.0598261
a98	0.0976639	0.141336	0.207589	0.149391	0.107702	0.0802353	0.0564576	0.044943	0.0542531	0.06043
a79	0.0764299	0.1257	0.212661	0.144798	0.117666	0.0925356	0.0661617	0.0484096	0.0538705	0.0617686
a90	0.0721636	0.118057	0.211553	0.156056	0.124151	0.0891332	0.0607233	0.0468629	0.056117	0.0651833
a98	0.0554637	0.102509	0.201189	0.164923	0.137606	0.0926914	0.0588428	0.0480847	0.0581287	0.0805625
a85	0.0344134	0.0718914	0.172831	0.154626	0.163153	0.115772	0.080418	0.0606586	0.0632039	0.083033
a36	0.0294391	0.0618299	0.13545	0.116894	0.138129	0.111737	0.100723	0.0922985	0.100266	0.113232
a21	0.014963	0.0360516	0.116897	0.144475	0.195375	0.131253	0.0846228	0.07029	0.0817765	0.124297
a92	0.0189537	0.0330687	0.0858015	0.0876908	0.12427	0.110024	0.102568	0.102049	0.127119	0.208455
a25	0.00626641	0.0137299	0.0557485	0.0679029	0.120099	0.118001	0.128717	0.130647	0.14896	0.209929
a69	0.00578986	0.0135669	0.0522712	0.0613804	0.11009	0.113754	0.137409	0.135593	0.155963	0.214182
a93	0.00760473	0.0139141	0.054603	0.08498	0.158958	0.130973	0.130594	0.121407	0.129124	0.167843
a70	0.00402831	0.00718509	0.0314208	0.0592171	0.138772	0.134209	0.146685	0.148228	0.152398	0.177855
a62	0.00292207	0.004631	0.0136229	0.0310384	0.0885071	0.0910022	0.123762	0.158273	0.22274	0.263501
a34	0.00382018	0.00555051	0.0129789	0.0275196	0.075267	0.0833561	0.123431	0.163038	0.237509	0.267529
a90	0.00219393	0.00374946	0.00958843	0.0210175	0.0584417	0.0619895	0.102825	0.159647	0.274211	0.306336
a44	0.00127199	0.00255003	0.00883421	0.0193876	0.053569	0.0594306	0.0973413	0.160514	0.25721	0.339891
a75	0.00127447	0.00227533	0.00686732	0.0153306	0.0448112	0.0508345	0.0836563	0.142124	0.259779	0.393047
a92	0.00105115	0.00194546	0.00605557	0.0109615	0.0294837	0.0314607	0.0554505	0.112869	0.2394	0.511323
a37	0.000670545	0.00135586	0.00467816	0.0077591	0.0193513	0.0216871	0.0421164	0.0966447	0.220691	0.585045
a61	0.000830153	0.00138818	0.00375597	0.00771825	0.0207781	0.0261177	0.053879	0.117267	0.267764	0.500501
a21	0.000600515	0.00107517	0.00296256	0.00554755	0.0163473	0.0230521	0.0527823	0.118084	0.267437	0.512111
a12	0.00066616	0.00105333	0.00214466	0.00392673	0.0111248	0.0166043	0.0419367	0.104905	0.262412	0.555226
a96	0.000594608	0.000923558	0.00184661	0.00344698	0.00971325	0.0134541	0.033819	0.0898595	0.246378	0.599964
a18	0.00110018	0.00142351	0.00313943	0.0066479	0.0166109	0.0239558	0.0516142	0.114008	0.251411	0.53009
a71	0.00550956	0.00535523	0.00910623	0.0167508	0.0347688	0.0448125	0.0823603	0.138291	0.224519	0.438526
a3	0.038478	0.0267763	0.0270221	0.0368299	0.0583876	0.0725072	0.0974642	0.130036	0.175546	0.336953
a99	0.0621121	0.0353824	0.0318442	0.0417469	0.0744035	0.0861799	0.112935	0.144492	0.17123	0.239674
a97	0.0531696	0.0300128	0.0329023	0.0410339	0.0752143	0.0917181	0.12082	0.14995	0.188336	0.216843
a9	0.0416729	0.0299765	0.0466279	0.0565588	0.0926197	0.0982475	0.117708	0.137287	0.179226	0.200076
a27	0.0304468	0.0255609	0.0395771	0.0472994	0.0733417	0.0720648	0.0910473	0.119112	0.205976	0.295574
</S>	0.0147277	0.0141897	0.0228481	0.0274442	0.0418062	0.0444048	0.0661963	0.10557	0.248018	0.414794
