 	ceux-ci	sont	des	maniocs	à	vendre	ceux-ci	sont	à	manger	</S>
a66	0.128968	0.105076	0.10896	0.112312	0.115522	0.125037	0.160811	0.071895	0.0336804	0.020819	0.0169191
a87	0.166686	0.145853	0.133337	0.142767	0.0963705	0.0641193	0.0925779	0.0618711	0.0363598	0.0309193	0.0291398
a23	0.382505	0.216748	0.121489	0.0857379	0.04388	0.0231294	0.0252253	0.0230814	0.0228373	0.0262193	0.0291475
a87	0.467457	0.197932	0.127399	0.0896406	0.0372617	0.0139928	0.0103078	0.00801822	0.00890842	0.0152967	0.0237853
a23	0.417507	0.1957	0.142467	0.102555	0.0486365	0.0191667	0.0175841	0.0121577	0.0114244	0.0144947	0.0183071
a83	0.447398	0.166065	0.115999	0.0784387	0.0390686	0.0169954	0.0152871	0.0179517	0.0230257	0.0341269	0.0456435
a61	0.315983	0.127325	0.102569	0.0770091	0.0491696	0.026871	0.0270123	0.031154	0.0515101	0.0841809	0.107216
a12	0.395596	0.157688	0.114551	0.0818663	0.047069	0.0244047	0.0260754	0.0218484	0.0304408	0.0439121	0.056548
a96	0.316333	0.165482	0.144642	0.112444	0.0753924	0.0459108	0.0338139	0.0207217	0.0219387	0.0277174	0.0356041
a75	0.214616	0.157494	0.160184	0.133808	0.103186	0.0715221	0.044981	0.0248988	0.0236712	0.0285863	0.0370528
a5	0.130984	0.120488	0.132198	0.120926	0.10171	0.10662	0.0747468	0.0447139	0.044115	0.0542292	0.0692688
a24	0.165855	0.124494	0.127361	0.112662	0.116196	0.112402	0.0813774	0.0397633	0.034293	0.0381402	0.0474555
a47	0.0729022	0.118858	0.156713	0.147439	0.166724	0.123905	0.0724581	0.0317407	0.0276367	0.0327435	0.0488792
a31	0.0737775	0.12846	0.16801	0.157391	0.160839	0.125007	0.0757483	0.0299446	0.0231494	0.0244655	0.0332066
a88	0.0523136	0.0998741	0.132641	0.129149	0.175666	0.172941	0.119686	0.0380451	0.024991	0.0244926	0.0302005
a62	0.035111	0.0815418	0.130816	0.142799	0.184149	0.176153	0.098975	0.0413003	0.0276504	0.0324318	0.0490721
a5	0.0243775	0.0631594	0.109546	0.123814	0.196982	0.204147	0.131561	0.0512546	0.030516	0.0283151	0.0363274
a36	0.0316489	0.047974	0.0756099	0.0797747	0.133282	0.208771	0.178138	0.0864861	0.0535649	0.0490141	0.0557364
a2	0.0197877	0.0355486	0.0628582	0.067449	0.113697	0.168029	0.116657	0.0778429	0.0700932	0.103254	0.164783
a57	0.0650945	0.0850933	0.10141	0.108839	0.117662	0.13179	0.0874678	0.0575121	0.0502917	0.0723351	0.122504
a87	0.0741228	0.0771294	0.080404	0.0914254	0.100122	0.131407	0.121907	0.076966	0.0564651	0.0761617	0.113889
a23	0.102418	0.0688189	0.0594039	0.0623914	0.0660868	0.0902807	0.129106	0.10751	0.0942171	0.101777	0.11799
a83	0.0322083	0.0261605	0.0298395	0.0354073	0.0395601	0.0487604	0.0949766	0.126973	0.14916	0.186716	0.230238
a61	0.00907791	0.0145928	0.0212129	0.0253572	0.0304455	0.0368527	0.0598261	0.074967	0.137457	0.232422	0.357789
a12	0.00622738	0.01007	0.014412	0.0190173	0.0339835	0.0518318	0.0792704	0.101557	0.165876	0.22216	0.295595
a61	0.00548144	0.00892398	0.0127588	0.0159996	0.0285388	0.0490517	0.0726175	0.108274	0.191791	0.235239	0.271324
a24	0.0067385	0.0112243	0.0156254	0.0187645	0.0311604	0.0530763	0.0729929	0.104415	0.18822	0.238555	0.259228
a47	0.00483321	0.00994079	0.0147942	0.0197532	0.0317544	0.0509473	0.0598263	0.0879916	0.166633	0.241499	0.312027
a31	0.00640453	0.0127426	0.01663	0.0201878	0.0290768	0.0454066	0.0518641	0.0916731	0.174571	0.249972	0.301472
a75	0.00345618	0.00623591	0.00909676	0.0111194	0.0175661	0.0299306	0.0348161	0.0692718	0.163546	0.283837	0.371124
a85	0.000990527	0.00184879	0.0033009	0.00392663	0.00695168	0.0141679	0.0212549	0.0793911	0.204862	0.325506	0.337799
a47	0.00179505	0.00326448	0.0062524	0.00733056	0.0124139	0.0231425	0.0248724	0.0684534	0.162531	0.300051	0.389893
a36	0.00079458	0.00146453	0.00247089	0.00258674	0.00441385	0.00648864	0.00601945	0.0367149	0.115057	0.280839	0.54315
a2	0.0058819	0.00732318	0.00861879	0.00850744	0.0116134	0.012875	0.00992771	0.0385036	0.0995897	0.245257	0.551902
a57	0.0702557	0.0778953	0.0726369	0.0704561	0.0588611	0.0460852	0.0376325	0.0672937	0.095322	0.146012	0.25755
a87	0.113074	0.0992319	0.0742116	0.0656557	0.048126	0.0422112	0.0452911	0.068202	0.0938213	0.137272	0.212904
</S>	0.149888	0.135507	0.0935194	0.0743961	0.0473016	0.03712	0.056181	0.0613177	0.077394	0.107425	0.159951
