 	c'	est	lui	qui	a	mis	fin	à	la	guerre	</S>
a66	0.210567	0.167969	0.138559	0.127963	0.113526	0.125038	0.0607085	0.0318116	0.0159575	0.00466164	0.00323909
a87	0.179404	0.14243	0.119819	0.111238	0.124766	0.125338	0.0945964	0.0532997	0.0267193	0.012462	0.0099273
a23	0.227092	0.195135	0.176678	0.167722	0.112126	0.061605	0.0216799	0.0120131	0.00993535	0.00890889	0.0071043
a21	0.211535	0.193946	0.175724	0.183666	0.120991	0.0576045	0.0231422	0.00909845	0.00577255	0.00721859	0.0113012
a47	0.196597	0.155287	0.132635	0.132373	0.114439	0.104812	0.0743685	0.0402696	0.0225661	0.0137026	0.01295
a75	0.12409	0.132955	0.139594	0.147902	0.130473	0.132107	0.087601	0.0467347	0.0281224	0.0171449	0.0132761
a25	0.0609859	0.0661492	0.078011	0.098064	0.128265	0.181528	0.19953	0.109104	0.0425727	0.0215002	0.01429
a56	0.0538037	0.0570708	0.0660168	0.070413	0.0940322	0.13401	0.184943	0.183163	0.080738	0.0428688	0.0329408
a12	0.0710136	0.0692112	0.0768238	0.088549	0.107544	0.124421	0.153309	0.133629	0.0742245	0.0617869	0.0394882
a62	0.0687339	0.0667541	0.0737831	0.077586	0.116735	0.140517	0.150515	0.138181	0.0709897	0.0551003	0.0411056
a0	0.063376	0.0622148	0.0667523	0.0635929	0.112519	0.138284	0.120333	0.116564	0.0757599	0.0838075	0.0967965
a31	0.0534603	0.0558462	0.0600457	0.0534599	0.0750153	0.0853005	0.066506	0.0898046	0.105939	0.1597	0.194922
a0	0.048437	0.0439996	0.0444423	0.0384255	0.0482517	0.0489507	0.0392886	0.0758789	0.134714	0.22821	0.249401
a31	0.0291776	0.030939	0.0335923	0.0314173	0.0396836	0.041991	0.0363118	0.0518468	0.124665	0.263782	0.316593
a88	0.0125456	0.0121465	0.0130023	0.0121764	0.0149545	0.0143616	0.0134282	0.0301689	0.107517	0.326768	0.442931
a24	0.0101852	0.00989161	0.0105145	0.00999787	0.0123901	0.0130301	0.0105246	0.0227215	0.0918867	0.29822	0.510638
a21	0.00695966	0.00645998	0.00706107	0.00790653	0.0113868	0.0143842	0.0120775	0.0287077	0.10483	0.279618	0.520609
a85	0.00346842	0.00342802	0.00395889	0.00428394	0.00543349	0.00577022	0.00600772	0.015679	0.0662733	0.263822	0.621875
a6	0.00128448	0.00109138	0.00113637	0.00104106	0.00121055	0.0013641	0.00172435	0.00558978	0.0312523	0.204528	0.749777
a36	0.000825069	0.000694746	0.000669417	0.000540807	0.000584252	0.000637925	0.000623597	0.00233092	0.0163609	0.173077	0.803656
a2	0.0143181	0.00937474	0.00851532	0.00825663	0.0109485	0.0149275	0.0195225	0.0413838	0.0923569	0.257119	0.523277
a57	0.217597	0.130463	0.110862	0.0924495	0.0811773	0.0603252	0.0390345	0.0347841	0.0385041	0.0739311	0.120871
a87	0.282514	0.179017	0.1483	0.116046	0.0893661	0.0541992	0.0261622	0.0167281	0.0169561	0.0285354	0.0421751
a23	0.249731	0.159207	0.137219	0.125159	0.109981	0.0873296	0.0467648	0.0260513	0.0191891	0.0203619	0.019006
a87	0.146609	0.110551	0.106499	0.0994163	0.0871114	0.064193	0.0232499	0.0169628	0.0258977	0.0906669	0.228843
</S>	0.058232	0.0391739	0.036308	0.0319501	0.0266729	0.022515	0.0146761	0.0177033	0.042911	0.225624	0.484234
