 	ton	habit-là	est	bien	usé	</S>
a66	0.50885	0.176537	0.0788683	0.0893663	0.0877576	0.0586202
a87	0.458749	0.184026	0.139093	0.105299	0.0645173	0.0483156
a23	0.527561	0.304884	0.0939221	0.035242	0.0192145	0.019176
a87	0.479123	0.310474	0.124766	0.0495686	0.0191942	0.0168745
a23	0.530168	0.288655	0.102281	0.0417427	0.019081	0.0180721
a58	0.523563	0.246059	0.103896	0.0575316	0.0318993	0.0370515
a57	0.314557	0.394324	0.151945	0.0587428	0.0391754	0.0412554
a82	0.130627	0.258145	0.199375	0.126625	0.122233	0.162994
a40	0.116368	0.245197	0.204585	0.133091	0.128768	0.171991
a20	0.152274	0.406186	0.216685	0.104373	0.0637677	0.056714
a94	0.158026	0.352517	0.234864	0.127721	0.0723144	0.0545574
a4	0.0725173	0.221719	0.261379	0.182229	0.135704	0.126452
a54	0.0627407	0.137165	0.199624	0.203237	0.194351	0.202883
a44	0.0750446	0.0995356	0.185239	0.221943	0.227067	0.191171
a70	0.0275465	0.0498463	0.146545	0.240255	0.25677	0.279037
a4	0.0153222	0.0279719	0.091922	0.227246	0.297453	0.340085
a70	0.0159434	0.0251041	0.0826272	0.23131	0.311604	0.333412
a61	0.0055314	0.00995109	0.0359904	0.154838	0.32683	0.46686
a0	0.00276161	0.00465136	0.0188018	0.103049	0.317463	0.553273
a93	0.0012414	0.00161742	0.00728305	0.0463802	0.264491	0.678987
a70	0.000750192	0.000964976	0.00524841	0.0350781	0.232884	0.725074
a50	0.000807416	0.00107966	0.00573115	0.0359155	0.2275	0.728966
a70	0.000976883	0.00119166	0.00513107	0.0284481	0.189198	0.775054
a4	0.000624989	0.00089267	0.00306526	0.0187952	0.166233	0.810389
a53	0.00093237	0.00120672	0.00480651	0.0275731	0.188887	0.776595
a44	0.000529486	0.000629789	0.00272659	0.0191106	0.152097	0.824906
a58	0.00111507	0.00105985	0.00422863	0.0267053	0.178886	0.788005
a82	0.00291399	0.00279161	0.00494583	0.0228878	0.146425	0.820036
a87	0.107054	0.0404444	0.0326846	0.0581134	0.143612	0.618091
a23	0.223157	0.108496	0.0781994	0.105914	0.157417	0.326817
a87	0.168556	0.0919066	0.0920484	0.122038	0.189281	0.33617
</S>	0.0891977	0.0520233	0.0633621	0.133343	0.252107	0.409967
