 	cette	femme	ne	se	lave	plus	parce	qu'	elle	est	en	veuvage	</S>
a66	0.182666	0.198589	0.222073	0.175602	0.0817511	0.0367811	0.0231801	0.0197257	0.0149219	0.0147063	0.0116301	0.00864666	0.00972714
a87	0.302804	0.257517	0.18321	0.090388	0.0321177	0.0129727	0.00663437	0.0068219	0.00799459	0.0133048	0.0200902	0.0255978	0.040546
a23	0.40616	0.241097	0.118534	0.0625305	0.0270139	0.0112851	0.00529434	0.00556295	0.00807427	0.0119618	0.0186469	0.0270768	0.0567626
a58	0.351535	0.181915	0.0889506	0.0380752	0.0219803	0.0175847	0.0147696	0.0162661	0.0195422	0.0250598	0.037489	0.0494499	0.137382
a4	0.223604	0.155993	0.122521	0.0819293	0.0497738	0.0298723	0.0185133	0.0184119	0.0207707	0.0281378	0.0460813	0.0651484	0.139243
a50	0.263944	0.231061	0.168368	0.121254	0.0758986	0.0424385	0.0212109	0.0121189	0.0079453	0.00837185	0.0127106	0.0125915	0.0220871
a96	0.193946	0.213303	0.18192	0.131597	0.0906671	0.0516441	0.0269626	0.0160682	0.0123717	0.0134169	0.0192018	0.016936	0.0319649
a93	0.122642	0.15031	0.15694	0.140986	0.128949	0.0812979	0.0485316	0.0328524	0.0246213	0.0251973	0.027295	0.0239216	0.0364555
a90	0.0885586	0.117088	0.145525	0.148554	0.144218	0.091141	0.0599845	0.0428274	0.0310306	0.0298616	0.0295106	0.0302301	0.0414714
a15	0.0435104	0.0697931	0.102481	0.1267	0.157869	0.121445	0.0874807	0.0574043	0.0381851	0.0362177	0.0389713	0.0481941	0.071748
a79	0.0323836	0.0670222	0.11842	0.140466	0.119569	0.0887514	0.0773614	0.0623281	0.0444735	0.0409429	0.042912	0.0700766	0.0952931
a90	0.0296553	0.057777	0.0985994	0.12602	0.140923	0.118789	0.0960432	0.0713853	0.04655	0.0393126	0.0401355	0.059528	0.075281
a56	0.0465398	0.0798842	0.129421	0.153321	0.14539	0.104627	0.0837749	0.0657773	0.0431936	0.0344044	0.0297071	0.0390157	0.0449433
a43	0.0345761	0.0558369	0.103138	0.131083	0.122472	0.0959758	0.0932558	0.0830975	0.0598782	0.0488313	0.0417716	0.0604741	0.0696096
a90	0.0220063	0.0326914	0.0588837	0.101502	0.11485	0.102621	0.112603	0.110553	0.0801758	0.0646992	0.0514145	0.0666091	0.0813908
a15	0.0134495	0.0205223	0.03795	0.0802843	0.124535	0.12122	0.122597	0.117986	0.0873619	0.0682217	0.0525399	0.0699455	0.0833863
a20	0.00560962	0.00917732	0.0177006	0.0430643	0.0807827	0.101131	0.123475	0.126162	0.0965264	0.0764588	0.0626219	0.103285	0.154005
a47	0.00479373	0.00708086	0.0137557	0.0396373	0.084001	0.109459	0.115338	0.116376	0.0900369	0.0746421	0.0645035	0.104141	0.176235
a6	0.00391572	0.00571243	0.0119876	0.0333454	0.0597639	0.0842557	0.0952435	0.101668	0.0815799	0.0682579	0.0623684	0.117942	0.27396
a36	0.00252697	0.00397149	0.00922762	0.0327743	0.07468	0.104834	0.114095	0.115132	0.0944785	0.076902	0.0647413	0.102628	0.204008
a11	0.00454683	0.00558517	0.00714102	0.0176564	0.0541386	0.102661	0.141663	0.145983	0.110612	0.0821854	0.0630119	0.0853139	0.179501
a75	0.00442268	0.00511428	0.00517832	0.00938983	0.0256063	0.0586706	0.107712	0.128224	0.112478	0.0873485	0.0691504	0.110993	0.275712
a79	0.000558585	0.000793417	0.00148733	0.004612	0.0214283	0.0584083	0.101487	0.115612	0.114006	0.10192	0.0903393	0.141757	0.247591
a44	0.000395857	0.00058585	0.00115374	0.00400931	0.0186604	0.0566883	0.103422	0.122562	0.118015	0.10344	0.0912656	0.139639	0.240163
a70	0.00111999	0.00130267	0.0014872	0.00339764	0.0139073	0.0459005	0.111082	0.145967	0.142148	0.11534	0.0900755	0.114553	0.213719
a4	0.00163547	0.00201028	0.00205378	0.00376791	0.0103112	0.0312417	0.0930518	0.138434	0.152551	0.129445	0.103172	0.128995	0.20333
a57	0.000771099	0.00103939	0.00119159	0.00249096	0.00821787	0.0274897	0.0831421	0.124223	0.142053	0.129886	0.113323	0.147386	0.218787
a84	0.0011351	0.00136865	0.00129742	0.00234288	0.00557926	0.0164154	0.0470816	0.0736557	0.094803	0.0902674	0.0960938	0.177815	0.392145
a44	0.00454684	0.00418651	0.00395477	0.0055959	0.00885046	0.0178634	0.0360162	0.0549375	0.0804389	0.0843276	0.0843824	0.22134	0.393559
a96	0.00119913	0.00146826	0.0015506	0.00289029	0.00683954	0.0179921	0.0379811	0.0550854	0.076388	0.0851511	0.0985048	0.200152	0.414798
a88	0.000440519	0.000673463	0.000854009	0.00195436	0.0052507	0.0132047	0.0290274	0.040238	0.0560846	0.063275	0.091258	0.20316	0.49458
a71	0.00053936	0.000728944	0.000929428	0.00200052	0.00482221	0.0107909	0.0214413	0.0294973	0.0479337	0.0596813	0.0876286	0.238879	0.495128
a9	0.0014902	0.00164709	0.00185093	0.00344494	0.00690241	0.0149192	0.0294505	0.0436162	0.0679149	0.0756269	0.0856834	0.243308	0.424145
a87	0.0065206	0.00518657	0.00498519	0.00684197	0.0109594	0.0210292	0.0402459	0.064694	0.0919159	0.0938647	0.114165	0.26948	0.270111
a23	0.134885	0.0699598	0.0514429	0.0484879	0.0480512	0.0519314	0.0620987	0.0672929	0.0824848	0.0859452	0.0980434	0.109258	0.0901182
a87	0.109805	0.0616127	0.0371628	0.0334214	0.0437913	0.0628832	0.0688822	0.0553379	0.0602358	0.0640032	0.0901832	0.132529	0.180152
a97	0.0179851	0.0122006	0.00857813	0.00930669	0.0156561	0.0333239	0.048497	0.0467328	0.0553377	0.0647842	0.115921	0.225531	0.346146
</S>	0.0223313	0.018987	0.0146624	0.0162942	0.0297011	0.0609616	0.0986601	0.104547	0.100223	0.103344	0.12239	0.145746	0.162153
