 	il	serrait	sont	manteau	autour	de	lui	</S>
a82	0.28296	0.26888	0.197174	0.0889144	0.0638394	0.0392372	0.030528	0.0284674
a87	0.208034	0.20092	0.206578	0.161134	0.100897	0.0496408	0.0372292	0.035566
a97	0.275689	0.260372	0.247257	0.108	0.0449741	0.0218062	0.0178929	0.0240086
a3	0.312839	0.262067	0.229135	0.0977809	0.0449031	0.020189	0.0150112	0.0180749
a97	0.328085	0.250818	0.20103	0.0934698	0.0508302	0.0271758	0.021549	0.0270424
a40	0.308101	0.27611	0.209243	0.0800178	0.0460976	0.027149	0.0237216	0.0295604
a36	0.531973	0.184195	0.11304	0.0330462	0.0267728	0.026419	0.0351059	0.0494474
a44	0.453997	0.155453	0.105743	0.051288	0.0464114	0.0433419	0.0573507	0.0864142
a66	0.302844	0.160505	0.122897	0.0815396	0.0787226	0.0681442	0.0774072	0.10794
a70	0.230944	0.159519	0.128135	0.0958566	0.0929483	0.0820486	0.0893807	0.121169
a54	0.166598	0.136625	0.116943	0.104671	0.11244	0.0999161	0.110976	0.151831
a41	0.148553	0.14267	0.125804	0.109105	0.104593	0.0959181	0.114298	0.159058
a7	0.14758	0.142708	0.131911	0.113569	0.0993441	0.092691	0.113463	0.158733
a94	0.0859036	0.128652	0.129286	0.136141	0.123251	0.102568	0.117595	0.176604
a75	0.0557339	0.119852	0.130659	0.15961	0.145039	0.108402	0.114657	0.166047
a41	0.0557545	0.11785	0.135841	0.172595	0.153143	0.114506	0.109415	0.140896
a56	0.0638318	0.14268	0.142442	0.154663	0.130462	0.104344	0.110324	0.151254
a90	0.033621	0.0935551	0.113004	0.172983	0.167098	0.131636	0.125939	0.162163
a44	0.0303928	0.0899907	0.108672	0.181087	0.180594	0.138422	0.119069	0.151772
a56	0.0181652	0.0624445	0.0772839	0.159631	0.180261	0.151253	0.141555	0.209407
a15	0.0203583	0.0648587	0.0827943	0.166774	0.180964	0.157893	0.143796	0.182563
a69	0.0126761	0.0516044	0.0655896	0.146029	0.175591	0.186337	0.167304	0.194869
a54	0.0106449	0.0406314	0.0546728	0.149439	0.196767	0.187066	0.158821	0.201958
a73	0.0179283	0.0593492	0.0713262	0.143866	0.150819	0.157635	0.17528	0.223797
a56	0.0252148	0.0766605	0.0750142	0.12114	0.124268	0.143765	0.183455	0.250483
a44	0.00687482	0.0238663	0.0314917	0.109125	0.155996	0.195246	0.204977	0.272423
a75	0.00588789	0.0195949	0.0243421	0.0920699	0.140186	0.189126	0.21758	0.311213
a41	0.0141618	0.0354499	0.03846	0.10252	0.127205	0.155656	0.21025	0.316297
a36	0.0113189	0.02654	0.0296224	0.0763971	0.0998858	0.157588	0.23832	0.360328
a26	0.00176135	0.00475442	0.00604763	0.0275637	0.0552256	0.120558	0.25567	0.528419
a43	0.00211632	0.00455272	0.0052486	0.0238373	0.0490135	0.116982	0.282203	0.516046
a94	0.00133483	0.00281083	0.00353327	0.0174103	0.0358173	0.103152	0.284488	0.551454
a62	0.00149792	0.00295492	0.0034537	0.0149544	0.0314467	0.0954924	0.280314	0.569886
a83	0.00223026	0.00520975	0.00665795	0.0266446	0.0449243	0.112459	0.266011	0.535863
a9	0.00177282	0.00387863	0.00502428	0.0227853	0.0407832	0.0979901	0.264397	0.563369
a3	0.00428352	0.0097565	0.0109691	0.0404053	0.0644612	0.128565	0.279005	0.462555
a97	0.0490396	0.0744186	0.0594758	0.0996835	0.106412	0.138862	0.200876	0.271233
a99	0.0690622	0.119723	0.0905595	0.129647	0.114678	0.125264	0.156425	0.194643
a87	0.0810109	0.13378	0.105918	0.137127	0.106519	0.111532	0.139695	0.184418
a23	0.068915	0.152577	0.124017	0.132631	0.0963486	0.1023	0.133858	0.189353
a87	0.0689228	0.102224	0.0954436	0.125778	0.115688	0.134202	0.155588	0.202153
a97	0.0693169	0.102748	0.0985139	0.112556	0.0949342	0.116333	0.167832	0.237766
a99	0.0796018	0.156051	0.130553	0.126506	0.0940412	0.0983946	0.127968	0.186884
</S>	0.0958999	0.155967	0.115924	0.10689	0.0974177	0.115935	0.132089	0.179877
