 	qui	est	celui	qui	a	enlèvé	la	feuille	que	j'	avais	affichée	</S>
a66	0.16164	0.0892913	0.0680731	0.0737325	0.0814667	0.106716	0.0806573	0.0730868	0.0574085	0.0503695	0.0528981	0.053669	0.0509908
a82	0.0797042	0.0570996	0.0547819	0.0626598	0.0690742	0.122905	0.125773	0.108766	0.0791961	0.0621819	0.0626419	0.0629417	0.0522751
a87	0.293844	0.1712	0.104559	0.0854724	0.0658471	0.116301	0.0493124	0.0367959	0.0287829	0.0178396	0.00989494	0.0109037	0.00924789
a97	0.26957	0.167808	0.110268	0.0930049	0.0749522	0.109506	0.0452607	0.0394687	0.0333878	0.0237621	0.0128141	0.0124892	0.00770837
a53	0.242611	0.145136	0.0983118	0.0841607	0.0740341	0.105571	0.055104	0.0616558	0.0461279	0.0339244	0.020146	0.0196796	0.0135387
a44	0.358726	0.150645	0.0855762	0.0821014	0.0529385	0.0726158	0.0283489	0.0390242	0.0331646	0.0320169	0.0227075	0.020728	0.021407
a93	0.221984	0.181298	0.137416	0.15348	0.0816248	0.0630496	0.0372395	0.0344594	0.0260202	0.0192276	0.0122634	0.0127792	0.0191575
a75	0.110999	0.121621	0.12966	0.157431	0.106072	0.0724174	0.0681376	0.0513519	0.0473871	0.0399499	0.0270904	0.0303298	0.0375536
a5	0.0936548	0.106146	0.114142	0.152714	0.115909	0.0885796	0.0766902	0.0577559	0.050376	0.0417597	0.0324484	0.0324284	0.0373956
a12	0.0274154	0.0444795	0.0774568	0.114705	0.104761	0.0913661	0.112129	0.0751575	0.0824795	0.0710705	0.0553061	0.0674082	0.0762654
a21	0.0215436	0.0380891	0.0673928	0.0981601	0.0928276	0.0917393	0.111179	0.077696	0.0905083	0.0810617	0.065311	0.0806604	0.0838309
a5	0.0164128	0.0325047	0.0652421	0.0968559	0.0941128	0.100695	0.116065	0.079455	0.0931463	0.0817277	0.0631976	0.0776448	0.0829406
a18	0.00971168	0.0195286	0.0449289	0.080096	0.0886308	0.109596	0.125627	0.0850998	0.10513	0.0915368	0.0689728	0.0827485	0.0883932
a75	0.00607531	0.0133004	0.0340914	0.0595593	0.0809889	0.0963989	0.124035	0.0866054	0.113212	0.0952532	0.0766163	0.097344	0.116519
