 	le	repas	a	brûlé	</S>
a23	0.545346	0.208304	0.119098	0.0691757	0.0580757
a34	0.719728	0.167027	0.0632967	0.0261774	0.0237711
a61	0.715931	0.181156	0.058936	0.0265564	0.0174211
a34	0.6374	0.258767	0.0753569	0.0195082	0.00896767
a83	0.592523	0.281354	0.090079	0.024381	0.0116623
a56	0.277474	0.233287	0.246283	0.149066	0.0938902
a70	0.197035	0.178298	0.293811	0.214344	0.116512
a93	0.0949098	0.110126	0.263306	0.308272	0.223386
a56	0.0537062	0.0709988	0.220987	0.34833	0.305978
a34	0.0277707	0.0378023	0.138266	0.347617	0.448544
a54	0.0087722	0.0159478	0.0788706	0.301548	0.594861
a30	0.00781673	0.0185451	0.081868	0.249935	0.641835
a2	0.00643732	0.0153912	0.0733499	0.244158	0.660663
a57	0.011003	0.0124552	0.039072	0.15614	0.78133
a10	0.120527	0.0548169	0.0628394	0.174256	0.58756
a87	0.24038	0.131462	0.0984154	0.172996	0.356746
a10	0.235601	0.151992	0.115295	0.191929	0.305184
a87	0.184599	0.137563	0.106402	0.19631	0.375126
a97	0.132343	0.123923	0.103207	0.2196	0.420927
</S>	0.147132	0.14501	0.12139	0.208835	0.377633
