 	l'	écureuil	est	pris	au	piège	</S>
a87	0.260028	0.222278	0.176198	0.151077	0.0971535	0.0547555	0.0385093
a23	0.40504	0.115782	0.106939	0.113221	0.109508	0.0832681	0.066241
a50	0.259902	0.173789	0.127726	0.0944843	0.0802493	0.0953325	0.168517
a62	0.591885	0.166871	0.0740808	0.0606222	0.0401241	0.0321204	0.0342968
a61	0.566573	0.253613	0.071029	0.0350703	0.0258603	0.0231625	0.0246917
a18	0.458953	0.309061	0.0936453	0.0470037	0.0345533	0.0285415	0.0282421
a83	0.271564	0.270565	0.132691	0.0933028	0.0804627	0.0722444	0.0791703
a70	0.167563	0.293546	0.136127	0.109108	0.10043	0.0918064	0.101419
a62	0.155839	0.376012	0.156657	0.10478	0.078411	0.0635329	0.0647667
a47	0.129595	0.365692	0.186424	0.117589	0.0799743	0.0605585	0.0601674
a12	0.104627	0.3011	0.216652	0.153428	0.0989645	0.0644301	0.0607982
a88	0.0921956	0.298238	0.228912	0.163546	0.103555	0.0619758	0.0515781
a62	0.0506837	0.191893	0.212039	0.202285	0.155092	0.097039	0.0909673
a61	0.0494519	0.165789	0.191837	0.205386	0.184773	0.112216	0.0905478
a0	0.0425489	0.113622	0.148658	0.202171	0.225334	0.153107	0.114559
a75	0.0311296	0.069104	0.109741	0.190171	0.240527	0.190813	0.168514
a93	0.0246751	0.0392114	0.0662491	0.153162	0.23784	0.240535	0.238328
a44	0.0131148	0.0263501	0.0448979	0.115214	0.219954	0.278181	0.302289
a93	0.0064971	0.0134092	0.0263204	0.0752548	0.172229	0.301838	0.404452
a90	0.00482172	0.00953304	0.0196282	0.058231	0.141094	0.290937	0.475755
a21	0.00256252	0.00548598	0.013887	0.0449037	0.11992	0.279722	0.533519
a5	0.00520506	0.00832904	0.014054	0.0387294	0.102483	0.264517	0.566682
a18	0.00312075	0.00419427	0.00764704	0.0217913	0.0704354	0.231997	0.660814
a71	0.0024743	0.00138163	0.0042608	0.0124067	0.0528085	0.230654	0.696014
a9	0.016564	0.00519025	0.0121821	0.0319508	0.0964893	0.244352	0.593272
a87	0.0370351	0.0143211	0.0285052	0.0594583	0.132206	0.242661	0.485813
a99	0.127617	0.0580473	0.0903916	0.13095	0.173464	0.198019	0.221512
a97	0.0838347	0.0444852	0.0773679	0.110841	0.142343	0.218269	0.322859
a99	0.045047	0.05141	0.0779769	0.0924266	0.112242	0.194892	0.426006
a10	0.0259221	0.0312887	0.0522548	0.0699206	0.11255	0.223065	0.484998
</S>	0.0219313	0.0380549	0.0472501	0.0596687	0.0996071	0.209642	0.523846
