 	on	brûle	les	herbes	</S>
a23	0.376263	0.192004	0.143555	0.136464	0.151715
a85	0.504435	0.182923	0.104904	0.0826581	0.125081
a66	0.407596	0.198271	0.117021	0.102475	0.174637
a87	0.307501	0.158969	0.130725	0.154065	0.248738
a23	0.478947	0.198294	0.113301	0.0816602	0.127798
a99	0.320722	0.174832	0.137787	0.140332	0.226326
a40	0.307032	0.213896	0.149432	0.140351	0.189289
a30	0.409199	0.225378	0.149435	0.112925	0.103063
a14	0.42142	0.317078	0.153145	0.0676223	0.0407339
a2	0.356003	0.295409	0.185093	0.0995074	0.0639879
a11	0.245127	0.255304	0.221146	0.151646	0.126777
a35	0.239629	0.238121	0.218714	0.163268	0.140268
a38	0.319849	0.283091	0.18859	0.118357	0.0901131
a30	0.29076	0.261585	0.199873	0.139877	0.107904
a14	0.278041	0.261112	0.200596	0.148297	0.111953
a2	0.189743	0.214712	0.216048	0.203529	0.175968
a11	0.0882297	0.120385	0.171553	0.217817	0.402016
a26	0.052226	0.0649427	0.108382	0.210335	0.564114
a32	0.0262436	0.0340144	0.0807515	0.213079	0.645911
a25	0.0147242	0.0172272	0.0493787	0.18424	0.73443
a24	0.0116692	0.0158107	0.0461728	0.1651	0.761248
a9	0.012074	0.0169687	0.0513346	0.176165	0.743457
a87	0.0116919	0.0193679	0.0552381	0.170797	0.742905
a23	0.0151847	0.0409817	0.119708	0.244914	0.579211
a87	0.0674176	0.0903842	0.16338	0.252778	0.42604
</S>	0.0265084	0.0654025	0.167214	0.276082	0.464793
