 	cet	enfant	qui	est	dans	le	lit	est	encore	éveillé	</S>
a15	0.322538	0.183043	0.0985886	0.0766101	0.0714929	0.0751427	0.0702733	0.0527555	0.0219314	0.0156112	0.0120128
a66	0.381711	0.127712	0.0747201	0.0625558	0.0654401	0.0586752	0.0498119	0.0387908	0.0399718	0.0395949	0.0610165
a87	0.421188	0.166574	0.117841	0.0840771	0.0655861	0.0454229	0.0351413	0.0209232	0.00866502	0.0118898	0.0226924
a23	0.339692	0.180933	0.151213	0.110109	0.0849725	0.0494811	0.0307084	0.0195554	0.0109449	0.0100376	0.0123525
a87	0.339526	0.122959	0.104508	0.0898616	0.086193	0.0606639	0.0438614	0.0268629	0.0206085	0.0287615	0.0761945
a23	0.30859	0.122138	0.114792	0.108152	0.102053	0.0714053	0.0549356	0.0328246	0.0205663	0.0206476	0.0438956
a70	0.298205	0.0965623	0.0803581	0.0766844	0.0722284	0.0549673	0.0456735	0.0336154	0.0362805	0.0669155	0.13851
a90	0.269965	0.141986	0.116149	0.110217	0.0975439	0.06248	0.0384029	0.0279941	0.0233782	0.0480781	0.063806
a98	0.182433	0.147696	0.140118	0.133186	0.114093	0.0795109	0.0504759	0.0484235	0.036775	0.034916	0.0323739
a85	0.0765783	0.0928429	0.108577	0.124937	0.124725	0.106151	0.0703324	0.0702729	0.0693515	0.0782676	0.0779642
a6	0.0664583	0.0749478	0.0978323	0.121374	0.123526	0.100759	0.0678504	0.05973	0.0584445	0.0964661	0.132612
a21	0.0761707	0.0859095	0.103386	0.12502	0.124359	0.105581	0.0767426	0.0735293	0.0642373	0.0739598	0.091104
a47	0.0853775	0.0940099	0.106094	0.120897	0.134514	0.127744	0.111962	0.0900857	0.0471768	0.0380228	0.0441159
a31	0.0373779	0.0485785	0.0678193	0.101654	0.131692	0.149375	0.156222	0.149646	0.0682965	0.0432808	0.0460583
a0	0.0218684	0.0305466	0.0437932	0.0710043	0.10723	0.152978	0.19524	0.194744	0.0790274	0.0490579	0.0545107
a56	0.0119804	0.0156385	0.0240044	0.0491294	0.0923662	0.158387	0.243668	0.233232	0.0732377	0.041893	0.0564638
a93	0.00981187	0.0131263	0.019382	0.0366907	0.0661568	0.106603	0.177512	0.211615	0.124512	0.10747	0.12712
a4	0.0112178	0.0149055	0.0203025	0.0365005	0.0640597	0.106245	0.176278	0.199714	0.135641	0.102553	0.132583
a21	0.012063	0.0149972	0.019999	0.0345951	0.05737	0.084993	0.118221	0.140422	0.142325	0.166692	0.208322
a56	0.0087802	0.0113011	0.0138973	0.0200847	0.0346465	0.0507185	0.0802601	0.113385	0.142326	0.218174	0.306426
a90	0.00417509	0.00608959	0.00828508	0.0145263	0.0282814	0.0434249	0.0615515	0.0654264	0.092707	0.235541	0.439992
a98	0.00274018	0.00456392	0.00617407	0.0113052	0.0209568	0.0327856	0.0435849	0.0436846	0.0747368	0.277747	0.48172
a41	0.00192008	0.00352625	0.00450264	0.00742718	0.0115014	0.0164979	0.0204808	0.0255917	0.0593056	0.305498	0.543748
a75	0.00135914	0.00241769	0.00295495	0.00490672	0.00851577	0.0140518	0.0184642	0.0226752	0.0513171	0.396925	0.476413
a47	0.00131796	0.00223021	0.00256549	0.00389107	0.00602931	0.0103603	0.0157946	0.0211839	0.0471654	0.342065	0.547397
a36	0.00225935	0.00338556	0.00373537	0.0048403	0.0060149	0.00783459	0.00868245	0.0118257	0.0418739	0.400954	0.508594
a79	0.00226618	0.0026285	0.00260272	0.00290007	0.00400942	0.00504132	0.00535077	0.00545093	0.0228354	0.264995	0.68192
a94	0.00064409	0.000997748	0.00119939	0.00173155	0.00290264	0.00440354	0.00625649	0.00729791	0.0265931	0.310299	0.637675
a58	0.000557231	0.000711287	0.000913304	0.00143625	0.00228377	0.00337707	0.00527044	0.00720642	0.0256159	0.253409	0.699219
a82	0.00984014	0.00680373	0.00762586	0.00989606	0.0132435	0.0175507	0.0191226	0.0200075	0.0656585	0.229833	0.600418
a87	0.139367	0.0962057	0.0834929	0.0727625	0.081354	0.0761256	0.0459867	0.0437598	0.0776448	0.1025	0.1808
a23	0.225198	0.168995	0.136932	0.101634	0.0834676	0.0690626	0.0508576	0.0524301	0.044472	0.0299794	0.0369705
a87	0.122512	0.0831626	0.0543626	0.0316138	0.0192283	0.0145633	0.0112067	0.0160183	0.0589387	0.27215	0.316244
</S>	0.0050499	0.0040585	0.003286	0.00266989	0.0025206	0.00249119	0.0025823	0.00464066	0.0342964	0.306732	0.631672
