 	le	malade	est	agité	</S>
a23	0.491639	0.217526	0.131956	0.0941701	0.0647091
a79	0.403494	0.197929	0.13214	0.130859	0.135578
a20	0.51192	0.203434	0.101137	0.097272	0.0862365
a90	0.512515	0.191076	0.108945	0.125002	0.0624621
a84	0.494215	0.273021	0.104049	0.0874485	0.0412664
a57	0.253383	0.249217	0.191944	0.203255	0.102201
a76	0.14107	0.148187	0.196617	0.315317	0.19881
a35	0.231447	0.237366	0.169166	0.23189	0.130132
a26	0.396719	0.245063	0.1504	0.129615	0.0782022
a66	0.371412	0.252519	0.139542	0.137029	0.099497
a76	0.249056	0.201995	0.147152	0.209527	0.192271
a35	0.149342	0.139512	0.163677	0.290366	0.257103
a76	0.0854231	0.0876289	0.127493	0.338203	0.361252
a35	0.0548441	0.0719554	0.127976	0.335088	0.410136
a24	0.0185471	0.0281917	0.0744375	0.370485	0.508338
a41	0.00736614	0.0104636	0.0448656	0.354125	0.58318
a35	0.00806953	0.00927166	0.0399254	0.369467	0.573266
a75	0.011384	0.0109128	0.0430724	0.334101	0.60053
a76	0.0100183	0.011846	0.0482574	0.37111	0.558768
a94	0.0080661	0.0101567	0.0444448	0.371171	0.566162
a90	0.00470647	0.00553737	0.0355395	0.405394	0.548823
a25	0.00791032	0.00881817	0.0514966	0.451024	0.480751
a87	0.0047254	0.00601385	0.0437195	0.409387	0.536155
</S>	0.0168534	0.025339	0.125304	0.412863	0.41964
