 	lorsque	cette	femme	est	enceinte	ses	pieds	gonflent	</S>
a23	0.174757	0.153326	0.163796	0.191094	0.174357	0.0955215	0.0285996	0.00978687	0.00876212
a30	0.325679	0.149715	0.123735	0.0997785	0.104058	0.0796097	0.044913	0.0354733	0.0370389
a50	0.243339	0.130471	0.126893	0.107941	0.132973	0.0869648	0.0564026	0.0478199	0.0671962
a96	0.343418	0.182394	0.186096	0.0935433	0.0538497	0.026975	0.0226587	0.034082	0.0569828
a93	0.30735	0.196882	0.152663	0.0869701	0.0529211	0.0322316	0.0387375	0.0648666	0.0673779
a53	0.162083	0.148833	0.147609	0.109382	0.0835824	0.0438661	0.0679609	0.135243	0.101441
a15	0.108322	0.121126	0.133359	0.123115	0.121238	0.0621734	0.0771406	0.146699	0.106827
a79	0.0829218	0.0998972	0.117682	0.111234	0.112121	0.0659196	0.0717582	0.157015	0.181452
a92	0.0677191	0.0805843	0.0994512	0.100451	0.101944	0.0610998	0.0711508	0.172287	0.245313
a5	0.0555784	0.0684299	0.0868244	0.0918815	0.0983221	0.0758963	0.0984434	0.199769	0.224855
a23	0.0958544	0.101096	0.124854	0.119196	0.105698	0.0579464	0.0548403	0.149853	0.190662
a21	0.0527373	0.0576377	0.0768789	0.0894005	0.0930008	0.0559512	0.0606637	0.221687	0.292043
a12	0.097905	0.102358	0.130754	0.149211	0.134793	0.0702588	0.0512646	0.122449	0.141007
a62	0.0719307	0.0649202	0.0771524	0.101583	0.125011	0.0862767	0.0613813	0.183567	0.228178
a83	0.0582798	0.0535161	0.0645175	0.099125	0.153574	0.140751	0.0824881	0.179038	0.168711
a9	0.0442535	0.0382077	0.0476769	0.0727891	0.123883	0.126284	0.0876481	0.215653	0.243604
a99	0.0322645	0.0315212	0.0402632	0.0626239	0.130776	0.194257	0.167389	0.188185	0.15272
a87	0.0423382	0.0392153	0.0464843	0.074141	0.149193	0.221006	0.154245	0.137527	0.135851
a23	0.0242026	0.0198638	0.0208797	0.0330725	0.0731346	0.178205	0.248833	0.222015	0.179793
a40	0.0176507	0.0112984	0.0119518	0.01631	0.0280599	0.0532973	0.0945625	0.203181	0.563688
a7	0.0407747	0.0374612	0.0455704	0.0488514	0.0456759	0.0553743	0.0932025	0.233053	0.400036
a2	0.00827181	0.00916003	0.0124905	0.0179018	0.0229736	0.0394366	0.0919037	0.322734	0.475128
a53	0.00280173	0.00294211	0.00431023	0.00840294	0.0165197	0.03932	0.0961118	0.254458	0.575133
a4	0.0062185	0.00652815	0.00808719	0.0139565	0.0273494	0.0632817	0.133632	0.297376	0.443572
a70	0.00417105	0.00406643	0.00511602	0.00853223	0.0169344	0.0394509	0.110117	0.308407	0.503206
a54	0.00306286	0.0027973	0.00360261	0.0060618	0.0121287	0.0278116	0.0841417	0.295283	0.56511
a6	0.00820999	0.00762273	0.00875026	0.00980071	0.0139303	0.0248536	0.0634762	0.250991	0.612365
a0	0.0120529	0.010997	0.0126343	0.0129462	0.0165045	0.0267352	0.0619663	0.232358	0.613805
a11	0.000927275	0.000797963	0.000971386	0.00124065	0.00176616	0.0053018	0.0306462	0.201276	0.757072
a24	0.00224828	0.00181465	0.00185008	0.00221738	0.0033243	0.00761179	0.036238	0.226076	0.71862
a88	0.00323287	0.0026033	0.00269241	0.00250778	0.00284293	0.00628461	0.0346136	0.210209	0.735014
a18	0.00300892	0.0023871	0.00245592	0.00224394	0.00260539	0.00510172	0.0236339	0.166452	0.792111
a27	0.00450096	0.00317201	0.00285604	0.00249484	0.00247124	0.00592854	0.0276978	0.177409	0.77347
a30	0.0137906	0.00857558	0.00709911	0.00604829	0.00550545	0.0125749	0.0444538	0.206862	0.69509
a87	0.0965899	0.0553921	0.0431433	0.037631	0.0342727	0.0636655	0.112141	0.219209	0.337955
a23	0.236044	0.180233	0.140699	0.100478	0.064584	0.0635818	0.0550173	0.0653029	0.0940599
a87	0.0854174	0.0636593	0.0462513	0.0482565	0.0468437	0.0718695	0.155971	0.251465	0.230266
</S>	0.0208921	0.0167736	0.0145114	0.0176267	0.0250188	0.0486804	0.135178	0.323497	0.397821
