 	as-tu	déjà	trempé	les	tubercules	de	manioc	</S>
a87	0.322031	0.218649	0.229949	0.114915	0.0499741	0.0284943	0.0194423	0.0165453
a23	0.359882	0.220641	0.164425	0.0750335	0.0454259	0.0443957	0.0437782	0.0464184
a97	0.268605	0.249752	0.225204	0.094203	0.041529	0.0318129	0.0365286	0.0523665
a83	0.349618	0.285422	0.200511	0.069172	0.0296128	0.0222622	0.0210223	0.0223794
a75	0.296961	0.242194	0.196624	0.0719504	0.038391	0.0404652	0.0500834	0.0633304
a96	0.40254	0.285485	0.130771	0.0683391	0.0297485	0.0250793	0.0252407	0.0327966
a0	0.317382	0.273186	0.146943	0.106171	0.0509356	0.0381203	0.0305498	0.0367118
a75	0.252286	0.241204	0.198	0.121881	0.0595357	0.0429284	0.0376216	0.0465437
a25	0.296964	0.303873	0.226882	0.0785468	0.0277198	0.0194211	0.0196772	0.0269152
a92	0.33899	0.253183	0.198451	0.0798988	0.0338747	0.0271404	0.030435	0.0380268
a13	0.314421	0.24055	0.203145	0.0923048	0.0404942	0.0294499	0.0338233	0.0458123
a93	0.142848	0.168424	0.214612	0.137317	0.0813026	0.0643935	0.0808372	0.110266
a70	0.145533	0.132783	0.192403	0.148828	0.105033	0.0745357	0.0852352	0.11565
a61	0.0690255	0.0757094	0.153571	0.179682	0.165108	0.114295	0.109287	0.133321
a12	0.0468416	0.0551209	0.117608	0.142088	0.169632	0.13964	0.14884	0.18023
a96	0.0186857	0.0205139	0.0445714	0.079767	0.159209	0.182786	0.232976	0.261492
a93	0.0127624	0.0109321	0.0301888	0.0598323	0.125065	0.172347	0.268379	0.320493
a56	0.00795125	0.00656831	0.015695	0.0345096	0.103033	0.167021	0.29193	0.373292
a75	0.00475079	0.00475359	0.0131565	0.0277205	0.0862492	0.143944	0.291389	0.428036
a47	0.00394954	0.00420579	0.00912768	0.016386	0.0578292	0.126138	0.313784	0.46858
a26	0.00169396	0.00215653	0.00575864	0.0127502	0.0531779	0.111458	0.280488	0.532517
a57	0.00299335	0.00359342	0.0101896	0.0194886	0.0422779	0.0825982	0.243443	0.595416
a87	0.0378957	0.0229319	0.033741	0.0369446	0.0588257	0.103634	0.263398	0.442629
a23	0.122423	0.115255	0.202939	0.130122	0.0870319	0.0990491	0.118111	0.12507
a99	0.0881781	0.062515	0.0713277	0.102599	0.12569	0.153098	0.177806	0.218787
a97	0.0351028	0.0395904	0.0500355	0.0643905	0.108738	0.146829	0.221204	0.33411
</S>	0.0129454	0.0120744	0.0140669	0.024297	0.0668942	0.125392	0.271639	0.472691
