 	les	marques	laissées	par	les	femmes	qui	se	sont	battues	dans	la	savane	m'	ont	stupéfait	</S>
a87	0.108475	0.0699441	0.0863397	0.0850093	0.0915617	0.088513	0.068589	0.0747479	0.0787074	0.0676446	0.0432016	0.0366733	0.0279817	0.0253142	0.0162854	0.0179317	0.013081
a23	0.152081	0.096521	0.0847677	0.053504	0.0558236	0.0417482	0.0379189	0.0420126	0.0344299	0.0275747	0.0339735	0.0290219	0.0301525	0.0404912	0.0514744	0.10139	0.0871153
a83	0.117985	0.102799	0.0824489	0.0571424	0.0511661	0.0371888	0.0352912	0.0354497	0.0289074	0.0289094	0.0283257	0.0262372	0.0258578	0.0322737	0.0349089	0.122122	0.152987
a13	0.19523	0.17789	0.0765709	0.0868767	0.0788014	0.0625663	0.0402215	0.036421	0.0270708	0.0276539	0.0235968	0.0214765	0.0249266	0.0275904	0.0213599	0.0340658	0.0376815
a61	0.278007	0.286607	0.130274	0.0792708	0.0541001	0.0293172	0.0173141	0.0155858	0.0127062	0.0135184	0.0104682	0.0101237	0.0115588	0.0130602	0.0103424	0.0117755	0.0159698
a24	0.235806	0.328356	0.156839	0.0726879	0.0440059	0.0260856	0.0187141	0.0160885	0.0136113	0.0155767	0.0112427	0.0116533	0.0125348	0.0130612	0.00817475	0.00706419	0.00849853
a96	0.200451	0.333858	0.163807	0.0774898	0.0491129	0.0295766	0.0203162	0.0167912	0.0143202	0.0157742	0.0116965	0.0121914	0.0132904	0.013619	0.00889508	0.00858629	0.0102233
a62	0.11608	0.18968	0.132913	0.0888185	0.0704914	0.0572014	0.0495461	0.0413243	0.0380633	0.0377069	0.0298673	0.02999	0.030815	0.029745	0.0214154	0.0177952	0.0185475
a70	0.0936811	0.164134	0.163562	0.112947	0.0886015	0.0707068	0.0578144	0.045191	0.0403939	0.0349585	0.0229864	0.022055	0.0198966	0.0184963	0.0141617	0.0139103	0.0165033
a75	0.063451	0.0995065	0.132252	0.122178	0.102885	0.0850919	0.0730602	0.0553886	0.0499442	0.0423708	0.0304919	0.0286058	0.0268135	0.0246593	0.0204254	0.0195287	0.0233475
a47	0.0726744	0.095707	0.134995	0.108349	0.0891355	0.0846216	0.0754779	0.0676997	0.0654982	0.0505604	0.0337971	0.0299961	0.0220972	0.0185826	0.0152456	0.0149577	0.0206045
a83	0.0691577	0.0670728	0.122864	0.125061	0.112592	0.104648	0.082726	0.0702103	0.0610182	0.0430249	0.0283255	0.0243871	0.0193764	0.0167171	0.0144963	0.0161484	0.0221746
a18	0.0526647	0.0481064	0.110964	0.124524	0.121994	0.121649	0.0968468	0.081339	0.0670134	0.0434587	0.0266548	0.0224012	0.0188638	0.0167744	0.014044	0.0143503	0.0183517
a70	0.0250086	0.0235844	0.0504091	0.0875606	0.105325	0.127832	0.11416	0.0958795	0.0850686	0.0583166	0.0385757	0.0339242	0.0309505	0.0290388	0.0270942	0.0299453	0.0373277
a98	0.0196008	0.0180931	0.0403446	0.0737315	0.0911099	0.119496	0.110435	0.0956945	0.091564	0.0662508	0.045769	0.0410415	0.0372522	0.0341879	0.0326364	0.0365536	0.046239
a21	0.016789	0.0116837	0.0203872	0.0432806	0.0576546	0.103496	0.108005	0.104881	0.11195	0.0853257	0.06569	0.0594349	0.0455539	0.0372865	0.0344671	0.0363881	0.0577268
a70	0.0398869	0.032435	0.039352	0.0514755	0.0623998	0.105271	0.103645	0.100099	0.105905	0.0817011	0.0598656	0.0537668	0.0386144	0.0303781	0.0278391	0.0271905	0.0401736
a13	0.015963	0.0121257	0.0192351	0.0331302	0.0430711	0.0933316	0.105	0.102109	0.119719	0.0949035	0.0730238	0.0664756	0.0491547	0.0395898	0.0366731	0.0366375	0.0598577
a88	0.00460673	0.0047783	0.00869559	0.0199003	0.0295577	0.0787063	0.103478	0.101771	0.128084	0.110158	0.0827008	0.0740184	0.0577603	0.0450085	0.0413415	0.0439292	0.0655054
a11	0.00426443	0.00429066	0.00772712	0.0162145	0.021733	0.0624795	0.0892268	0.0885619	0.121115	0.111489	0.0889335	0.0833718	0.0664149	0.0521852	0.0474387	0.0539331	0.0806209
a96	0.00436869	0.00424278	0.00750146	0.0149681	0.020171	0.0586777	0.0872126	0.0866911	0.122116	0.115683	0.0927027	0.0895127	0.0716531	0.0551496	0.044926	0.0483477	0.076076
a75	0.005531	0.00397718	0.00737211	0.0145093	0.016928	0.0469596	0.0746147	0.0762854	0.115834	0.114999	0.0991105	0.101091	0.081695	0.0653218	0.0539575	0.0467842	0.0750296
a85	0.0095956	0.00820319	0.00976815	0.0158385	0.0186847	0.0430704	0.0625081	0.0625706	0.0872912	0.0870028	0.0765996	0.0886908	0.0844287	0.0787277	0.0859524	0.0765018	0.104566
a5	0.0226694	0.0185427	0.0163455	0.0224702	0.0262108	0.0509293	0.0551879	0.0553297	0.0677476	0.0676395	0.0645783	0.0738894	0.0731695	0.0724242	0.0825608	0.0926901	0.137615
a47	0.0206428	0.0162397	0.0166729	0.0261786	0.0283026	0.0557332	0.0697957	0.0721312	0.0936968	0.084797	0.0712332	0.0760518	0.0705281	0.0653971	0.070187	0.0682941	0.0941182
a96	0.00832651	0.00590748	0.00844388	0.0138516	0.0157909	0.0387499	0.0577212	0.0615732	0.0878862	0.0872871	0.0808231	0.0874365	0.0822959	0.0816677	0.0821849	0.0782281	0.121826
a34	0.0075224	0.00529781	0.0085684	0.0142891	0.0147614	0.0330557	0.056134	0.059816	0.0964716	0.106544	0.0997034	0.105487	0.0910369	0.079054	0.0754798	0.0597903	0.0869884
a0	0.0070288	0.00476664	0.00794701	0.0139795	0.0147542	0.0345036	0.059745	0.0625905	0.100542	0.105993	0.0966734	0.101406	0.0873975	0.0749628	0.0741155	0.0651147	0.0884802
a75	0.00293981	0.00185705	0.00406312	0.00731372	0.00790922	0.0195356	0.0385395	0.0430067	0.0772534	0.0940308	0.0988469	0.115454	0.106176	0.0933351	0.0872813	0.082299	0.120159
a25	0.00643533	0.0056893	0.00690468	0.0122253	0.0134565	0.0267244	0.0456581	0.0442906	0.0674856	0.0744708	0.0704669	0.0841275	0.0789743	0.07568	0.0893049	0.120139	0.177967
a92	0.00472582	0.00440411	0.00505231	0.00712055	0.00717952	0.013833	0.0217616	0.0230264	0.0377631	0.0502522	0.061775	0.0803916	0.0867948	0.0941548	0.111401	0.150505	0.239859
a34	0.0073146	0.00684892	0.00677989	0.0107335	0.011967	0.0260411	0.0459214	0.0473121	0.0700738	0.0760994	0.0760048	0.0888154	0.0866063	0.084732	0.0904831	0.112109	0.152157
