 	ses	cheveux	sont	brillants	</S>
a10	0.255328	0.17046	0.145749	0.136843	0.29162
a53	0.383415	0.213597	0.143565	0.103442	0.155981
a15	0.127117	0.102156	0.151192	0.236618	0.382918
a73	0.331421	0.168042	0.165232	0.170489	0.164816
a0	0.4473	0.202077	0.140107	0.107696	0.10282
a11	0.360996	0.203141	0.175879	0.129906	0.130079
a75	0.268471	0.204221	0.227378	0.162654	0.137276
a61	0.14223	0.154589	0.22988	0.258726	0.214575
a88	0.145883	0.159807	0.2591	0.245057	0.190153
a9	0.0708686	0.0956706	0.208489	0.302565	0.322407
a0	0.057156	0.0763796	0.138082	0.259854	0.468528
a21	0.035761	0.0570577	0.12286	0.244085	0.540237
a5	0.0393241	0.0514317	0.105595	0.258619	0.54503
a75	0.0210557	0.0359961	0.090836	0.249311	0.602802
a5	0.0175293	0.0329162	0.0834852	0.279668	0.586401
a75	0.0166349	0.0284413	0.0637374	0.213466	0.67772
a5	0.0151143	0.0282288	0.0662246	0.237027	0.653405
a27	0.00858351	0.022086	0.0671994	0.224156	0.677975
a10	0.0283529	0.0490882	0.0950398	0.248492	0.579028
</S>	0.0337182	0.0549074	0.106617	0.26367	0.541088
