 	le	repas	que	tu	m'	as	donné	est	pourri	car	il	a	été	préparé	depuis	hier	</S>
a23	0.196754	0.114307	0.0695352	0.0617556	0.0684095	0.0792863	0.0837255	0.0735415	0.0659099	0.0537364	0.0315487	0.0246103	0.0191507	0.0167039	0.0134699	0.0133824	0.0141737
a97	0.301632	0.0766234	0.0321851	0.0245732	0.0291265	0.0455943	0.0523141	0.0379019	0.0265338	0.0709118	0.0594479	0.0699477	0.057592	0.0427857	0.0249732	0.0202084	0.0276487
a87	0.114703	0.0736339	0.0555218	0.0472366	0.0504361	0.0610976	0.0694564	0.0603635	0.0465629	0.0559598	0.0456156	0.0472033	0.0486576	0.0510215	0.0426997	0.0442306	0.0855996
a99	0.0974602	0.0831444	0.0640295	0.059064	0.0621964	0.0648174	0.0646385	0.0486014	0.0318179	0.0420234	0.0473686	0.0577192	0.0622412	0.0663013	0.0511583	0.0421909	0.0552275
a62	0.109586	0.118338	0.0970638	0.0871026	0.0778522	0.0606419	0.0469779	0.0321035	0.0193783	0.02967	0.0391656	0.0535655	0.0625061	0.0587494	0.0411424	0.0299362	0.0362201
a5	0.284426	0.29742	0.124562	0.0619653	0.033758	0.017504	0.0121731	0.00891536	0.00855015	0.011047	0.0101111	0.015329	0.0182769	0.0243927	0.0234168	0.0212102	0.0269428
a37	0.183362	0.286321	0.134388	0.0858227	0.0604378	0.0439139	0.035289	0.0267845	0.0252869	0.0225674	0.0152103	0.0171645	0.0154694	0.0152036	0.0118632	0.00976459	0.0111514
a61	0.103067	0.154811	0.0972389	0.0921131	0.0877683	0.0722366	0.0670796	0.0599438	0.0613935	0.0489239	0.0304235	0.0323921	0.0270276	0.0242654	0.0157454	0.0117656	0.013804
a31	0.0669439	0.107675	0.0979114	0.11561	0.120713	0.0965977	0.0841551	0.0765758	0.072871	0.0434025	0.0251348	0.0250739	0.0198859	0.0171881	0.010751	0.00876291	0.0107485
a88	0.0402266	0.0640424	0.0799436	0.117253	0.147964	0.128158	0.10839	0.098825	0.0852916	0.0394024	0.0203737	0.0186854	0.0142163	0.0128227	0.00827561	0.00709272	0.00903766
a9	0.0333619	0.0521095	0.0801117	0.118395	0.148016	0.129897	0.110386	0.100763	0.0853061	0.0394114	0.0222204	0.020026	0.0158345	0.014318	0.010038	0.00907377	0.0107314
a38	0.0139111	0.0189378	0.0393581	0.072024	0.107704	0.1185	0.111108	0.110523	0.0992522	0.0615971	0.040316	0.0360776	0.0317442	0.0329646	0.0297125	0.0330926	0.0431775
a75	0.00971933	0.0109891	0.0303169	0.0653858	0.111956	0.131167	0.121247	0.124551	0.106462	0.0618535	0.0391655	0.0366079	0.0304586	0.0304934	0.0253606	0.027635	0.0366296
a6	0.0131508	0.0170189	0.0400441	0.0764874	0.114737	0.119845	0.110307	0.116869	0.119035	0.0671953	0.0411257	0.033268	0.025054	0.0212884	0.0188369	0.0260303	0.0397078
a37	0.016602	0.0190071	0.0426432	0.0742754	0.109278	0.117994	0.110015	0.110683	0.104152	0.0652103	0.0443331	0.0361395	0.0281558	0.0240116	0.0223537	0.0317175	0.0434292
a92	0.0116531	0.0122632	0.0266573	0.0495476	0.0830191	0.109619	0.129885	0.15067	0.141162	0.0797921	0.0481275	0.0375651	0.0278098	0.0226073	0.017144	0.0203441	0.0321349
a37	0.00825727	0.0103987	0.0208244	0.0324505	0.0512496	0.0683113	0.0833161	0.10837	0.140417	0.0960082	0.078788	0.0662202	0.0525962	0.0401085	0.0348439	0.0453901	0.0624499
a96	0.00888824	0.00876335	0.0189276	0.0307751	0.0488591	0.0710739	0.104371	0.151113	0.183979	0.112071	0.0657694	0.0479838	0.034909	0.0249824	0.0191731	0.0254206	0.0429411
a75	0.00375302	0.00332237	0.00841338	0.0161316	0.0305459	0.0519982	0.0854304	0.140351	0.201397	0.135081	0.0739444	0.0555706	0.0404653	0.0299498	0.0247393	0.0350057	0.0639012
a5	0.00973318	0.0112958	0.0199908	0.0270274	0.0369391	0.0430944	0.0531535	0.079844	0.128209	0.093391	0.0877024	0.0813965	0.0693511	0.0556448	0.050097	0.0633315	0.0897988
a96	0.00985137	0.00944166	0.0183206	0.0250513	0.0355166	0.0446743	0.0597722	0.0915953	0.152915	0.107377	0.086215	0.0739275	0.0626631	0.0484634	0.0429842	0.0544682	0.076763
a18	0.00413862	0.0036126	0.00887327	0.0154491	0.0271073	0.0399473	0.0610904	0.102167	0.199111	0.137825	0.0902825	0.0730046	0.0561631	0.0392478	0.0310492	0.0406415	0.0702901
