 	ils	se	sont	associés	pour	la	paie	</S>
a23	0.286135	0.184946	0.0999814	0.0583793	0.0440918	0.078107	0.0981545	0.150205
a87	0.399473	0.259607	0.142636	0.0566851	0.025326	0.0285355	0.0379451	0.0497928
a23	0.334078	0.22077	0.130249	0.0656004	0.0472434	0.0505112	0.0670745	0.0844742
a97	0.264927	0.136833	0.0625449	0.0288167	0.0417958	0.0801162	0.122796	0.262171
a40	0.199812	0.104238	0.068722	0.0429934	0.0547174	0.0942535	0.132789	0.302475
a30	0.314701	0.188633	0.122978	0.0960605	0.0708433	0.0740399	0.0577377	0.0750071
a41	0.334593	0.289653	0.204386	0.0943828	0.0313361	0.0191572	0.0137497	0.0127433
a30	0.30488	0.247127	0.186244	0.122625	0.0607462	0.0349546	0.0235194	0.0199032
a26	0.238533	0.225879	0.191512	0.158861	0.0783906	0.0440133	0.0321532	0.0306585
a41	0.216486	0.198198	0.179352	0.165328	0.101549	0.05627	0.0419126	0.0409043
a18	0.206539	0.194306	0.175291	0.16699	0.104175	0.059344	0.0465324	0.0468218
a31	0.166133	0.152375	0.156595	0.171981	0.139728	0.0841402	0.0638948	0.0651536
a24	0.103782	0.0948847	0.107948	0.153015	0.189874	0.147862	0.112754	0.0898791
a32	0.0817495	0.070106	0.0795997	0.115348	0.166917	0.163647	0.156782	0.165851
a10	0.0959648	0.0740798	0.0749658	0.0975215	0.145841	0.145401	0.152641	0.213585
a11	0.0948071	0.0737509	0.0734349	0.0765415	0.104266	0.127595	0.166714	0.282891
a70	0.093232	0.071303	0.075957	0.0841267	0.119649	0.137011	0.158888	0.259833
a94	0.0798974	0.0641932	0.0661412	0.0723383	0.110823	0.146906	0.187839	0.271863
a41	0.0437133	0.0324399	0.0331959	0.044535	0.10063	0.165002	0.243315	0.337169
a27	0.0152283	0.0100701	0.0109415	0.0207112	0.0810909	0.164392	0.279096	0.41847
a38	0.0169517	0.0103509	0.010117	0.0153156	0.055594	0.12593	0.272238	0.493503
a96	0.0142946	0.00795647	0.00785163	0.0129084	0.0488771	0.114386	0.263685	0.530041
a24	0.00664108	0.00361362	0.00388109	0.00787302	0.0360051	0.0921732	0.24065	0.609162
a61	0.00582887	0.00253645	0.00230832	0.0040494	0.0216062	0.0660536	0.212418	0.685199
a43	0.00609832	0.00314212	0.00327651	0.00669449	0.0308599	0.0878303	0.226433	0.635666
a11	0.00690523	0.00316856	0.00273017	0.00454612	0.0222895	0.071573	0.218589	0.670198
a90	0.00475674	0.00199636	0.00169248	0.00325253	0.0186972	0.066754	0.231711	0.671139
a20	0.00797516	0.00389775	0.00356354	0.00574173	0.0197066	0.0598724	0.183141	0.716102
a84	0.00623693	0.00227833	0.00180779	0.00295945	0.0139815	0.0576876	0.211439	0.703609
a57	0.00506369	0.00147479	0.000926329	0.00163413	0.0136593	0.0668731	0.250994	0.659375
a87	0.00436299	0.00138776	0.000719005	0.000987045	0.0104751	0.0538685	0.24819	0.680009
</S>	0.0267159	0.0127819	0.00858911	0.0102218	0.0437747	0.102203	0.284088	0.511626
