 	maman	se	réjouit	de	son	enfant	</S>
a66	0.38623	0.250768	0.154726	0.083936	0.0443022	0.0414285	0.0386084
a87	0.489204	0.286796	0.0849598	0.0521423	0.0305561	0.027286	0.0290562
a23	0.549605	0.316798	0.0965125	0.0187003	0.00722826	0.00526861	0.00588724
a40	0.503247	0.312333	0.137657	0.0274784	0.00852291	0.00504593	0.00571508
a7	0.486814	0.269441	0.159398	0.0371757	0.0164012	0.0142641	0.0165062
a54	0.159927	0.234569	0.35731	0.146123	0.0455377	0.0299877	0.0265452
a73	0.122831	0.200329	0.318884	0.182842	0.0812924	0.0532271	0.0405937
a94	0.105466	0.176426	0.272009	0.179287	0.0980692	0.0899232	0.0788202
a90	0.0530251	0.105101	0.228086	0.214068	0.15241	0.12662	0.120689
a5	0.0677996	0.120275	0.1837	0.226066	0.175596	0.126593	0.0999704
a94	0.0298878	0.0393406	0.0619012	0.131947	0.228488	0.253863	0.254573
a56	0.0194982	0.023356	0.0363598	0.109001	0.240767	0.277474	0.293544
a94	0.0148609	0.0161677	0.0239007	0.0826519	0.232867	0.298389	0.331163
a44	0.0139506	0.0145231	0.0203231	0.0708764	0.219334	0.303948	0.357045
a4	0.00793376	0.00682538	0.00797357	0.0371505	0.17845	0.332773	0.428894
a58	0.00196473	0.00136073	0.00117289	0.00898042	0.0935462	0.333128	0.559847
a84	0.000823347	0.000579365	0.000607068	0.0076374	0.0881073	0.324459	0.577786
a82	0.0355924	0.0166325	0.00787117	0.0230806	0.0890004	0.264639	0.563184
a25	0.252658	0.117006	0.0362982	0.0299172	0.0566314	0.157117	0.350372
a87	0.318511	0.149501	0.0448735	0.0284175	0.0480222	0.140452	0.270223
a23	0.26285	0.134053	0.049369	0.0261877	0.0469041	0.180484	0.300152
a87	0.298452	0.164757	0.0458712	0.0376148	0.0626865	0.166165	0.224454
a23	0.251451	0.141091	0.0374904	0.03976	0.0823693	0.20038	0.247458
a87	0.299409	0.168803	0.0513065	0.0431853	0.0772704	0.163849	0.196177
a97	0.243364	0.153646	0.0484633	0.0451573	0.0803684	0.19709	0.23191
</S>	0.309594	0.177605	0.0717538	0.0615314	0.0808435	0.141033	0.15764
