 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
a23	0.211074	0.119349	0.120843	0.111929	0.101604	0.0942365	0.0644102	0.0767204	0.0998335
a87	0.370674	0.101816	0.0775211	0.0701246	0.0619819	0.054611	0.0492092	0.0856089	0.128453
a23	0.363933	0.121604	0.0751704	0.0622454	0.0535565	0.0582377	0.0607159	0.0864178	0.118119
a10	0.274332	0.0488581	0.0391834	0.0403675	0.0403413	0.0610175	0.0730814	0.144813	0.278005
a87	0.196477	0.0592458	0.065836	0.0764116	0.0746084	0.0950463	0.11608	0.152568	0.163728
a23	0.160761	0.0685438	0.086047	0.0950333	0.0843413	0.0987502	0.102216	0.13587	0.168437
a41	0.20747	0.0765747	0.0853291	0.084778	0.0737615	0.0891374	0.0961588	0.132243	0.154547
a94	0.314368	0.143477	0.109	0.0960271	0.0712199	0.0648428	0.0669303	0.0680049	0.0661299
a20	0.323055	0.197726	0.148441	0.118764	0.0709601	0.0462856	0.0358614	0.0304181	0.0284886
a30	0.243762	0.187392	0.157995	0.134289	0.0915442	0.0644577	0.0508125	0.0382164	0.0315301
a35	0.244178	0.246191	0.189659	0.138137	0.0742692	0.0418078	0.0298723	0.0198851	0.0160008
a2	0.200688	0.224156	0.176258	0.133252	0.0819083	0.061976	0.051468	0.0377749	0.0325187
a57	0.166685	0.214669	0.193747	0.149331	0.0869273	0.0589455	0.0462327	0.0395595	0.0439018
a87	0.143954	0.179189	0.178661	0.156216	0.0964181	0.0666219	0.059038	0.0547352	0.0651663
a23	0.111061	0.121256	0.151967	0.147288	0.106497	0.0954832	0.0864497	0.0785511	0.101448
a41	0.157004	0.117567	0.141585	0.128738	0.104512	0.0959142	0.0790658	0.07815	0.0974646
a32	0.0806062	0.1146	0.138101	0.12473	0.096164	0.116742	0.119686	0.106195	0.103176
a38	0.0974448	0.119372	0.116964	0.10124	0.0861482	0.110781	0.130528	0.121603	0.115919
a75	0.0731523	0.102776	0.101093	0.085492	0.0744585	0.113381	0.141204	0.147431	0.161012
a41	0.0474558	0.0708061	0.0819391	0.078812	0.0709902	0.121591	0.170874	0.180364	0.177168
a61	0.0298277	0.0587836	0.0708269	0.0654649	0.060416	0.107164	0.164116	0.208723	0.234678
a43	0.0293649	0.0374322	0.0421316	0.0469773	0.0522656	0.0955429	0.149611	0.220304	0.326371
a11	0.0232212	0.0277648	0.0259208	0.0247223	0.0266592	0.0591653	0.125073	0.232231	0.455242
a24	0.0278731	0.0275431	0.0236656	0.0204127	0.0211733	0.0482954	0.100324	0.207013	0.523699
a9	0.00915946	0.00734345	0.00803114	0.0100527	0.0149233	0.0437209	0.108057	0.240195	0.558517
a87	0.0219725	0.0160349	0.0139668	0.0133026	0.0164301	0.0424684	0.0920748	0.225251	0.558499
a23	0.0172112	0.0132508	0.0140154	0.0148825	0.0194331	0.0527447	0.120343	0.251596	0.496523
a87	0.00734458	0.00683067	0.00816096	0.00989562	0.0141906	0.0490661	0.154556	0.288634	0.461321
</S>	0.00430581	0.00523586	0.00892822	0.0127033	0.0199577	0.0615586	0.158488	0.288945	0.439878
