 	prends	une	quinine	ainsi	tu	seras	guéri	</S>
a23	0.327365	0.256218	0.159397	0.0874031	0.0928588	0.0563102	0.0135561	0.00689093
a10	0.27897	0.243808	0.0988411	0.0983011	0.122384	0.0868102	0.0330716	0.0378133
a87	0.118877	0.143416	0.105107	0.108885	0.116365	0.136218	0.11415	0.156982
a23	0.194766	0.145554	0.146704	0.113461	0.105007	0.0970174	0.08005	0.117441
a83	0.195185	0.199713	0.0982465	0.0880412	0.0815932	0.0987736	0.116808	0.121639
a35	0.363568	0.295365	0.0636523	0.076825	0.0739676	0.0601126	0.0433359	0.0231739
a30	0.216076	0.209005	0.107597	0.125278	0.133128	0.112112	0.0654924	0.0313106
a35	0.19303	0.18692	0.164063	0.152319	0.140056	0.103445	0.0382479	0.0219193
a25	0.234404	0.193619	0.160068	0.145407	0.132924	0.0865315	0.0283268	0.0187192
a11	0.138602	0.125054	0.145689	0.156171	0.165502	0.126116	0.073344	0.0695224
a26	0.0811519	0.0750281	0.101849	0.134207	0.1974	0.176731	0.120579	0.113055
a98	0.0583061	0.0557504	0.0913175	0.12071	0.189589	0.194466	0.155686	0.134175
a35	0.0545976	0.0597676	0.0908237	0.13125	0.217574	0.224683	0.11949	0.101813
a98	0.137061	0.123998	0.169871	0.151289	0.146711	0.130891	0.0805696	0.0596096
a83	0.109325	0.105733	0.144277	0.123933	0.126981	0.12713	0.117366	0.145255
a9	0.0604124	0.0667001	0.142519	0.117213	0.150333	0.165717	0.156385	0.14072
a87	0.0187967	0.0244596	0.0619082	0.0866289	0.15536	0.20144	0.222629	0.228778
a23	0.016358	0.0243106	0.0451753	0.0551075	0.0863549	0.15501	0.323778	0.293905
a38	0.016442	0.0211523	0.0246984	0.0362372	0.0569972	0.111001	0.366142	0.36733
a94	0.0176328	0.0141048	0.0109328	0.0223269	0.047318	0.100883	0.370774	0.416027
a35	0.0720956	0.0532353	0.0504548	0.0429223	0.0511324	0.0723234	0.278732	0.379104
a94	0.0275445	0.0232999	0.0343222	0.0278474	0.0407524	0.0690915	0.272662	0.50448
a13	0.0187985	0.0179341	0.0283572	0.0340003	0.060622	0.0960448	0.257609	0.486634
a9	0.00934661	0.0105923	0.0169484	0.0198023	0.034469	0.0648612	0.247323	0.596657
a87	0.00685751	0.00719038	0.0159108	0.0136453	0.0260567	0.0504176	0.215483	0.664439
a10	0.0115757	0.010841	0.02392	0.0191616	0.0287565	0.069209	0.351981	0.484555
a50	0.017878	0.0160333	0.0291429	0.024994	0.0426708	0.124803	0.325839	0.418638
a24	0.00861069	0.00731297	0.0087244	0.00789919	0.0115819	0.0314523	0.235321	0.689098
a25	0.00798446	0.00588827	0.00811744	0.0061242	0.00881592	0.0269392	0.21489	0.721241
a79	0.0107481	0.00892275	0.00902622	0.00778099	0.0132393	0.0370159	0.187048	0.726219
a76	0.0030791	0.00214052	0.00169683	0.00129893	0.00293938	0.0160201	0.164684	0.808141
a90	0.0034245	0.0021832	0.0014428	0.000998007	0.00236038	0.0169873	0.213484	0.75912
a35	0.00841827	0.00502358	0.00319762	0.0021025	0.00385947	0.0141239	0.169472	0.793803
a24	0.00458617	0.00250024	0.00170475	0.00132428	0.00242758	0.0119177	0.160194	0.815345
a26	0.00537087	0.00328896	0.00184137	0.00105556	0.00145245	0.00772838	0.135526	0.843737
a24	0.0201339	0.0124747	0.00712445	0.00322796	0.00349298	0.0138719	0.135857	0.803817
a32	0.0138115	0.00926318	0.00490751	0.0023528	0.00256862	0.0104688	0.125347	0.83128
a24	0.012434	0.00862424	0.00486185	0.00291636	0.00388719	0.0141316	0.120955	0.83219
a41	0.00651214	0.00471439	0.00242899	0.00144978	0.00169731	0.00788034	0.122981	0.852336
a73	0.00673592	0.00388848	0.00237252	0.00179946	0.00346486	0.0175051	0.173657	0.790576
a57	0.0137894	0.00790152	0.00426703	0.00248245	0.00466956	0.0205571	0.154671	0.791661
a87	0.0392696	0.0236676	0.0155796	0.00544705	0.0075972	0.0268711	0.142102	0.739466
</S>	0.0204312	0.0163183	0.0148183	0.00686684	0.0106539	0.0390029	0.1783	0.713608
