 	il	bat	son	fils	</S>
a23	0.486386	0.194081	0.114163	0.0813847	0.123985
a85	0.547841	0.151236	0.0955442	0.0915455	0.113834
a87	0.42498	0.203303	0.133628	0.114426	0.123661
a23	0.511465	0.225857	0.121454	0.0745599	0.0666639
a20	0.36339	0.173909	0.150602	0.153761	0.158338
a44	0.35148	0.237657	0.16714	0.143508	0.100214
a20	0.406739	0.305727	0.158534	0.0849403	0.0440596
a73	0.304761	0.282792	0.194194	0.132469	0.085784
a26	0.298969	0.287299	0.190253	0.129339	0.0941392
a41	0.214323	0.269693	0.225362	0.172003	0.118618
a94	0.188974	0.219875	0.188727	0.202196	0.200228
a76	0.138781	0.19061	0.196174	0.235686	0.238749
a73	0.0805221	0.12634	0.181765	0.286391	0.324982
a94	0.0381636	0.0734519	0.135426	0.302597	0.450362
a98	0.0366246	0.0586364	0.10016	0.263372	0.541207
a73	0.022493	0.0469252	0.0883876	0.248645	0.593549
a26	0.0141805	0.0334742	0.0728794	0.24357	0.635896
a57	0.0140306	0.0281736	0.0594479	0.214477	0.683871
a87	0.00549547	0.00885034	0.026547	0.164299	0.794809
</S>	0.0414229	0.0471169	0.0731585	0.198257	0.640045
