 	au	bout	d'	un	moment	le	voyageur	a	eu	chaud	et	ôta	son	manteau	</S>
a66	0.144316	0.133143	0.152086	0.138307	0.113184	0.0920287	0.0463854	0.0336178	0.039028	0.0215451	0.0251283	0.0189856	0.0187384	0.0155474	0.00795941
a87	0.283107	0.172188	0.100201	0.0720005	0.0536242	0.0484931	0.0339544	0.0316113	0.037053	0.0271734	0.0391376	0.0478725	0.0289178	0.0167003	0.00796473
a23	0.25911	0.225936	0.157772	0.109447	0.0747563	0.0603943	0.0256931	0.0193029	0.0223285	0.0073045	0.0123624	0.00670131	0.0064109	0.00610921	0.00637083
a13	0.308783	0.162878	0.0899851	0.0670044	0.0467631	0.0565108	0.0540721	0.0520532	0.0543845	0.0178657	0.0300211	0.0229299	0.0166426	0.0111629	0.00894373
a99	0.265395	0.121041	0.067086	0.0552501	0.0486115	0.0633874	0.0717552	0.0643508	0.0719549	0.0251128	0.041554	0.0338689	0.0266278	0.0235147	0.0204898
a50	0.286938	0.113258	0.0671461	0.0623087	0.0581962	0.0581655	0.0552667	0.0398261	0.0481157	0.0221702	0.0329727	0.0289892	0.0300587	0.045079	0.0515086
a98	0.268748	0.117679	0.074185	0.0631708	0.0538332	0.0521234	0.0627917	0.0449351	0.0456421	0.0279521	0.0366458	0.047453	0.0278193	0.0351644	0.0418567
a54	0.150406	0.113799	0.106182	0.106668	0.0933059	0.0835153	0.0923755	0.0587573	0.0522976	0.0250635	0.0319872	0.0376729	0.0170175	0.0133815	0.0175709
a15	0.0997334	0.125159	0.146143	0.158677	0.115271	0.0839351	0.0726794	0.0533631	0.0430281	0.0242348	0.0272871	0.0271013	0.010834	0.00646691	0.00608663
a7	0.0594476	0.096633	0.126874	0.141463	0.11559	0.0853938	0.0825827	0.0685125	0.0542337	0.0379374	0.0381559	0.0436747	0.0203924	0.0151553	0.0139537
a40	0.0317117	0.0568878	0.0914536	0.109791	0.104809	0.0850901	0.101841	0.0946612	0.0718345	0.052142	0.0481655	0.0539088	0.0316024	0.0321039	0.0339984
a54	0.0302932	0.0557035	0.0849725	0.0993245	0.10091	0.07885	0.0987809	0.102427	0.0735375	0.0536721	0.0503299	0.0495871	0.0342097	0.0410779	0.0463241
a15	0.0289472	0.0527917	0.0857195	0.104635	0.0950137	0.079158	0.101612	0.102473	0.0762399	0.057833	0.0562827	0.0529583	0.0306582	0.0331506	0.0425272
a7	0.0273906	0.0492167	0.0839645	0.108362	0.102596	0.0834726	0.108125	0.10718	0.0756799	0.0563789	0.0525259	0.050963	0.0278664	0.0296167	0.0366626
a4	0.00905369	0.0141393	0.0371878	0.0644762	0.0828528	0.0833041	0.110695	0.118172	0.094909	0.0721376	0.0706134	0.0571174	0.043456	0.0592218	0.082664
a93	0.00806205	0.0120412	0.0263397	0.0482231	0.0626242	0.0668448	0.104344	0.123612	0.0921736	0.0811647	0.0780203	0.0684842	0.0536154	0.0739132	0.100538
a70	0.00698221	0.0106025	0.0221191	0.0380729	0.0475562	0.0505688	0.0889243	0.112697	0.0849423	0.0837262	0.079396	0.0744926	0.0694654	0.105328	0.125127
a99	0.00401646	0.00561959	0.0119758	0.024008	0.0344438	0.0434623	0.0846953	0.112245	0.0854722	0.0850737	0.0829977	0.0806763	0.0766354	0.12143	0.147249
a53	0.00282052	0.00336489	0.00730185	0.0162747	0.0267054	0.0413599	0.0800452	0.108074	0.0966041	0.0893669	0.0860179	0.0745198	0.0681043	0.120507	0.178934
a20	0.00317312	0.00394533	0.00839408	0.0184793	0.0270224	0.0433265	0.0835807	0.102839	0.0806432	0.0745327	0.0752004	0.0807651	0.0883933	0.145376	0.164328
a69	0.00709654	0.00833032	0.01646	0.0303748	0.0387414	0.0548058	0.100692	0.11607	0.0836145	0.0756641	0.083331	0.104735	0.0767013	0.101833	0.10155
a4	0.00226613	0.00260298	0.00646868	0.0158655	0.0244939	0.0440124	0.0898717	0.110892	0.0849296	0.0765653	0.0783054	0.0901164	0.0815108	0.132755	0.159345
a57	0.00128416	0.00136803	0.00318161	0.00792219	0.0125395	0.0286007	0.0758573	0.103679	0.0830959	0.0748637	0.075409	0.0794597	0.0872221	0.154168	0.211349
a4	0.000846824	0.000756525	0.00173395	0.00419913	0.00612957	0.0161231	0.0610972	0.10258	0.0914371	0.0799733	0.0785859	0.0783327	0.0838256	0.150657	0.243722
a53	0.00108473	0.000962496	0.00202896	0.00460197	0.00659637	0.016626	0.060675	0.101397	0.0884185	0.0821628	0.086605	0.0896237	0.0953946	0.154726	0.209096
a70	0.00112963	0.00101359	0.00223014	0.00494506	0.00742072	0.0200054	0.0706809	0.105008	0.0876826	0.0798682	0.0887736	0.100868	0.105287	0.147272	0.177815
