 	ils	sont	tombés	d'	accord	que	celui	qui	arriverait	à	faire	ôter	son	manteau	au	voyageur	serait	vu	comme	le	plus	fort	</S>
a82	0.191047	0.153628	0.0870808	0.052677	0.0413254	0.0253936	0.020274	0.0131752	0.018092	0.0153997	0.0165135	0.012347	0.0173979	0.0237548	0.0316611	0.0226482	0.0367454	0.0400986	0.0395714	0.0308836	0.0272562	0.0327194	0.0503092
a87	0.244031	0.17325	0.142701	0.070528	0.0400111	0.0253656	0.0198675	0.0135497	0.0134398	0.0107083	0.0113805	0.00748394	0.0115646	0.0136346	0.0177111	0.0138157	0.0250256	0.0257119	0.0288904	0.0278088	0.0234007	0.0198629	0.0202573
a97	0.18329	0.167805	0.163254	0.103154	0.0674525	0.0415907	0.0313604	0.0166138	0.0175644	0.00992924	0.00927461	0.00604292	0.00754573	0.0111382	0.0151657	0.0110019	0.01713	0.0155425	0.0203106	0.0210898	0.0202789	0.0200894	0.0233756
a40	0.190927	0.197697	0.131691	0.0872738	0.0644269	0.038764	0.031815	0.0183652	0.020119	0.0119357	0.0100935	0.00832586	0.00948198	0.0104085	0.0136503	0.0126355	0.0173628	0.0168442	0.0214126	0.0214895	0.0216107	0.0199157	0.0237541
a7	0.273755	0.238484	0.0942656	0.0582138	0.0480296	0.0349843	0.0386535	0.0301689	0.0174616	0.0143819	0.0142637	0.0104743	0.0106223	0.0112479	0.0164873	0.00987248	0.014289	0.0141701	0.01261	0.00966889	0.00853841	0.00783922	0.0115189
a44	0.199189	0.22231	0.113363	0.0660228	0.049754	0.0349786	0.037857	0.0243508	0.0235122	0.0218972	0.0208212	0.0175662	0.015637	0.0160078	0.0216275	0.0162183	0.019384	0.0246068	0.0182685	0.0120431	0.00915962	0.00663775	0.008787
a53	0.119059	0.141519	0.119678	0.0707321	0.0490661	0.0354135	0.0370896	0.0261837	0.0309506	0.0354982	0.032517	0.0295898	0.0285085	0.0250263	0.0302437	0.0280055	0.0280514	0.0365789	0.0290677	0.0204091	0.0161383	0.0136015	0.017073
a44	0.0913524	0.122021	0.115582	0.0678035	0.0509257	0.0369091	0.0394362	0.0277392	0.0369304	0.0423629	0.037891	0.034423	0.0327073	0.0263379	0.0315679	0.0305142	0.0306863	0.037402	0.0294676	0.0216129	0.017867	0.0173442	0.0211157
a70	0.0479493	0.0665893	0.100333	0.0765347	0.0565274	0.0427439	0.0427451	0.0320262	0.0481807	0.0566947	0.045443	0.0374653	0.0415651	0.0383462	0.0391426	0.0380227	0.0346168	0.0360226	0.0291357	0.023681	0.0194456	0.0213382	0.0254511
a44	0.0322792	0.0435458	0.0833513	0.0732139	0.0566602	0.0448866	0.0434733	0.0342454	0.0544593	0.0666073	0.0492226	0.0375228	0.0477544	0.0486575	0.0436587	0.0424036	0.03707	0.0345467	0.0287009	0.0246295	0.0207328	0.0237522	0.0286259
a20	0.029126	0.0399621	0.0777379	0.0758109	0.0610468	0.0500827	0.0474861	0.0373485	0.060823	0.072827	0.0514301	0.0360503	0.0483492	0.0535103	0.0456495	0.0392787	0.0340169	0.0303693	0.0245191	0.0212877	0.0174417	0.0202959	0.0255503
a79	0.048487	0.0611783	0.071935	0.0591421	0.0491076	0.0417732	0.0427491	0.036945	0.0467348	0.0655117	0.0543385	0.0416478	0.0533192	0.0546393	0.048625	0.0371902	0.0308353	0.0353116	0.0265588	0.0214818	0.0188464	0.0234046	0.0302378
a44	0.0353139	0.0423144	0.0572611	0.0580815	0.0496461	0.0434881	0.0442105	0.0399907	0.0491662	0.0714266	0.059446	0.0442355	0.0613584	0.0679293	0.0567383	0.0409677	0.0308032	0.0333769	0.0249582	0.020535	0.0175688	0.0221568	0.0290267
a93	0.0156654	0.0170763	0.0361037	0.0535675	0.0506041	0.0485528	0.0444555	0.042208	0.0577606	0.0755472	0.0560085	0.0409322	0.0657512	0.0766399	0.0612958	0.048467	0.0367023	0.0330659	0.0256978	0.0240141	0.0203409	0.0287786	0.0407645
a34	0.0145208	0.0148847	0.0291911	0.0489029	0.0527523	0.0538535	0.0486133	0.0472371	0.0638325	0.07399	0.0555313	0.0432804	0.0652904	0.0765159	0.0626146	0.0499237	0.0377987	0.0319332	0.0256004	0.0237963	0.0192556	0.0255859	0.0350953
a62	0.00814548	0.00827209	0.0200941	0.0380697	0.0482728	0.0547535	0.0473356	0.0484465	0.0633063	0.0721894	0.0548427	0.0445514	0.066118	0.0793533	0.0659641	0.0561154	0.0451989	0.036636	0.0303755	0.0273113	0.0211559	0.0279828	0.0355091
a96	0.00513156	0.00538307	0.0142305	0.0312526	0.0421268	0.0582143	0.0508849	0.0535362	0.0692547	0.0815961	0.061422	0.0439963	0.062912	0.0933399	0.0738486	0.0526403	0.0370818	0.0275232	0.0257086	0.0227466	0.0201814	0.0294791	0.0375093
a70	0.00393997	0.00403011	0.0121772	0.0292335	0.0424058	0.0612779	0.0512879	0.0543118	0.0715464	0.0834999	0.0610082	0.0434739	0.064769	0.0895689	0.0712911	0.049582	0.0378357	0.0285383	0.0254552	0.0226372	0.0197399	0.0304392	0.0419508
a93	0.00417605	0.00416237	0.0106663	0.023994	0.0388204	0.0569409	0.04816	0.0527235	0.065467	0.0783525	0.0585326	0.0435313	0.066921	0.0879251	0.0704369	0.0542094	0.0424516	0.0328522	0.0311427	0.0279264	0.0250126	0.0334286	0.0421664
a43	0.00420583	0.0039152	0.00997818	0.0245666	0.0373323	0.0517653	0.0437861	0.0488934	0.0645785	0.0803072	0.0586665	0.0448358	0.0701952	0.0867646	0.0680863	0.0538201	0.0423465	0.0333542	0.0309702	0.0281951	0.0255858	0.0369103	0.0509407
a11	0.00399014	0.00332721	0.00829058	0.0210646	0.0332949	0.054466	0.0428259	0.0534582	0.0666973	0.0877098	0.0615228	0.0471443	0.0715477	0.0856604	0.0671466	0.0487324	0.0364624	0.0293575	0.0272877	0.0251013	0.0234116	0.0386339	0.062867
a96	0.00618524	0.00533291	0.00940339	0.0225884	0.0309355	0.0470539	0.039104	0.050683	0.0621376	0.0960846	0.0710851	0.0536714	0.0737344	0.105032	0.0759532	0.0447127	0.0304878	0.0263059	0.0228761	0.0210955	0.0194471	0.0322948	0.0537955
a0	0.00262676	0.00209393	0.00540147	0.0137466	0.0249501	0.0457801	0.0375089	0.0553754	0.0579549	0.0858341	0.0635628	0.0493417	0.0765065	0.0935487	0.0684379	0.048802	0.0369412	0.0296467	0.0310862	0.0296258	0.0309991	0.0453181	0.064911
a75	0.00263517	0.00221256	0.00394521	0.0101253	0.0162689	0.0284411	0.0246586	0.0400344	0.0420611	0.0769389	0.0623916	0.0493827	0.0734135	0.107176	0.070379	0.045987	0.0313049	0.0269408	0.0320633	0.0330749	0.0418341	0.0721913	0.10654
a73	0.00486642	0.00423348	0.00612106	0.00942991	0.0168722	0.0284909	0.0254851	0.0412811	0.0396473	0.0741789	0.0659299	0.0592263	0.083556	0.0953525	0.0739716	0.0637168	0.0403482	0.0413714	0.0419478	0.0369122	0.0380651	0.049767	0.0592289
a44	0.00196118	0.00158507	0.00265474	0.00465567	0.0101588	0.0208839	0.020171	0.0400442	0.0341322	0.0785798	0.0701304	0.0626805	0.100084	0.103189	0.0723346	0.0605177	0.033561	0.035029	0.0373698	0.0334636	0.0395606	0.0577504	0.0795031
a69	0.00187709	0.00143949	0.00247876	0.00478758	0.010742	0.0216793	0.0205959	0.0412039	0.034095	0.0758102	0.0645714	0.0567677	0.08926	0.103706	0.0722559	0.0578424	0.0351065	0.0314013	0.036295	0.0340495	0.0425911	0.0668617	0.0945818
