 	le	vanier	est	en	train	de	redresser	la	liane	</S>
a66	0.13649	0.103159	0.114366	0.147753	0.194511	0.167627	0.0967692	0.0213673	0.00969661	0.00826139
a87	0.200501	0.171704	0.143705	0.15322	0.133353	0.099937	0.0349558	0.0229277	0.0188733	0.0208231
a10	0.250608	0.267623	0.193184	0.150987	0.0725171	0.0258961	0.00789984	0.00670675	0.0100263	0.0145516
a87	0.222918	0.374472	0.179923	0.124584	0.0545033	0.0196286	0.0057039	0.00461577	0.0056127	0.00803829
a23	0.226175	0.322637	0.177616	0.135824	0.0736161	0.031562	0.00810648	0.0064643	0.00763811	0.0103603
a93	0.257027	0.33758	0.141148	0.1052	0.0598576	0.031994	0.0124581	0.0126922	0.0167167	0.0253268
a13	0.29631	0.239738	0.144747	0.102587	0.0706403	0.0480651	0.032348	0.0296486	0.0188245	0.017091
a93	0.248377	0.265973	0.128014	0.08693	0.0648801	0.0575919	0.0494425	0.0371877	0.0315999	0.0300038
a56	0.167969	0.223283	0.121805	0.0915361	0.0686655	0.0716897	0.0792861	0.0633223	0.0573468	0.0550968
a34	0.153105	0.224981	0.14246	0.116577	0.0846074	0.0745221	0.0707157	0.0507102	0.042199	0.0401218
a96	0.150237	0.232472	0.148583	0.125341	0.0932787	0.0803623	0.0706018	0.0378831	0.0299758	0.0312655
a56	0.135637	0.196545	0.130343	0.113296	0.0943217	0.0887776	0.0866098	0.0540935	0.0472066	0.0531693
a44	0.119094	0.153807	0.127656	0.1258	0.123483	0.122421	0.102573	0.0439051	0.037612	0.0436491
a93	0.0963915	0.126947	0.118423	0.130087	0.14039	0.136625	0.106503	0.0472334	0.0438211	0.053579
a90	0.0718372	0.0806634	0.0915288	0.113785	0.138659	0.156461	0.142593	0.0633222	0.0627792	0.0783706
a92	0.0446307	0.0501557	0.0682591	0.106901	0.151304	0.188179	0.186245	0.0704983	0.061496	0.0723311
a98	0.0240357	0.0233991	0.0342389	0.0643644	0.111455	0.174539	0.227469	0.10824	0.103089	0.12917
a47	0.0190395	0.0171968	0.0235768	0.0448968	0.0836135	0.1533	0.208128	0.12647	0.136663	0.187116
a7	0.0273115	0.0181274	0.0209281	0.0346202	0.0564198	0.083692	0.111707	0.0919209	0.183664	0.371609
a15	0.0421255	0.0262396	0.0294602	0.0486229	0.0775476	0.100038	0.0881883	0.0785685	0.159702	0.349507
a25	0.0172255	0.0097101	0.0108203	0.0198431	0.0380907	0.0658922	0.0873219	0.113844	0.213293	0.42396
a92	0.0113116	0.00619949	0.00649925	0.00981063	0.0165372	0.0293189	0.0422455	0.0900229	0.251237	0.536818
a37	0.0105516	0.00611463	0.00544542	0.00862682	0.0144528	0.0276135	0.0480449	0.104866	0.259474	0.514811
a90	0.00770343	0.00323904	0.00366949	0.00424033	0.00534537	0.00839466	0.0133901	0.0579325	0.261666	0.634419
a56	0.0042948	0.00188484	0.00232327	0.00295265	0.00390396	0.00651771	0.0135312	0.0633901	0.260237	0.640965
a32	0.00268637	0.00123124	0.00165387	0.00233847	0.00334853	0.006297	0.0144937	0.0696653	0.266696	0.631589
a24	0.00155163	0.000977455	0.00111896	0.00127541	0.00130861	0.00195308	0.00590451	0.0589437	0.261755	0.665212
a9	0.00451954	0.00384351	0.00471006	0.00584949	0.00699286	0.00877871	0.0214847	0.104624	0.283743	0.555454
a87	0.103733	0.0482429	0.0652827	0.0690843	0.0616885	0.0515407	0.0606281	0.0797133	0.168392	0.291694
a23	0.142279	0.0857169	0.135015	0.171714	0.187212	0.126272	0.050656	0.0257472	0.0313772	0.0440109
a87	0.0596809	0.0263852	0.0457943	0.0595652	0.0587147	0.0557135	0.0367699	0.0818149	0.215123	0.360438
</S>	0.0141401	0.00866774	0.0118641	0.0171727	0.0162013	0.0163562	0.0236184	0.0920976	0.270284	0.529598
