 	les	mauvaises	herbes	ont	beaucoup	poussé	dans	la	parcelle	</S>
a66	0.233919	0.128473	0.0875584	0.103556	0.106574	0.10948	0.102268	0.0650123	0.0371122	0.0260478
a87	0.326184	0.202172	0.129354	0.0782328	0.0704115	0.0536598	0.0518432	0.0348923	0.0312342	0.0220161
a99	0.236257	0.189199	0.154081	0.104816	0.0873908	0.0761144	0.0552368	0.0346981	0.0363481	0.0258594
a38	0.191409	0.197684	0.166863	0.109613	0.0968965	0.078098	0.0525928	0.0369947	0.0396473	0.0302024
a94	0.274823	0.248858	0.177427	0.0821597	0.0703545	0.0475488	0.0330653	0.023906	0.0226195	0.0192388
a53	0.238337	0.242572	0.195309	0.103976	0.0898986	0.0516975	0.033392	0.0199243	0.0147771	0.010116
a56	0.138922	0.188418	0.193508	0.136699	0.126855	0.0815132	0.0560249	0.0354389	0.0262485	0.016373
a12	0.110605	0.183855	0.18891	0.122	0.116621	0.0803887	0.0673048	0.0503715	0.044849	0.0350941
a96	0.0977288	0.15656	0.167378	0.111542	0.115954	0.0861875	0.0810311	0.0638941	0.0619572	0.0577681
a61	0.086477	0.13382	0.154532	0.117745	0.127747	0.0943239	0.0835746	0.0652684	0.0664034	0.0701087
a43	0.0884522	0.100881	0.123714	0.125633	0.143189	0.115409	0.0992638	0.0682663	0.0644544	0.0707383
a90	0.0474725	0.0507181	0.0773813	0.116688	0.147727	0.141147	0.130982	0.0929927	0.0916096	0.103283
a98	0.0464897	0.0386751	0.053798	0.103306	0.13828	0.156987	0.152615	0.110974	0.0952591	0.103616
a56	0.0253821	0.0222498	0.0344783	0.0857867	0.123196	0.148929	0.158526	0.142825	0.12737	0.131257
a75	0.0173665	0.0138321	0.0188726	0.0490433	0.0726789	0.116704	0.156953	0.168763	0.168768	0.217019
a21	0.00757954	0.00644835	0.00913609	0.0257066	0.0414783	0.0776255	0.120344	0.171067	0.222971	0.317644
a12	0.00508791	0.00444365	0.00566277	0.0144019	0.0231549	0.0519673	0.0962068	0.176313	0.250689	0.372073
a43	0.00138682	0.0013093	0.00172973	0.0041425	0.00637096	0.0178633	0.0413202	0.127978	0.281248	0.516652
a11	0.00157787	0.00157684	0.00198105	0.00353799	0.00508808	0.0120134	0.0296799	0.0979913	0.282683	0.563871
a70	0.0016283	0.00143546	0.00190519	0.00324225	0.00464985	0.0111208	0.0268178	0.0875273	0.268949	0.592724
a66	0.00238054	0.00202554	0.00267365	0.00476632	0.00692769	0.0159576	0.0345917	0.0981375	0.263837	0.568703
a9	0.0205653	0.0187811	0.0178357	0.0227596	0.0271877	0.0462719	0.0594206	0.107083	0.207333	0.472762
a87	0.0736206	0.0512104	0.0401417	0.0450732	0.047053	0.066992	0.0822497	0.114976	0.171059	0.307625
a23	0.197118	0.131366	0.0927478	0.0806926	0.0730267	0.0740392	0.0759535	0.0775137	0.0998271	0.0977153
a99	0.0690873	0.0415365	0.0269901	0.0220309	0.0202473	0.0358627	0.0548588	0.110659	0.254204	0.364524
a97	0.0308624	0.021448	0.014094	0.0129925	0.0139771	0.0315304	0.0569893	0.115404	0.259215	0.443487
</S>	0.0154999	0.0116173	0.0087066	0.0104208	0.0120909	0.0305815	0.0536708	0.107153	0.270803	0.479456
