 	c'	est	une	très	belle	femme	</S>
a87	0.320086	0.220733	0.124596	0.107243	0.0904532	0.0722345	0.0646538
a23	0.223198	0.153018	0.108388	0.105185	0.142156	0.13277	0.135285
a12	0.293024	0.200835	0.118419	0.0757363	0.0805866	0.0960152	0.135384
a88	0.438642	0.274077	0.134323	0.0717774	0.0355818	0.0242509	0.0213478
a61	0.47962	0.286469	0.13229	0.0479272	0.0241847	0.0153837	0.014125
a21	0.434127	0.311915	0.163848	0.0478018	0.0202055	0.0116439	0.0104597
a61	0.399204	0.315307	0.157725	0.0545518	0.0308478	0.0217482	0.0206158
a43	0.252824	0.263183	0.215509	0.119794	0.0647103	0.0423265	0.0416527
a11	0.122354	0.147187	0.176058	0.190151	0.15009	0.108797	0.105362
a93	0.104338	0.113931	0.137023	0.183966	0.173578	0.14441	0.142753
a62	0.0660464	0.0698166	0.103992	0.204395	0.217897	0.177699	0.160154
a96	0.0495163	0.0535376	0.0844876	0.189518	0.236562	0.202653	0.183726
a70	0.0358229	0.0343048	0.0506094	0.139005	0.230735	0.249443	0.26008
a99	0.0252209	0.0240837	0.0335394	0.0811914	0.17727	0.284058	0.374637
a9	0.00520333	0.00533741	0.00863162	0.0271797	0.0978995	0.285085	0.570663
a99	0.00884825	0.00737584	0.00944423	0.0222739	0.0809178	0.269652	0.601488
a87	0.108255	0.0670813	0.0548746	0.0740166	0.141686	0.228853	0.325233
a23	0.163074	0.107443	0.0882654	0.116257	0.164923	0.173179	0.186858
a87	0.0575536	0.0370182	0.0374478	0.060585	0.143841	0.273747	0.389807
</S>	0.0126893	0.0121673	0.0180377	0.0442696	0.116567	0.292173	0.504096
