 	en	se	livrant	à	n'	importe	quel	homme	tu	finiras	avec	un	diable	</S>
a66	0.0882936	0.0872415	0.100586	0.155152	0.178124	0.123267	0.092905	0.0462048	0.0363329	0.036542	0.0267443	0.0174547	0.00793522	0.00321812
a87	0.40574	0.18328	0.084451	0.0904759	0.0844738	0.0331912	0.0146348	0.0108465	0.00916253	0.015488	0.0212084	0.0202868	0.018355	0.00840522
a40	0.263758	0.180182	0.160183	0.137138	0.089144	0.0325614	0.0377821	0.0194665	0.017702	0.0226613	0.016064	0.0106715	0.00649234	0.00619444
a92	0.0932852	0.0612512	0.12406	0.123133	0.0948751	0.0610053	0.0436585	0.0405283	0.0417491	0.0650265	0.0909376	0.0891762	0.0496612	0.0216528
a79	0.107008	0.0903664	0.106378	0.104436	0.100772	0.0930495	0.0631882	0.0441747	0.0398335	0.0426887	0.0563749	0.0636041	0.0595392	0.0285873
a37	0.193325	0.243476	0.183923	0.0879573	0.0796227	0.0813592	0.0333921	0.018447	0.0139228	0.0116676	0.0112653	0.0140536	0.018621	0.00896727
a96	0.143444	0.187265	0.20326	0.106092	0.0877303	0.088427	0.0444763	0.0290197	0.0220824	0.0163791	0.0139416	0.0175157	0.0275356	0.0128311
a61	0.115414	0.131233	0.148631	0.130524	0.111463	0.108147	0.0872721	0.0525497	0.0381241	0.0269632	0.0148942	0.0127913	0.0133567	0.00863556
a47	0.075963	0.0801493	0.115352	0.139466	0.126083	0.123032	0.126881	0.0720041	0.0535675	0.0362961	0.0162975	0.0129351	0.0127407	0.00923327
a62	0.02636	0.0350428	0.0906822	0.116207	0.115804	0.121184	0.170505	0.104119	0.0849534	0.0606746	0.0250797	0.017646	0.0168417	0.0148999
a88	0.0188674	0.0163147	0.0529007	0.102701	0.120459	0.138296	0.195349	0.132837	0.103257	0.0668451	0.0232646	0.0134408	0.00836329	0.00710495
a94	0.00889818	0.00816893	0.0240964	0.0811087	0.106427	0.146144	0.19875	0.161301	0.122689	0.0758593	0.0275658	0.0167856	0.0119424	0.0102638
a93	0.00927513	0.0080832	0.0174155	0.0697727	0.0940697	0.135462	0.159949	0.163385	0.128889	0.0987322	0.041575	0.0301369	0.0235543	0.0196994
a75	0.0101066	0.00892089	0.0185158	0.064957	0.100614	0.132406	0.151756	0.137395	0.12125	0.101549	0.0520854	0.034499	0.0309227	0.0350237
a12	0.00415589	0.00483535	0.0136398	0.0335254	0.0571016	0.0903832	0.137272	0.120974	0.125283	0.123622	0.0909658	0.0648469	0.0642933	0.0691019
a18	0.00398577	0.00445527	0.0127578	0.0346736	0.0569923	0.099203	0.159807	0.165785	0.153738	0.12332	0.0669184	0.04251	0.0354247	0.0404296
a93	0.00309213	0.00528793	0.0156367	0.0409333	0.0542105	0.0921179	0.140226	0.191407	0.172379	0.13416	0.0638178	0.0433863	0.0235314	0.0198141
a70	0.002951	0.00337128	0.00894535	0.0273512	0.0425833	0.0745671	0.117978	0.159491	0.153567	0.138431	0.0853303	0.0652559	0.060802	0.059376
a71	0.00195897	0.00296649	0.00892073	0.0261047	0.0360452	0.0694463	0.103991	0.177057	0.173059	0.146814	0.0833846	0.0632768	0.0552928	0.0516829
a25	0.00269083	0.00487142	0.0143953	0.0256672	0.0321936	0.0633551	0.10865	0.205935	0.217146	0.163659	0.0697415	0.0435025	0.0260173	0.0221745
a99	0.0106514	0.0112312	0.0172734	0.031259	0.0331252	0.0474207	0.0694136	0.150858	0.196357	0.210964	0.0932529	0.060039	0.036467	0.0316877
a87	0.0258521	0.0233455	0.0322054	0.045218	0.0438744	0.0592059	0.0815567	0.125837	0.156201	0.171054	0.0813157	0.0554564	0.0420861	0.056792
a23	0.115505	0.0614919	0.0322815	0.0336476	0.0330931	0.0517969	0.0344854	0.0790739	0.0935135	0.108903	0.115707	0.101527	0.0743935	0.0645807
a3	0.0464915	0.0285903	0.0241809	0.0303541	0.0341594	0.065389	0.0320235	0.0623909	0.0575364	0.063213	0.125814	0.140321	0.141057	0.148479
a87	0.0174048	0.0112169	0.0155477	0.0305999	0.0400794	0.0861512	0.0378561	0.0673406	0.0636157	0.0677719	0.134041	0.153234	0.157657	0.117484
a23	0.0369746	0.0254174	0.0273499	0.0462366	0.0531715	0.0946739	0.0479466	0.0774542	0.0772513	0.0850259	0.123525	0.127402	0.11094	0.066632
a50	0.0132318	0.0103823	0.012308	0.0225816	0.0290541	0.0692993	0.0325609	0.0545504	0.0506539	0.0555075	0.104485	0.123215	0.210965	0.211206
a70	0.001693	0.0015593	0.0045105	0.0156402	0.0204579	0.0517337	0.0203274	0.0413243	0.0383647	0.0390372	0.0804494	0.117476	0.284077	0.28335
a94	0.00100604	0.000954997	0.00232833	0.00896235	0.0119818	0.0263584	0.0125138	0.0222799	0.0193761	0.0209469	0.0379974	0.0665986	0.366865	0.401831
a93	0.00109763	0.000871917	0.00183763	0.00761449	0.0119602	0.0280511	0.0169293	0.0297296	0.0251845	0.0262862	0.0362107	0.0473481	0.282136	0.484742
a56	0.00467187	0.00326694	0.00395208	0.0107041	0.0170409	0.0359864	0.0257065	0.0380038	0.0326286	0.0308656	0.0407468	0.0515971	0.262011	0.442818
a75	0.0053441	0.00375698	0.00487899	0.0116323	0.0208197	0.0484217	0.0460617	0.0692531	0.0622748	0.0511552	0.0546015	0.0589757	0.194806	0.368018
a56	0.00278511	0.00304131	0.00695144	0.0114983	0.0175262	0.0475601	0.0553281	0.096203	0.0914902	0.0683621	0.0591882	0.0610455	0.170946	0.308074
a93	0.00334962	0.00300692	0.00699957	0.016134	0.0273878	0.0594312	0.0720054	0.102951	0.0928448	0.0718926	0.0653064	0.0648564	0.159682	0.254152
a4	0.0037404	0.00324299	0.00768868	0.0185798	0.0322611	0.0647648	0.0758991	0.0958529	0.0828087	0.0674753	0.0624896	0.0653265	0.16559	0.25428
a93	0.00247799	0.00241032	0.00661858	0.015438	0.0253697	0.0533646	0.0712172	0.109115	0.0984447	0.0808683	0.071234	0.0731484	0.160817	0.229477
a4	0.00153334	0.00186855	0.0055812	0.0145082	0.0239529	0.0502642	0.0734802	0.118235	0.111567	0.0872092	0.066638	0.0668569	0.151903	0.226402
a93	0.00203035	0.00256578	0.00738089	0.0160971	0.0233983	0.0448549	0.0619896	0.10985	0.106996	0.0918422	0.0752721	0.0776216	0.166191	0.21391
a4	0.00078141	0.00113618	0.00276306	0.00763717	0.0134087	0.0306029	0.0500548	0.109201	0.123632	0.107536	0.0805143	0.0797335	0.156996	0.236003
a13	0.000693383	0.000985352	0.00238892	0.00663482	0.0116382	0.0310284	0.0472059	0.113798	0.130838	0.112616	0.0768354	0.0698211	0.140315	0.2552
a57	0.000548435	0.000738632	0.00179786	0.00496818	0.00653144	0.0152684	0.0189262	0.0558716	0.0615625	0.0748171	0.0637007	0.0597571	0.148277	0.487235
a30	0.00419409	0.00348022	0.00600279	0.0144506	0.0156864	0.0200817	0.0258263	0.0838862	0.113287	0.150127	0.104195	0.0787273	0.107533	0.272522
