 	les	champignons	n'	apparaissent	plus	</S>
a66	0.541102	0.213847	0.10873	0.0481274	0.0435348	0.0446591
a87	0.391233	0.212787	0.101373	0.0727786	0.110888	0.11094
a97	0.316375	0.262484	0.143742	0.0844522	0.0879468	0.104999
a40	0.335901	0.277766	0.152179	0.0855365	0.0684013	0.0802167
a7	0.509843	0.271358	0.0979288	0.0352911	0.0355727	0.0500072
a4	0.491146	0.277903	0.114236	0.0374315	0.0346401	0.0446429
a70	0.315425	0.291	0.231954	0.0839051	0.0395367	0.038179
a44	0.221393	0.249226	0.267989	0.142478	0.0624387	0.0564751
a15	0.172167	0.228618	0.283037	0.183579	0.0724206	0.0601789
a44	0.106309	0.150521	0.217288	0.213445	0.170614	0.141823
a69	0.0730197	0.112822	0.20781	0.244746	0.182019	0.179584
a94	0.0767793	0.112861	0.192649	0.269659	0.1935	0.154552
a90	0.0711379	0.104518	0.190832	0.264269	0.204082	0.165161
a25	0.0626218	0.101796	0.193483	0.262024	0.213937	0.166138
a79	0.0435011	0.0719858	0.158105	0.258608	0.251433	0.216367
a7	0.0390161	0.0613992	0.136984	0.275761	0.266951	0.219888
a98	0.0165759	0.0257921	0.0623119	0.1972	0.339001	0.359119
a47	0.0170965	0.0286402	0.0680318	0.169999	0.317132	0.399101
a7	0.00406932	0.0060269	0.0144125	0.0562564	0.277648	0.641587
a40	0.00211373	0.0031705	0.00765813	0.0392821	0.28109	0.666686
a47	0.00336475	0.00459025	0.00809812	0.0301839	0.303409	0.650354
a36	0.0010129	0.00145798	0.0032276	0.0195228	0.249649	0.725129
a2	0.00280277	0.00356633	0.00550786	0.0270437	0.237477	0.723602
a57	0.026493	0.031743	0.039363	0.083305	0.255792	0.563304
a97	0.0945931	0.0788352	0.0574166	0.0884104	0.273953	0.406791
a87	0.142078	0.13949	0.0947824	0.108497	0.234606	0.280547
a97	0.0872517	0.0985042	0.0729586	0.121628	0.307832	0.311826
a82	0.0247815	0.0320337	0.0335961	0.0887698	0.333916	0.486903
</S>	0.0387396	0.0482391	0.0458724	0.0769217	0.292095	0.498132
