 	la	lampe	éclaire	la	maison	</S>
a66	0.364495	0.15256	0.153244	0.154555	0.116193	0.058952
a87	0.406401	0.176906	0.125409	0.125659	0.104069	0.0615553
a23	0.40498	0.185565	0.127904	0.103606	0.0939091	0.0840365
a70	0.259015	0.185203	0.168998	0.137121	0.128306	0.121357
a96	0.482284	0.269578	0.129906	0.0554149	0.038882	0.0239341
a75	0.472197	0.29156	0.135299	0.0476379	0.0307168	0.0225891
a79	0.382701	0.302673	0.155949	0.0756277	0.0489647	0.0340845
a44	0.338546	0.24101	0.143784	0.111183	0.083916	0.0815611
a56	0.253852	0.175729	0.116615	0.147726	0.147778	0.158299
a93	0.247853	0.170968	0.134422	0.173634	0.147175	0.125948
a96	0.18545	0.158728	0.136466	0.180211	0.175426	0.163719
a62	0.166657	0.148874	0.140789	0.185769	0.179732	0.178179
a21	0.0733374	0.10842	0.164329	0.205678	0.218645	0.229591
a5	0.0140093	0.0228104	0.0716566	0.199048	0.305736	0.38674
a47	0.0180383	0.0300194	0.0715058	0.171921	0.296129	0.412387
a88	0.0162398	0.0309121	0.0727841	0.149865	0.275203	0.454995
a62	0.00560354	0.0112837	0.0275698	0.0884793	0.236646	0.630418
a21	0.00729761	0.0175936	0.0464988	0.115178	0.252019	0.561414
a47	0.00227538	0.00562663	0.0232825	0.0908252	0.249899	0.628091
a21	0.00340813	0.0104779	0.0411219	0.118397	0.255996	0.570599
a61	0.00338775	0.00864846	0.0269072	0.0817665	0.216967	0.662323
a18	0.00266924	0.0072237	0.0261605	0.088629	0.226763	0.648555
a71	0.0341339	0.0668533	0.13563	0.164992	0.235069	0.363322
a9	0.11391	0.157012	0.209464	0.160659	0.170406	0.188548
a87	0.331334	0.200094	0.164723	0.115174	0.102569	0.0861065
a23	0.384335	0.223053	0.159514	0.0938762	0.0796907	0.0595307
a87	0.137149	0.0952209	0.0911377	0.0989221	0.184885	0.392685
</S>	0.0245633	0.025792	0.0603349	0.106223	0.247363	0.535723
