 	les	enfant	ont	l'	habitude	de	capturer	les	abyo	dans	les	pièges	</S>
a66	0.0762647	0.0986791	0.106776	0.144946	0.156952	0.188366	0.158887	0.0399522	0.0131597	0.00682476	0.00370962	0.00298491	0.00249904
a87	0.514713	0.252461	0.102943	0.0481993	0.0234799	0.0124291	0.00894911	0.00278913	0.00217599	0.00385595	0.00574375	0.0116378	0.0106231
a23	0.362393	0.175796	0.102345	0.0781737	0.0566385	0.0530066	0.0410829	0.0246038	0.0194839	0.0147032	0.0138893	0.0260793	0.0318046
a40	0.234263	0.125206	0.0785615	0.0662029	0.0453915	0.0327338	0.033589	0.0406103	0.04076	0.0400444	0.0437152	0.0814999	0.137422
a37	0.245659	0.147991	0.11375	0.0868046	0.0782115	0.0948311	0.09208	0.05343	0.0301225	0.0230737	0.0143657	0.0107941	0.00888636
a12	0.127396	0.163091	0.182129	0.148043	0.107829	0.129098	0.0920374	0.0300633	0.00876923	0.00386254	0.00273568	0.00273739	0.00220844
a43	0.10695	0.119091	0.14495	0.127931	0.109872	0.158919	0.121223	0.0696185	0.0273314	0.00710558	0.00299353	0.00226694	0.00174686
a11	0.10293	0.0886311	0.113106	0.119113	0.123075	0.164598	0.125816	0.0869132	0.0479357	0.013829	0.0059094	0.0041129	0.00403138
a83	0.0682257	0.0700418	0.0838789	0.104215	0.133244	0.187404	0.157825	0.0945415	0.0533574	0.0187656	0.00952423	0.00840095	0.0105758
a98	0.0512004	0.0540378	0.0705136	0.106452	0.141749	0.191419	0.165473	0.108047	0.0603732	0.0218817	0.0102633	0.00830967	0.010279
a15	0.0356122	0.0435217	0.0745056	0.107496	0.136567	0.196613	0.152891	0.129438	0.0594591	0.0289391	0.0142898	0.00964682	0.0110216
a7	0.0389169	0.0482315	0.0781917	0.115875	0.147994	0.18879	0.142013	0.121562	0.0502681	0.0279504	0.015494	0.0112921	0.0134223
a44	0.0286694	0.0349652	0.0524703	0.0952192	0.134175	0.187774	0.162064	0.15139	0.0609468	0.0328164	0.0191289	0.0162567	0.024125
a34	0.0328195	0.0364549	0.0415067	0.0733376	0.108999	0.150059	0.14525	0.134476	0.0663281	0.0471562	0.0369823	0.042976	0.0836546
a98	0.0417277	0.0390338	0.0425131	0.0743644	0.109911	0.166338	0.168505	0.122137	0.0633282	0.0446837	0.0330052	0.0347669	0.059686
a47	0.0128128	0.0132172	0.0175652	0.0403587	0.072513	0.147377	0.15991	0.17006	0.113541	0.0919097	0.0631332	0.0439368	0.0536646
a7	0.00722992	0.00856962	0.0117537	0.0278374	0.05382	0.101191	0.149837	0.225222	0.136999	0.0955199	0.060153	0.0489912	0.072876
a37	0.0175816	0.0158297	0.0128891	0.0165381	0.0241437	0.0453454	0.0743967	0.15352	0.12508	0.134377	0.109827	0.0997736	0.170697
a34	0.00931816	0.00813237	0.00746398	0.00920629	0.011896	0.0173234	0.0279809	0.0818265	0.10524	0.15259	0.164628	0.144406	0.259988
a56	0.007147	0.00660974	0.00582253	0.00611817	0.00619979	0.0076598	0.0122852	0.0454249	0.0856504	0.156867	0.230853	0.175693	0.253669
a96	0.00222385	0.00216252	0.00192414	0.00201397	0.00191042	0.00250059	0.00446812	0.018821	0.0465077	0.108013	0.252488	0.253535	0.303432
a56	0.00124862	0.00120879	0.00116018	0.00134536	0.00120174	0.00103885	0.00161846	0.00833378	0.0331089	0.0840259	0.221484	0.271493	0.372733
a96	0.000596245	0.000553029	0.000489078	0.000550005	0.000528397	0.000530959	0.000967682	0.00474517	0.0180784	0.0539456	0.189593	0.297485	0.431938
a21	0.000262692	0.00024318	0.000243569	0.000332437	0.000322698	0.000272893	0.000464064	0.00260708	0.0135932	0.0411964	0.155976	0.305664	0.478822
a12	0.000162279	0.000144338	0.000136915	0.000174339	0.000215866	0.000208604	0.000350425	0.00182486	0.0077933	0.0233976	0.117402	0.316357	0.531832
a23	9.58983e-05	9.06556e-05	9.59989e-05	0.000137768	0.000160552	0.000139908	0.000239806	0.00132697	0.00607846	0.0219272	0.113913	0.305864	0.54993
a27	8.79423e-05	8.05609e-05	8.87721e-05	0.000128275	0.000161598	0.000166325	0.000256439	0.00131865	0.00577307	0.0181814	0.0802788	0.263709	0.629769
a82	0.00217318	0.00150519	0.00115143	0.00129592	0.00166104	0.00199217	0.00263241	0.00984488	0.0292375	0.0471838	0.115161	0.260399	0.525762
a87	0.0355336	0.0228966	0.0176718	0.0176787	0.0237872	0.0288092	0.0320027	0.0596674	0.0932967	0.0916977	0.124475	0.187227	0.265256
a23	0.203304	0.0993249	0.0480587	0.0395974	0.04355	0.0459049	0.049311	0.0686851	0.0754258	0.0734508	0.0769524	0.0819427	0.0944925
a97	0.0366079	0.0164263	0.00759036	0.00435256	0.00329817	0.00313583	0.00359411	0.00603167	0.0108244	0.0304498	0.102618	0.283796	0.491275
a99	0.0122872	0.00573718	0.00310107	0.00271385	0.00234157	0.00282334	0.00333851	0.00746221	0.0112691	0.0315499	0.0908062	0.267459	0.559111
a97	0.0118607	0.00575723	0.00323655	0.00285398	0.00248613	0.00307711	0.00346684	0.00743366	0.0125903	0.0392123	0.104112	0.270095	0.533819
</S>	0.0058789	0.00285122	0.00187094	0.00216258	0.00205819	0.00242588	0.00253882	0.00483762	0.00673915	0.0239841	0.088641	0.267539	0.588472
