 	il	est	arrivé	au	bout	de	quelques	minutes	</S>
a23	0.263157	0.234374	0.153512	0.10059	0.0714837	0.0668313	0.0558166	0.0304975	0.0237387
a79	0.409952	0.232887	0.078619	0.0561214	0.0620223	0.0612885	0.0274012	0.0265647	0.0451436
a53	0.193122	0.159075	0.10434	0.105591	0.0805346	0.0598796	0.0975312	0.110279	0.0896478
a15	0.20649	0.260776	0.24039	0.14396	0.0701084	0.0260774	0.0193959	0.0218504	0.0109514
a47	0.143295	0.232978	0.313848	0.179699	0.0721154	0.026718	0.012976	0.0108539	0.00751665
a12	0.134073	0.18414	0.2281	0.262899	0.128163	0.0359095	0.00873908	0.00875525	0.00922185
a75	0.190424	0.223206	0.230698	0.215289	0.0985378	0.0271861	0.00537246	0.00500241	0.00428331
a56	0.170168	0.168283	0.163008	0.252075	0.149722	0.0464002	0.0159342	0.0173871	0.0170231
a96	0.14632	0.14869	0.156957	0.214724	0.187206	0.0919487	0.0185839	0.0173006	0.0182697
a90	0.133715	0.11739	0.115298	0.173884	0.213713	0.154428	0.0324884	0.0272057	0.0318787
a75	0.0837548	0.0835019	0.107693	0.144	0.171726	0.157607	0.0817195	0.0784776	0.0915213
a85	0.0796912	0.0717267	0.0781045	0.107678	0.111834	0.109309	0.124643	0.160433	0.15658
a36	0.0708794	0.0665873	0.0680205	0.075823	0.0675393	0.0684082	0.124357	0.243434	0.214951
a21	0.056005	0.0338748	0.0272981	0.0330563	0.0486692	0.0836212	0.14887	0.265762	0.302843
a85	0.0615984	0.0454282	0.0389019	0.0447577	0.0494967	0.0661514	0.155744	0.299704	0.238218
a36	0.0407168	0.0320196	0.0340011	0.0445433	0.0553919	0.0578012	0.129943	0.32446	0.281124
a85	0.00911627	0.00574382	0.00511235	0.00493898	0.00769809	0.0160068	0.049267	0.263052	0.639065
a6	0.0033965	0.00230053	0.00280273	0.00376983	0.00610739	0.0136235	0.08043	0.377766	0.509803
a37	0.00351485	0.00259832	0.00320568	0.00399263	0.00744049	0.0160108	0.0763301	0.393228	0.493679
a61	0.000971401	0.000670964	0.000883015	0.00113306	0.0023933	0.00723187	0.0537835	0.300446	0.632487
a31	0.00230468	0.00171436	0.00204618	0.00205629	0.0034835	0.00826103	0.0405164	0.265879	0.673739
a24	0.00331876	0.00276455	0.00340815	0.00345897	0.00597459	0.0138914	0.0567706	0.261779	0.648634
a9	0.00509125	0.0038826	0.00434408	0.00533283	0.0124405	0.0272641	0.092516	0.299052	0.550076
a10	0.032628	0.0195975	0.0112994	0.00689944	0.0126095	0.0353711	0.12647	0.282144	0.472981
a87	0.116961	0.108804	0.115562	0.0744871	0.0935874	0.125215	0.114278	0.0900061	0.161099
a23	0.17744	0.162766	0.134622	0.0947121	0.10195	0.0954012	0.0766064	0.0693857	0.0871176
a87	0.0505894	0.046007	0.0446241	0.0232295	0.0283795	0.0495668	0.123514	0.287511	0.346579
</S>	0.00398012	0.00364318	0.00406093	0.00347008	0.00608728	0.0135776	0.0719545	0.351426	0.5418
