 	quel	est	parmi	vous	la	personne	qui	fait	partir	les	gens	en	europe	</S>
a87	0.1576	0.0939355	0.0627192	0.0461613	0.057476	0.0627327	0.0657986	0.0925857	0.0984773	0.0932796	0.0735734	0.058716	0.0255788	0.0113663
a10	0.189907	0.0771953	0.0372769	0.0284059	0.0341037	0.0363847	0.0471293	0.0550636	0.0720517	0.0688972	0.091365	0.0918514	0.0909682	0.0794007
a87	0.125215	0.0908139	0.0658245	0.0515102	0.0507828	0.055437	0.0558397	0.0641218	0.0673566	0.0642986	0.0528638	0.0557969	0.0662994	0.133839
a79	0.182455	0.129749	0.106891	0.0724331	0.0521317	0.0423898	0.0366413	0.0374534	0.0343888	0.0334386	0.0322228	0.0398262	0.0634703	0.136508
a93	0.172875	0.116811	0.125626	0.101878	0.077982	0.0461563	0.034495	0.0302316	0.0265799	0.031811	0.0373204	0.0528566	0.0711217	0.074255
a70	0.294331	0.228911	0.177678	0.0924242	0.0529043	0.0283819	0.020794	0.0191783	0.0188212	0.0167916	0.0109876	0.0115977	0.0117917	0.0154086
a31	0.235902	0.242223	0.227039	0.133047	0.0632979	0.030003	0.0194047	0.0146084	0.0101644	0.00797535	0.00439089	0.00450525	0.00342192	0.00401782
a21	0.149292	0.184236	0.207084	0.152901	0.0950789	0.0564718	0.0399509	0.031961	0.02329	0.0185381	0.0114253	0.0110678	0.00872225	0.00998038
a47	0.132609	0.142071	0.177636	0.157803	0.10789	0.0704053	0.0580986	0.0472091	0.0338847	0.0238507	0.0136917	0.0119815	0.0100621	0.0128075
a0	0.0727867	0.071569	0.0984997	0.123218	0.136835	0.122281	0.107552	0.0886027	0.062374	0.0435301	0.0240209	0.0199165	0.014283	0.0145311
a47	0.0575175	0.0566678	0.0753691	0.111075	0.157323	0.154764	0.136991	0.0972242	0.0583127	0.0363135	0.0195915	0.0158147	0.0114136	0.0116212
a88	0.0280074	0.0278567	0.0398358	0.0717514	0.134351	0.164416	0.172551	0.133119	0.0854945	0.0536055	0.0299935	0.0235886	0.0167248	0.018705
