 	un	match	de	foot-ball	a	eu	lieu	hier	à	nganya	</S>
a66	0.242587	0.187499	0.189279	0.188855	0.08096	0.0362806	0.02232	0.0173263	0.0160128	0.00950528	0.00937469
a87	0.230786	0.104784	0.111806	0.097711	0.102803	0.0877631	0.0556135	0.0383641	0.0386567	0.0462265	0.0854865
a23	0.365717	0.240953	0.112092	0.0862991	0.0627915	0.0399596	0.0229938	0.0135333	0.0136829	0.0151365	0.0268418
a97	0.385157	0.220695	0.106827	0.0960605	0.0573037	0.0412909	0.0259241	0.0174219	0.0173536	0.0138301	0.0181357
a38	0.291471	0.1918	0.104487	0.112106	0.0935147	0.0690631	0.0432663	0.0284194	0.029489	0.0185564	0.017827
a83	0.298718	0.211563	0.128129	0.0865072	0.0731331	0.0566145	0.0366277	0.0241783	0.0253944	0.0247927	0.0343413
a5	0.388696	0.262097	0.144049	0.0700687	0.0466398	0.02787	0.0169537	0.0103527	0.0117865	0.00868292	0.0128035
a61	0.295087	0.233596	0.16457	0.12681	0.0673252	0.0395066	0.0232503	0.0156067	0.0154683	0.00712232	0.0116568
a62	0.224005	0.207515	0.187578	0.170025	0.0743591	0.0449181	0.0292884	0.0228949	0.0210536	0.00855248	0.00980964
a88	0.168328	0.180083	0.190523	0.1819	0.0876625	0.0524765	0.0409932	0.0354816	0.0326001	0.0173705	0.0125814
a90	0.129339	0.157046	0.192339	0.205007	0.106279	0.0561354	0.0416103	0.0377585	0.0330442	0.0236112	0.0178301
a15	0.101897	0.136675	0.192116	0.195606	0.0945826	0.0612063	0.0544898	0.0514807	0.0437618	0.0342661	0.0339192
a69	0.0694504	0.130068	0.1911	0.181448	0.0804881	0.061715	0.0626137	0.0672058	0.0569668	0.0431705	0.0557744
a90	0.0539644	0.100117	0.173546	0.203219	0.10516	0.0760072	0.0748022	0.0695493	0.0553419	0.0401289	0.0481637
a25	0.0325476	0.0749208	0.134194	0.151921	0.0874096	0.0875314	0.100148	0.103485	0.0892369	0.0583235	0.0802823
a79	0.0242254	0.0722925	0.1433	0.150441	0.0790486	0.0824924	0.0971573	0.107269	0.0895025	0.0605639	0.0937069
a44	0.0135082	0.0431433	0.096509	0.150091	0.0918288	0.094911	0.120669	0.128159	0.102646	0.0721104	0.0864242
a94	0.010394	0.0297998	0.0825604	0.183874	0.114229	0.101674	0.119281	0.12337	0.0936951	0.0636719	0.0774501
a31	0.00951292	0.0221781	0.0594779	0.183197	0.121241	0.107879	0.116311	0.122147	0.0959625	0.0696424	0.0924523
a0	0.0169922	0.0337989	0.0667611	0.167814	0.118474	0.110548	0.118595	0.118774	0.110461	0.0799097	0.0578735
a90	0.0105876	0.0203193	0.0426817	0.156277	0.124971	0.11958	0.123766	0.126732	0.11155	0.0854587	0.0780774
a94	0.00644639	0.0137442	0.0317094	0.103931	0.0850639	0.100258	0.135522	0.152371	0.136693	0.112772	0.121488
a12	0.00519	0.0087662	0.0187215	0.0774086	0.0829056	0.108095	0.145801	0.17316	0.143537	0.107185	0.12923
a96	0.0123666	0.0187547	0.0261201	0.074409	0.0618339	0.0819732	0.124174	0.166583	0.155781	0.145642	0.132361
a62	0.00713399	0.0120335	0.0192303	0.0644382	0.0597808	0.0808048	0.120523	0.176407	0.156538	0.131655	0.171456
a88	0.00680351	0.0100433	0.0162014	0.0529727	0.0613782	0.0868328	0.12267	0.182402	0.167367	0.152003	0.141326
a71	0.00485863	0.00757045	0.0121618	0.0402129	0.0460389	0.0669774	0.103023	0.171029	0.160682	0.187161	0.200284
a9	0.00487227	0.00599977	0.0124205	0.037639	0.0403787	0.0545061	0.0892541	0.17786	0.14996	0.197274	0.229836
a53	0.0100577	0.0112335	0.0168197	0.0372166	0.0406124	0.0595962	0.0926578	0.182148	0.160125	0.176357	0.213177
a90	0.00174119	0.00248352	0.00420305	0.0148202	0.023588	0.0528423	0.0905288	0.162982	0.161033	0.161333	0.324445
