 	tu	es	résistant	car	tu	restes	torse	nu	quand	il	fait	frais	</S>
a66	0.0612273	0.0549635	0.140355	0.167439	0.171818	0.170389	0.0913597	0.0731086	0.0385539	0.0145293	0.00740117	0.00481288	0.00404214
a87	0.432631	0.180874	0.0967923	0.103466	0.0738271	0.0323188	0.0201394	0.00983752	0.0105337	0.00505932	0.005924	0.00965945	0.0189372
a23	0.265436	0.163261	0.158881	0.134836	0.0639255	0.0403277	0.0492065	0.0450277	0.0250268	0.0104442	0.00945396	0.0116357	0.0225391
a99	0.23078	0.181784	0.165834	0.0780305	0.0364169	0.0505957	0.0490586	0.0349138	0.0273359	0.0203484	0.0203655	0.029872	0.0746644
a44	0.173208	0.172608	0.194304	0.116389	0.0665236	0.0886648	0.0355582	0.0367906	0.0226196	0.0175824	0.0191466	0.0207677	0.0358382
a4	0.30469	0.199024	0.118245	0.118833	0.08029	0.0836048	0.0374315	0.0206987	0.00966592	0.00616646	0.00656778	0.0060274	0.00875529
a93	0.265435	0.228223	0.123023	0.154633	0.118141	0.0641674	0.0205076	0.00981283	0.00416555	0.00284064	0.00291331	0.00234833	0.0037898
a70	0.17149	0.185737	0.139241	0.169721	0.144637	0.101396	0.0335423	0.0170677	0.0075363	0.0058259	0.00750641	0.00637229	0.00992807
a61	0.122073	0.135013	0.130729	0.16844	0.156075	0.146218	0.0589177	0.0285111	0.0117257	0.00953536	0.0121697	0.00930379	0.0112886
a31	0.103336	0.113421	0.121398	0.144794	0.137152	0.157153	0.0914574	0.0504292	0.0228729	0.017264	0.0176514	0.0110729	0.0119968
a75	0.0617795	0.0709913	0.0961244	0.128555	0.142125	0.188127	0.131237	0.0729784	0.0327808	0.024709	0.0226341	0.0136398	0.0143194
a6	0.0500849	0.0658522	0.0848048	0.14836	0.20568	0.173381	0.0845588	0.0597132	0.0347569	0.0232794	0.0234368	0.0189476	0.0271446
a36	0.059281	0.0676483	0.0974546	0.1452	0.177294	0.151748	0.0850333	0.0624983	0.0379594	0.0254803	0.0269632	0.0261814	0.0372584
a98	0.033085	0.0349425	0.0966438	0.13814	0.165367	0.161692	0.10395	0.0766153	0.0424425	0.029667	0.0336916	0.0346461	0.0491179
a79	0.0318497	0.0302447	0.0884997	0.156329	0.209665	0.16603	0.0778465	0.0575657	0.0428736	0.0309711	0.0318728	0.0317385	0.044513
a7	0.0267139	0.0232975	0.0770651	0.138371	0.215855	0.219628	0.0841216	0.0522678	0.0376217	0.0289282	0.0302277	0.0281624	0.0377401
a37	0.0136358	0.0128388	0.072193	0.111306	0.146676	0.154272	0.151555	0.121086	0.068662	0.0449856	0.0356804	0.0293646	0.0377448
a96	0.00742562	0.00677497	0.0448791	0.0853195	0.148692	0.170699	0.172892	0.126722	0.0724604	0.0480494	0.0376201	0.0332492	0.0452171
a70	0.00605166	0.00510762	0.0225184	0.0450384	0.105042	0.150842	0.190033	0.150109	0.101139	0.0685315	0.0524191	0.045459	0.057709
a62	0.00549036	0.00454134	0.0147596	0.0287622	0.0744835	0.114292	0.190204	0.175014	0.122815	0.0831542	0.0655066	0.054364	0.0666131
a12	0.00309588	0.00250582	0.00753019	0.0181555	0.0560148	0.10935	0.23199	0.197386	0.129211	0.0823473	0.0608913	0.0453227	0.0561995
a88	0.00318128	0.00261833	0.00695966	0.0152802	0.0525199	0.103896	0.210845	0.17914	0.130719	0.092107	0.0739865	0.0608194	0.0679278
a96	0.00405313	0.00332671	0.00811297	0.0164814	0.0436744	0.0889882	0.218357	0.188872	0.126598	0.088412	0.072607	0.0573777	0.0831396
a93	0.00314067	0.00258604	0.00669461	0.0138822	0.0383298	0.0804056	0.198285	0.176165	0.143541	0.109297	0.0886965	0.0638063	0.0751698
a90	0.00285876	0.00231053	0.0065565	0.0129544	0.0336551	0.0677779	0.160106	0.160082	0.152295	0.128141	0.109909	0.0804577	0.0828957
a44	0.00150871	0.00120138	0.0039067	0.00868826	0.0237662	0.0504338	0.110933	0.141341	0.155264	0.13527	0.130153	0.112221	0.125314
a58	0.00112217	0.000869822	0.00279705	0.0056597	0.0139353	0.0306322	0.0841178	0.126146	0.160643	0.142965	0.144761	0.133814	0.152536
a90	0.00187547	0.00153666	0.00338559	0.0054342	0.0082874	0.0153978	0.0361118	0.0874925	0.135096	0.138103	0.167349	0.165959	0.233972
a93	0.000777423	0.000552506	0.00123779	0.00230997	0.00486686	0.00895035	0.0360138	0.076109	0.14543	0.13609	0.157667	0.179084	0.250911
a4	0.00058135	0.000398451	0.00100828	0.00197743	0.00485409	0.0102338	0.0398377	0.0836866	0.156057	0.138899	0.150845	0.173742	0.23788
a53	0.000728904	0.000482228	0.00121091	0.00219401	0.00429242	0.00806476	0.0286654	0.063344	0.119433	0.12153	0.165132	0.200508	0.284415
a4	0.000732606	0.00050374	0.00129929	0.0026637	0.00513952	0.00878462	0.0303368	0.0700026	0.140239	0.132966	0.162082	0.187302	0.257948
a94	0.000724297	0.000483287	0.00121224	0.00245735	0.00467542	0.00862726	0.0314358	0.0668189	0.129252	0.122597	0.15219	0.191198	0.288328
a93	0.00030456	0.000194677	0.000490057	0.000988093	0.00184048	0.0034625	0.0118754	0.0320202	0.0748238	0.0871781	0.145522	0.241529	0.399771
a4	0.000351339	0.000238285	0.000632595	0.00131074	0.00292476	0.00581856	0.0213917	0.0430206	0.103469	0.118807	0.157005	0.21788	0.327152
a11	0.000448871	0.000292815	0.00080516	0.0015438	0.00271538	0.00447585	0.0140957	0.0323143	0.0762088	0.0868056	0.140684	0.241616	0.397994
a75	0.000566236	0.000344358	0.000828667	0.00146496	0.00220731	0.00319499	0.00814913	0.0174802	0.0456872	0.0592222	0.123006	0.2588	0.479049
a6	0.000224973	0.000174408	0.000403602	0.000613631	0.0010388	0.00216525	0.0140882	0.020752	0.0553507	0.0679906	0.113413	0.249529	0.474255
a36	0.000102544	6.79925e-05	0.00017619	0.000332432	0.000613065	0.00142128	0.00762017	0.0149368	0.0362348	0.0421402	0.0861606	0.257931	0.552263
a27	0.000729867	0.00038968	0.000603891	0.000814474	0.000997687	0.00136755	0.00289593	0.00593456	0.0140952	0.0215743	0.0662924	0.259343	0.624961
a62	0.00931388	0.0038203	0.00395687	0.0050857	0.00510516	0.00331253	0.00360782	0.00713763	0.0185473	0.0339696	0.112521	0.354685	0.438937
a88	0.000808177	0.000380699	0.00064422	0.00110691	0.00145101	0.00173834	0.00272518	0.00567553	0.0151231	0.0280454	0.0972273	0.304186	0.540888
a71	0.000290857	0.000143184	0.000274116	0.000564068	0.000795016	0.00120557	0.00176744	0.00319615	0.00944314	0.0190794	0.0738363	0.274072	0.615333
a25	0.00229492	0.00126166	0.00175044	0.00270793	0.00337568	0.0044587	0.00541994	0.00772137	0.0229437	0.0375357	0.0917249	0.293883	0.524922
a87	0.0164726	0.00841934	0.00907097	0.0123148	0.0132691	0.010134	0.0118826	0.0121088	0.027109	0.0429302	0.11002	0.298515	0.427754
a23	0.0627526	0.0265817	0.0218318	0.0314949	0.037176	0.0141614	0.0108772	0.0138609	0.0468241	0.0747224	0.11969	0.241042	0.298985
a87	0.0122528	0.00395443	0.00227053	0.00834405	0.0150728	0.00805301	0.0137434	0.0160551	0.0613272	0.0934579	0.171235	0.2698	0.324433
</S>	0.00305397	0.00105847	0.000894135	0.00362742	0.0101669	0.0070803	0.0149836	0.0201166	0.0637906	0.0804215	0.142323	0.27528	0.377203
