 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
a23	0.165025	0.203343	0.130326	0.0770086	0.0835598	0.0589084	0.0581207	0.0582095	0.0528379	0.0429481	0.0356849	0.0340278
a50	0.226272	0.168077	0.13158	0.0974803	0.11094	0.0898581	0.0555935	0.0375314	0.0265522	0.0217256	0.0166105	0.0177788
a98	0.285235	0.249706	0.165232	0.124299	0.0993347	0.0397175	0.0167864	0.00786102	0.00421143	0.00304742	0.00203285	0.0025369
a9	0.237661	0.24184	0.168854	0.140646	0.113242	0.0518058	0.0226365	0.0103661	0.00537932	0.00347275	0.00197831	0.00211881
a53	0.182661	0.209763	0.181303	0.155715	0.132228	0.0715608	0.0350063	0.014947	0.00755566	0.00436119	0.00233657	0.00256279
a94	0.156867	0.173691	0.166498	0.162105	0.130001	0.0803832	0.0477175	0.0248168	0.0164104	0.01414	0.0118813	0.0154887
a24	0.148458	0.172684	0.16701	0.16261	0.119969	0.0729987	0.0428703	0.0259786	0.0195443	0.0208011	0.0206439	0.0264326
a75	0.123252	0.129047	0.138484	0.156148	0.125677	0.0910838	0.0635404	0.0418746	0.031175	0.0313993	0.0300666	0.0382527
a14	0.0947869	0.0983454	0.116243	0.144514	0.120153	0.0959819	0.073987	0.0552525	0.0442869	0.0457396	0.0486074	0.0621027
a44	0.0987535	0.092618	0.11051	0.14861	0.149264	0.129443	0.0816798	0.0497769	0.0325921	0.031555	0.032715	0.0424823
a26	0.07612	0.072754	0.0934321	0.121879	0.125877	0.135971	0.111553	0.0780044	0.0521759	0.0471651	0.0398837	0.0451859
a38	0.0592049	0.047723	0.0591255	0.0760687	0.0877776	0.118936	0.121723	0.104477	0.0839148	0.0857993	0.0744917	0.0807595
a90	0.0709779	0.059726	0.0698247	0.0785992	0.0888438	0.120587	0.126444	0.101059	0.0752399	0.0724993	0.0633128	0.0728869
a56	0.0514235	0.0431598	0.0488051	0.0521222	0.0578713	0.0774645	0.107761	0.116639	0.107407	0.110434	0.104215	0.122698
a47	0.0393073	0.0345182	0.0356276	0.0383767	0.0413688	0.0567056	0.089323	0.11699	0.130869	0.149655	0.134345	0.132913
a62	0.0280831	0.0221913	0.0200456	0.018928	0.0180196	0.0262411	0.0513202	0.0834277	0.116396	0.171133	0.218326	0.225888
a83	0.0347659	0.0276829	0.0244902	0.0249688	0.0212697	0.0281446	0.0502827	0.080904	0.11479	0.161005	0.209715	0.221981
a90	0.0390206	0.0295442	0.0241148	0.0231393	0.0200701	0.0241473	0.0358886	0.0620643	0.0993507	0.162892	0.229306	0.250463
a12	0.0342409	0.0268045	0.0229428	0.0198708	0.0172952	0.0193557	0.0314821	0.0583967	0.102549	0.174198	0.245551	0.247314
a21	0.0307228	0.0222405	0.018124	0.0176123	0.0160444	0.018457	0.0259442	0.0437972	0.0794912	0.145536	0.260022	0.322009
a12	0.0343517	0.0244459	0.0198134	0.0185529	0.0186653	0.0207365	0.0282118	0.0442996	0.0774974	0.141045	0.255944	0.316436
a43	0.024151	0.016269	0.0132782	0.0135215	0.0123076	0.0146686	0.0224102	0.04096	0.0809347	0.158583	0.270294	0.332622
a21	0.0338085	0.0213296	0.0162961	0.0158599	0.0133754	0.0156559	0.022936	0.0401757	0.077452	0.157321	0.258219	0.327572
a12	0.0233331	0.0148546	0.0119648	0.013059	0.0114414	0.0130561	0.0194717	0.034819	0.0725143	0.151328	0.273148	0.36101
a21	0.0245081	0.0156275	0.0114043	0.0111762	0.00976007	0.0106473	0.0154501	0.0284757	0.0614966	0.139797	0.269815	0.401842
a94	0.0243848	0.0150751	0.0111526	0.0118864	0.0104627	0.0120918	0.0187589	0.0347392	0.072876	0.150272	0.26055	0.37775
a98	0.0262571	0.0163887	0.0124283	0.0110854	0.0111174	0.012023	0.0158491	0.0253754	0.0496923	0.118881	0.274912	0.425991
a41	0.0261791	0.0153341	0.0122465	0.0109418	0.0113968	0.0139346	0.0189463	0.0282589	0.0529978	0.117625	0.267821	0.424319
a56	0.0182673	0.0103692	0.00794365	0.00763378	0.00817459	0.00973599	0.015098	0.0295949	0.0683873	0.146597	0.281263	0.396935
a98	0.0222826	0.0126946	0.00937703	0.00906624	0.0100666	0.0120616	0.0169992	0.030821	0.0628968	0.138869	0.266908	0.407958
a92	0.013408	0.00749665	0.0053185	0.00470909	0.00487827	0.00616088	0.0101702	0.020812	0.0512242	0.122297	0.284129	0.469397
a44	0.0234481	0.0120813	0.00944515	0.00977825	0.00994989	0.0132666	0.0214962	0.0406686	0.0832439	0.155136	0.259308	0.362178
a13	0.0218511	0.0131193	0.0104992	0.0103004	0.0118748	0.0139666	0.0183662	0.0296308	0.0563244	0.1251	0.261687	0.427281
a62	0.00976487	0.00591536	0.00460911	0.00377021	0.00419432	0.00552793	0.00843752	0.0163766	0.0369677	0.0975749	0.289513	0.517348
a98	0.00854655	0.00518042	0.00394491	0.00339536	0.00423218	0.00502863	0.00620982	0.0122125	0.0322312	0.105437	0.309938	0.503644
a83	0.00932846	0.00551999	0.00402357	0.00349582	0.00391519	0.00419547	0.00582636	0.0125221	0.0357408	0.106139	0.300118	0.509176
a9	0.0090276	0.00560312	0.00441883	0.00395821	0.00458466	0.00507645	0.00625826	0.0121441	0.032284	0.100313	0.291268	0.525063
a87	0.00324648	0.00208227	0.00178984	0.00149223	0.00185391	0.00238984	0.00384171	0.00838195	0.0229148	0.0680899	0.280496	0.603421
</S>	0.00351383	0.00235597	0.00197241	0.0015072	0.00223753	0.00326783	0.00654639	0.0167183	0.0430125	0.0978853	0.292099	0.528884
