 	on	m'	a	volé	toute	la	richesse	</S>
a87	0.424337	0.187952	0.0926972	0.0772685	0.0642666	0.0550982	0.0540711	0.0443092
a23	0.330737	0.225398	0.131532	0.106109	0.0741561	0.0562982	0.041543	0.0342264
a26	0.246015	0.189955	0.15996	0.170437	0.0956639	0.0522804	0.0421969	0.0434928
a38	0.207325	0.171813	0.159219	0.149415	0.0788641	0.0626564	0.0723445	0.0983635
a88	0.344476	0.243981	0.173653	0.0942345	0.0391893	0.0310417	0.0351977	0.0382269
a71	0.161203	0.18019	0.193793	0.158899	0.0926642	0.0686557	0.0701751	0.0744192
a24	0.134582	0.156906	0.170024	0.15099	0.109883	0.089494	0.0917793	0.0963416
a54	0.106786	0.141477	0.172182	0.158006	0.11432	0.0914346	0.101777	0.114018
a79	0.100635	0.12189	0.142242	0.127204	0.0944616	0.0985005	0.139571	0.175496
a44	0.0450881	0.0635794	0.0914437	0.0961245	0.0919985	0.127409	0.216543	0.267814
a53	0.0193348	0.0307098	0.0585733	0.0930632	0.116591	0.156038	0.239803	0.285887
a4	0.040278	0.0643462	0.110964	0.144619	0.137357	0.146881	0.174035	0.181519
a57	0.00900072	0.0155336	0.0361264	0.0896345	0.138408	0.172847	0.234136	0.304315
a82	0.00984546	0.0150981	0.0323332	0.0831046	0.138595	0.18873	0.247282	0.285012
a13	0.00333514	0.00409293	0.00801143	0.0260758	0.057616	0.129194	0.327714	0.443962
a53	0.00318261	0.00326162	0.00480173	0.0124828	0.0364402	0.129497	0.348566	0.461769
a69	0.0034046	0.00439291	0.00857206	0.0195294	0.045509	0.133054	0.347429	0.438109
a58	0.00140444	0.00206388	0.00475997	0.0118197	0.032798	0.11066	0.335711	0.500783
a4	0.00103451	0.00112073	0.0020721	0.0057201	0.0192906	0.0803775	0.321522	0.568863
a58	0.00226442	0.00241561	0.00360465	0.007204	0.0214536	0.0825407	0.300835	0.579682
a82	0.00390153	0.00326756	0.00441641	0.0089118	0.024421	0.08534	0.290402	0.57934
a87	0.135925	0.0836267	0.0622072	0.0609684	0.0724186	0.1005	0.189972	0.294382
a23	0.287838	0.16929	0.102709	0.0669211	0.0582464	0.0668631	0.115158	0.132974
a87	0.176545	0.129137	0.09275	0.0741813	0.0691812	0.0906534	0.192197	0.175356
</S>	0.0662476	0.0607895	0.0608193	0.0664337	0.0783435	0.118022	0.272657	0.276687
