 	donne-lui	un	pain	parmi	les	pains	que	j'	ai	ramenés	</S>
a15	0.105083	0.0980251	0.114676	0.125843	0.163287	0.168471	0.13308	0.0619982	0.0223721	0.00548136	0.00168325
a66	0.277954	0.1429	0.118925	0.138161	0.119944	0.0873566	0.0525945	0.0294937	0.0169908	0.0104065	0.00527434
a87	0.302322	0.178692	0.151357	0.145521	0.0930227	0.0687528	0.0260822	0.010321	0.00697549	0.00776754	0.00918504
a10	0.208634	0.179865	0.150479	0.172406	0.123608	0.105222	0.031654	0.0110747	0.0073814	0.00540389	0.00427209
a87	0.207325	0.165977	0.143239	0.173124	0.127906	0.102886	0.0331873	0.0163682	0.0123555	0.00929355	0.0083385
a23	0.214441	0.159274	0.138003	0.164167	0.120534	0.106713	0.0390789	0.0210566	0.0159433	0.0115081	0.00928085
a87	0.215714	0.151604	0.110069	0.120546	0.0896435	0.0823454	0.0369794	0.0357658	0.0449836	0.0629846	0.0493648
a79	0.220471	0.153539	0.118683	0.118184	0.093849	0.0796309	0.0406978	0.0393854	0.0485693	0.0498863	0.037104
a54	0.125651	0.106685	0.103924	0.103329	0.116408	0.11571	0.0775172	0.0612816	0.0716258	0.0838975	0.0339706
a15	0.0770008	0.0503918	0.0597353	0.0677969	0.0793083	0.0992259	0.137285	0.151358	0.130297	0.118236	0.0293644
a79	0.0458865	0.0440857	0.0486367	0.0594942	0.0791289	0.106359	0.115306	0.123912	0.123986	0.180143	0.0730613
a98	0.0443906	0.0464067	0.0506016	0.0642867	0.0802251	0.101982	0.122807	0.135513	0.131445	0.161387	0.060955
a15	0.0354198	0.034559	0.0435789	0.0529875	0.062864	0.0742453	0.115719	0.154552	0.188924	0.170391	0.0667601
a7	0.0634352	0.0570637	0.0606607	0.0754435	0.0870029	0.0913875	0.12115	0.137658	0.13127	0.114755	0.0601733
a47	0.0852481	0.0898087	0.0914089	0.104985	0.11445	0.117359	0.115938	0.0917015	0.0675803	0.0689497	0.0525705
