 	nous	avons	tué	un	serpent	à	deux	têtes	dans	le	jardin	</S>
a66	0.171824	0.108684	0.110997	0.12255	0.116016	0.0963667	0.0754682	0.0687992	0.0621331	0.0367599	0.016977	0.013425
a87	0.271275	0.196762	0.161468	0.11505	0.07147	0.0436949	0.0346918	0.0413017	0.0287172	0.0161025	0.00954633	0.0099199
a23	0.234093	0.201354	0.173	0.131813	0.0991036	0.049559	0.0330847	0.0369125	0.0203725	0.00880108	0.00551261	0.00639497
a87	0.274443	0.229611	0.158785	0.117759	0.0805087	0.0407634	0.0311677	0.0324237	0.0140587	0.00718766	0.00614611	0.0071455
a97	0.245993	0.219733	0.155495	0.119625	0.0895831	0.0464232	0.0345326	0.0389951	0.0198871	0.0104313	0.00937245	0.00992882
a99	0.276059	0.206476	0.150216	0.109005	0.0850331	0.0437661	0.028168	0.0354049	0.023667	0.013919	0.0131681	0.0151179
a50	0.335585	0.204192	0.138998	0.099059	0.0668597	0.0306353	0.0189605	0.0342176	0.023576	0.0138741	0.0157372	0.0183061
a24	0.243169	0.131239	0.122003	0.111282	0.0908798	0.0571504	0.0301451	0.0491563	0.0533722	0.037802	0.035316	0.0384845
a0	0.176665	0.144879	0.13317	0.124702	0.101947	0.0626421	0.0334224	0.0341286	0.0499755	0.0492711	0.0452378	0.0439593
a61	0.119927	0.0970198	0.112954	0.108198	0.0935908	0.0708354	0.0437892	0.0505078	0.0709037	0.0814995	0.0790006	0.0717738
a75	0.0741058	0.106909	0.129206	0.134276	0.117065	0.0842733	0.0591425	0.0462667	0.0481432	0.0668997	0.0720152	0.0616969
a96	0.0465884	0.0707212	0.101558	0.124926	0.135654	0.120194	0.0982072	0.0747765	0.0526217	0.0552394	0.0579377	0.0615766
a93	0.0600094	0.0867775	0.104043	0.129871	0.148082	0.129653	0.101429	0.0650475	0.0427913	0.0435029	0.0441731	0.0446204
a34	0.0496011	0.0764519	0.0985782	0.131931	0.15376	0.137805	0.106247	0.0673511	0.0464583	0.0435477	0.0430139	0.0452557
