 	on	a	trouvé	un	pou	dans	ses	cheveux	</S>
a87	0.27106	0.17431	0.131451	0.150567	0.139501	0.0626112	0.0313318	0.0209032	0.0182655
a23	0.284878	0.11388	0.0719345	0.0963356	0.0978256	0.0782775	0.0643872	0.0839497	0.108533
a40	0.213054	0.169409	0.14939	0.159567	0.150399	0.0506169	0.0314186	0.0310742	0.0450708
a41	0.273403	0.196235	0.139774	0.142353	0.113261	0.0477872	0.0360706	0.0252159	0.0259001
a27	0.215762	0.204137	0.162881	0.154069	0.167228	0.0434149	0.0212488	0.0148238	0.0164346
a75	0.16783	0.192042	0.171443	0.169714	0.177748	0.0581486	0.027662	0.0180265	0.0173865
a85	0.168425	0.20287	0.193186	0.199618	0.162824	0.0400144	0.0162364	0.00935347	0.00747197
a5	0.145799	0.173038	0.1738	0.180655	0.194898	0.0565321	0.0327651	0.0233756	0.019136
a56	0.14118	0.153158	0.163348	0.200521	0.198794	0.0684646	0.0369092	0.0226468	0.0149791
a96	0.0997636	0.122314	0.154038	0.168964	0.213095	0.115978	0.0563314	0.0374548	0.0320607
a44	0.0885832	0.0925133	0.106067	0.113192	0.142586	0.174414	0.125738	0.0878171	0.0690894
a93	0.0815927	0.0756627	0.0825028	0.0749652	0.0966521	0.191918	0.176403	0.126225	0.0940789
a56	0.0613992	0.0552773	0.0578006	0.0509194	0.0684727	0.177789	0.223861	0.177182	0.127299
a0	0.0412458	0.0378712	0.0407532	0.0403627	0.0558395	0.159361	0.25124	0.22475	0.148576
a75	0.0142933	0.0135036	0.015291	0.0152342	0.0281961	0.100484	0.233267	0.306526	0.273205
a85	0.0245903	0.0205644	0.0267413	0.0270667	0.027615	0.0768042	0.21599	0.2911	0.289528
a43	0.0151218	0.0122755	0.0157124	0.017191	0.0205012	0.0514047	0.16041	0.302322	0.405062
a11	0.00510972	0.00370323	0.00420087	0.00392257	0.0062903	0.0282036	0.138197	0.312721	0.497652
a62	0.000957896	0.000546306	0.000604048	0.000550731	0.00129614	0.0120032	0.103625	0.335065	0.545352
a83	0.00294113	0.00226984	0.0029304	0.00289273	0.00510809	0.0200407	0.0980835	0.31794	0.547794
a9	0.000946634	0.000577206	0.000717214	0.000822568	0.00219244	0.0143293	0.0850203	0.326732	0.568662
a10	0.00801144	0.00434515	0.0041981	0.00500712	0.005636	0.0240156	0.121984	0.324938	0.501865
a9	0.0208685	0.011272	0.0114437	0.0136556	0.0138158	0.0375502	0.131015	0.3015	0.458878
a10	0.0549964	0.0357273	0.0314326	0.0386659	0.0370823	0.0660853	0.134545	0.250729	0.350736
a99	0.0273369	0.0186215	0.0165061	0.0227704	0.0338166	0.0726368	0.131058	0.25508	0.422174
a10	0.0265047	0.0191183	0.016434	0.0190035	0.0271753	0.0532952	0.100573	0.227718	0.510178
a87	0.0234374	0.0171094	0.0150364	0.0163394	0.0246624	0.0528345	0.106896	0.233291	0.510393
a23	0.0525776	0.0403716	0.0327816	0.0371266	0.0498304	0.0668616	0.102261	0.187019	0.43117
a10	0.0129705	0.00827261	0.00660795	0.00506665	0.00561475	0.0204659	0.0756744	0.223652	0.641675
a87	0.0184237	0.0099723	0.00697324	0.00519691	0.00585817	0.0203722	0.0734598	0.205179	0.654565
</S>	0.0128208	0.00716878	0.00532217	0.00443973	0.00619524	0.0268469	0.0909091	0.227668	0.61863
