 	dans	le	partage	du	gibier	de	chasse	un	gigot	revient	de	droit	au	notable	de	la	localité	</S>
a66	0.101023	0.068249	0.0342673	0.0305113	0.0426104	0.0591125	0.0611628	0.0539879	0.0623493	0.0615142	0.101376	0.10713	0.0633931	0.0504422	0.047859	0.0301412	0.0142947	0.0105758
a10	0.144514	0.0514646	0.0252794	0.0258572	0.0288267	0.0359924	0.0473775	0.0489794	0.0538261	0.119115	0.0875723	0.0638326	0.0553057	0.0391018	0.0335395	0.0363939	0.048022	0.0549998
a87	0.384347	0.101556	0.0394624	0.0218186	0.0248311	0.0246911	0.0274469	0.024144	0.0259078	0.0300365	0.0301592	0.0265129	0.0208509	0.0282396	0.0417279	0.0442134	0.0455207	0.0585337
a10	0.273203	0.200783	0.0823025	0.0253258	0.0169411	0.0141663	0.0157872	0.0137121	0.0169966	0.021794	0.0231319	0.0240572	0.0241276	0.0370474	0.0514756	0.0494065	0.0493967	0.0603461
a75	0.204855	0.201824	0.089666	0.0383152	0.0235775	0.0173537	0.0164053	0.0133138	0.019278	0.0210434	0.0227881	0.0240692	0.0251388	0.0391067	0.0566687	0.0559274	0.0635209	0.0671474
a85	0.167197	0.136112	0.108203	0.0442764	0.0394914	0.0317879	0.028162	0.0228657	0.0314222	0.0210619	0.0204326	0.0174838	0.0136513	0.015973	0.0318493	0.0615782	0.0882809	0.120171
a5	0.165272	0.187154	0.159101	0.0493793	0.0257969	0.0229263	0.0240358	0.0143682	0.0219345	0.0166148	0.0213099	0.0241549	0.0149183	0.0157367	0.0270098	0.0706945	0.0721926	0.0673995
a21	0.080881	0.13672	0.265324	0.116225	0.0522728	0.0510806	0.0513742	0.0283124	0.0373826	0.025647	0.0279679	0.0297047	0.0178114	0.0130367	0.0141938	0.0225193	0.0153618	0.0141849
a85	0.0795584	0.103614	0.172861	0.125023	0.0735536	0.078689	0.10175	0.0445774	0.0438151	0.0319835	0.0340833	0.0370648	0.0196662	0.0125724	0.0119683	0.0141665	0.00822997	0.00682354
a37	0.0420248	0.0581082	0.104454	0.152687	0.100565	0.108398	0.142191	0.0778039	0.0609019	0.0442593	0.0318924	0.0249117	0.0153387	0.00828078	0.00648662	0.00674859	0.00681115	0.00813705
