 	la	femme	qui	est	partie	récolter	du	manioc	au	champ	a	laissé	des	traces	sur	le	chemin	pour	permettre	à	son	mari	de	la	suivre	</S>
a87	0.0518263	0.0404804	0.0373125	0.0422056	0.0514127	0.0491789	0.057361	0.0598547	0.0806819	0.068003	0.0506805	0.0605806	0.0480033	0.0394518	0.0349802	0.0271109	0.0305687	0.0309213	0.0160268	0.0144309	0.0177173	0.0220543	0.0263253	0.0189291	0.0163864	0.00751581
a23	0.0922253	0.062364	0.050764	0.0491063	0.0597164	0.0583231	0.0309485	0.026284	0.0244778	0.0196137	0.0141072	0.0123748	0.0155927	0.0150241	0.0145919	0.0127264	0.0188322	0.0247571	0.0118762	0.0317049	0.0478398	0.061333	0.0753988	0.0641276	0.0640643	0.0418259
a30	0.0530608	0.0557316	0.0608654	0.0646582	0.074321	0.0728722	0.046521	0.0379818	0.0351769	0.0289896	0.0221892	0.0177168	0.0155998	0.0170228	0.0137734	0.0130399	0.0145548	0.0167404	0.0191332	0.0399241	0.0526705	0.0462904	0.0468808	0.0394573	0.0528825	0.0419454
a93	0.0605123	0.0611827	0.0552377	0.0552784	0.061712	0.0581726	0.0479923	0.0497704	0.053849	0.0368286	0.0282415	0.0280909	0.0199379	0.0255138	0.0239165	0.0198151	0.0222121	0.0206243	0.0163467	0.0273999	0.0315118	0.0311031	0.0335859	0.0320676	0.0533041	0.045793
a70	0.119092	0.121283	0.095024	0.0815618	0.070407	0.062337	0.0508522	0.0480999	0.0430756	0.029999	0.0294566	0.0280422	0.026878	0.0295065	0.0196439	0.0146969	0.015297	0.0120509	0.00814816	0.0117332	0.0104918	0.0132996	0.0148223	0.0154277	0.0198784	0.00889553
a62	0.168171	0.122529	0.0905475	0.0779763	0.0611179	0.0592321	0.0423377	0.0374633	0.0336612	0.0269138	0.026641	0.0306876	0.0285262	0.0286858	0.0205794	0.0189605	0.0228589	0.0230648	0.0141575	0.00939	0.00869921	0.00919526	0.00872532	0.00922186	0.0132887	0.00736874
a61	0.109444	0.0863694	0.0810288	0.083623	0.0735478	0.0832715	0.052136	0.0441043	0.0403666	0.0326745	0.0281334	0.0302768	0.0262513	0.0288992	0.0213664	0.0200419	0.0241883	0.0251842	0.0224077	0.0137843	0.0137683	0.013415	0.012457	0.011905	0.0147619	0.00659385
a34	0.0815858	0.0705977	0.0731035	0.0784556	0.0702919	0.0807458	0.0562981	0.0490423	0.0461068	0.0399811	0.0339889	0.0351625	0.0287106	0.0344174	0.0255803	0.0229553	0.0267571	0.0266376	0.0267499	0.0179051	0.0163241	0.0145091	0.0126687	0.0112449	0.0136086	0.00657148
a47	0.0517043	0.0460882	0.0571421	0.068962	0.0632377	0.0774948	0.0566816	0.0479607	0.0460066	0.0430884	0.0367111	0.0394345	0.0327727	0.038436	0.0353221	0.0311425	0.035458	0.0326589	0.0319494	0.0302664	0.0252686	0.019182	0.0155238	0.0134747	0.0144672	0.00956577
a70	0.0378459	0.0360304	0.0505353	0.0646331	0.0597005	0.0702903	0.0581666	0.0508272	0.0509841	0.0474998	0.0433044	0.0461574	0.039032	0.0386902	0.0375522	0.0363933	0.0420284	0.0438746	0.0396144	0.0248269	0.0197229	0.0160538	0.014711	0.0125874	0.0112583	0.00767961
a61	0.0273536	0.0291551	0.0433447	0.0543676	0.0515626	0.0574145	0.0563664	0.0475499	0.0468321	0.0467881	0.0419476	0.0456004	0.0377749	0.0377557	0.0440812	0.0430283	0.052475	0.0553811	0.0490963	0.029479	0.0241322	0.0188139	0.0175861	0.0145131	0.0140555	0.0135452
a75	0.0181434	0.0205104	0.033756	0.0451684	0.0465714	0.0514197	0.0499454	0.0432075	0.0421194	0.0413775	0.0376371	0.0426824	0.0383455	0.0390494	0.0510212	0.0537681	0.0697846	0.0832515	0.0686948	0.0267767	0.0233074	0.0185315	0.0181228	0.0140086	0.0111436	0.0116557
a66	0.0163747	0.0171789	0.0242611	0.0327176	0.0372647	0.0454737	0.0458841	0.0424922	0.0439359	0.0463612	0.0441994	0.0493178	0.0489637	0.0546682	0.0584493	0.0548359	0.0615269	0.0713948	0.0479418	0.0325542	0.0287454	0.0237882	0.0219618	0.0173791	0.0161737	0.0161556
a0	0.00874209	0.00987845	0.0171648	0.0262765	0.0306163	0.0377301	0.0492797	0.0482144	0.0483326	0.0519904	0.0480022	0.0494636	0.0407082	0.0402895	0.0559429	0.0585876	0.0765064	0.0792629	0.0642677	0.0335881	0.0281092	0.0230437	0.0223511	0.0181082	0.014733	0.0188105
a96	0.00588402	0.00697505	0.0119366	0.0188947	0.02377	0.0300146	0.0407423	0.0432882	0.0459964	0.0525154	0.0509497	0.0537735	0.0459379	0.0464712	0.0620513	0.063512	0.0798031	0.0809287	0.063957	0.0401293	0.0336288	0.0255871	0.0229531	0.0163732	0.0130558	0.0208711
a24	0.0112788	0.0118395	0.0150581	0.0192282	0.0210416	0.0236183	0.0306133	0.0318302	0.0376858	0.0437205	0.0444368	0.0556466	0.0535682	0.0525775	0.068317	0.0707219	0.0904153	0.102094	0.0636756	0.0342134	0.0317384	0.0243623	0.0227246	0.0153389	0.0124351	0.0118202
a47	0.00544383	0.00616227	0.0093155	0.0133933	0.0163728	0.0194055	0.0271536	0.0306767	0.0382215	0.048436	0.0494833	0.0602056	0.0566876	0.0549557	0.0733739	0.0750065	0.0969675	0.107545	0.0704085	0.0330837	0.0293252	0.0217457	0.0194556	0.0120536	0.0108702	0.0142518
a83	0.00765201	0.00814138	0.0111872	0.0147172	0.0164164	0.0188509	0.0252655	0.0287722	0.0360796	0.0456242	0.0474389	0.06069	0.0587406	0.0600564	0.0749759	0.0756773	0.0978739	0.101333	0.0606684	0.0348481	0.0336395	0.0259028	0.0215765	0.0139654	0.0107803	0.00912619
a38	0.00649492	0.0073641	0.0104396	0.014178	0.0166927	0.0193494	0.025906	0.0295861	0.0389775	0.0497752	0.0504952	0.0616371	0.056555	0.0578194	0.0730888	0.0728369	0.0936382	0.0969728	0.0604281	0.0383709	0.035323	0.0248598	0.0205664	0.0130069	0.0127092	0.0129286
a90	0.0044339	0.00539381	0.00797709	0.0112153	0.0131906	0.015359	0.02027	0.0231603	0.0297874	0.0393638	0.0405762	0.0498464	0.0454846	0.0526213	0.0739831	0.0758591	0.10094	0.107311	0.0758184	0.0476903	0.0459803	0.033558	0.0271753	0.017508	0.0161266	0.0193696
a76	0.00431338	0.00566896	0.00822046	0.0112941	0.0130327	0.0146792	0.0189668	0.0216846	0.0263907	0.0323206	0.0355992	0.0438832	0.0409769	0.0480014	0.069163	0.0711237	0.100925	0.106325	0.070046	0.0538068	0.0538536	0.040355	0.0345939	0.0256155	0.0240663	0.0250936
a98	0.00671294	0.00736773	0.00860352	0.0106176	0.0124471	0.013728	0.0172288	0.017592	0.0210621	0.0238127	0.0266824	0.0357129	0.0347338	0.0444511	0.062231	0.0679668	0.0952918	0.112024	0.0646399	0.0513736	0.0566667	0.0500046	0.0437009	0.0386706	0.0366314	0.0400459
a85	0.00731631	0.0076105	0.00864661	0.0103387	0.0120143	0.0139118	0.0167209	0.0174891	0.0218902	0.0249205	0.0277878	0.0366546	0.0332778	0.046001	0.0648235	0.067336	0.0974185	0.122617	0.0626411	0.0495215	0.0548991	0.0459241	0.0391793	0.0333511	0.0329836	0.0447247
a43	0.0104413	0.00981129	0.00957464	0.0106371	0.0116541	0.0131129	0.0147304	0.0153067	0.0186486	0.020296	0.0230967	0.0309539	0.031573	0.0421742	0.0544545	0.058498	0.0862663	0.120822	0.059878	0.0445557	0.0550451	0.048925	0.0450989	0.0439427	0.0518016	0.0687012
