 	la	chèvre	est	sortie	de	la	forêt	avec	les	épis	de	l'	herbe	bongi	sur	l'	échine	</S>
a87	0.216745	0.123156	0.148462	0.134254	0.0709223	0.0512734	0.0329733	0.0425266	0.0421176	0.024321	0.0244473	0.0172602	0.0129497	0.0105304	0.0109414	0.0108593	0.0116262	0.014634
a23	0.164815	0.0661204	0.0725082	0.218222	0.115682	0.0681349	0.0536181	0.0449877	0.0448042	0.0284794	0.0259481	0.0215361	0.0150962	0.00935012	0.0065876	0.00672392	0.0113719	0.026014
a87	0.114777	0.0804677	0.0861273	0.1576	0.129532	0.087242	0.0729498	0.0591315	0.0401832	0.0319791	0.0290944	0.0204525	0.012119	0.0102601	0.00755302	0.00745843	0.0117258	0.0413472
a97	0.0841693	0.0768198	0.0931027	0.104179	0.115268	0.0925415	0.0888394	0.0654447	0.0434212	0.0427534	0.0343341	0.0264112	0.0175368	0.0153995	0.0157951	0.0167641	0.0230961	0.0441238
a82	0.152036	0.132843	0.148832	0.13258	0.0992769	0.059754	0.0582563	0.0346917	0.0245442	0.0228326	0.0180003	0.0161231	0.0125314	0.0128712	0.0121143	0.0123786	0.0164804	0.0338537
a87	0.190644	0.174558	0.174091	0.112354	0.0690182	0.041306	0.0360702	0.0253635	0.0187391	0.0185786	0.0160408	0.0141703	0.012706	0.0142463	0.0150017	0.0149294	0.0193323	0.0328498
a99	0.183554	0.162327	0.160644	0.116437	0.0681614	0.0414262	0.0374922	0.0258308	0.0206255	0.0216177	0.0175752	0.017008	0.0170484	0.0184459	0.0192312	0.0182976	0.0197553	0.0345225
a83	0.172328	0.142998	0.138393	0.0780319	0.0533812	0.038694	0.0384316	0.0314044	0.0252983	0.0233599	0.0259318	0.0250892	0.0236739	0.0257523	0.0317391	0.0306178	0.0350545	0.059821
a70	0.130325	0.127608	0.147027	0.0688688	0.0703253	0.0578744	0.0609506	0.0390291	0.028818	0.0257286	0.0280599	0.0273948	0.01994	0.0198365	0.0203938	0.0215431	0.0319956	0.0742811
a90	0.22958	0.189187	0.130997	0.0564949	0.0628151	0.0570056	0.0545596	0.038866	0.0270056	0.0280534	0.0262083	0.0231402	0.0152601	0.0111371	0.00893796	0.00829146	0.0103248	0.0221359
a56	0.0940049	0.0959765	0.0857495	0.0537203	0.0758602	0.0763618	0.0825333	0.0707832	0.0531835	0.0674435	0.0593685	0.0513956	0.0311854	0.0181863	0.0139414	0.0134565	0.0189662	0.0378833
a11	0.0698882	0.0926908	0.0763844	0.0531928	0.0737574	0.0752162	0.0756246	0.0755988	0.0575384	0.0808626	0.0652841	0.0547937	0.0361566	0.0217181	0.0148915	0.0151715	0.0226829	0.0385474
a75	0.0385911	0.0529392	0.0552532	0.0438176	0.0650051	0.0710995	0.0811882	0.0809529	0.0643253	0.105039	0.0813514	0.0736458	0.0537765	0.0294743	0.0225561	0.0208469	0.0244253	0.0357124
a98	0.0546989	0.0730672	0.0706727	0.0585774	0.0773615	0.0768578	0.0752348	0.084022	0.0678057	0.0787162	0.0677654	0.054825	0.036782	0.0228447	0.0149818	0.0158343	0.0276461	0.0423065
a44	0.039882	0.0528762	0.0563294	0.0518639	0.0700685	0.0722544	0.0750385	0.0915556	0.0761646	0.0831747	0.0764652	0.0638166	0.0431176	0.0259481	0.0189617	0.0193657	0.0331684	0.049949
a84	0.0218881	0.035149	0.0478523	0.0550401	0.0746526	0.0802994	0.0839793	0.096474	0.0789213	0.097055	0.0820644	0.0711845	0.0491215	0.0259216	0.0189511	0.0172327	0.023388	0.0408253
a11	0.00706633	0.011032	0.0236604	0.0318702	0.0497184	0.0606451	0.0857328	0.0966175	0.0799323	0.117231	0.0987959	0.0888081	0.0626744	0.0347955	0.0308651	0.0295397	0.0376612	0.0533545
a94	0.0072443	0.0113092	0.024541	0.0364533	0.0549431	0.0642026	0.0766296	0.0951651	0.0804489	0.100658	0.0909519	0.08802	0.0663029	0.0409506	0.0344847	0.032034	0.0399227	0.0557382
a70	0.00723524	0.0108657	0.0215367	0.0359005	0.0498304	0.0581126	0.0673742	0.0876235	0.0802754	0.0978355	0.0919216	0.0934986	0.0740499	0.0477038	0.0445255	0.0384076	0.0413089	0.0519945
a0	0.00467055	0.00657937	0.013471	0.0268322	0.0404002	0.0536005	0.0669741	0.0904873	0.0846283	0.108586	0.10346	0.108405	0.0852186	0.0525183	0.0449748	0.0352857	0.0331162	0.0407927
a11	0.00361675	0.00468209	0.010433	0.0207799	0.0329029	0.0466919	0.0632727	0.0904667	0.0859585	0.110863	0.112915	0.119453	0.0955541	0.0563659	0.0473067	0.0356681	0.0303445	0.0327257
